rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50722155585556E+018,1,0,HUMAN,,1507221555,854239175,beginner,stubborn,YES,,1507221555,618183843,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.5072215665882E+018,1,1,HUMAN,,1507221566,586979052,beginner,stubborn,YES,,1507221560,943324648,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722157523764E+018,1,2,HUMAN,,1507221575,236183285,beginner,stubborn,YES,,1507221567,654826314,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722157857004E+018,1,3,HUMAN,,1507221578,568362650,beginner,stubborn,YES,,1507221576,314685954,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722158745523E+018,2,0,HUMAN,,1507221587,454099659,beginner,stubborn,YES,,1507221587,295446560,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722159196077E+018,2,1,HUMAN,,1507221591,959558941,beginner,stubborn,YES,,1507221589,733548094,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722160052518E+018,2,2,HUMAN,,1507221600,523811676,beginner,stubborn,YES,,1507221593,35695780,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722160369829E+018,2,3,HUMAN,,1507221603,693940568,beginner,stubborn,YES,,1507221601,586100735,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722161086127E+018,3,0,HUMAN,,1507221610,860112487,beginner,stubborn,YES,,1507221610,626006278,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722162056547E+018,3,1,HUMAN,,1507221620,564075110,beginner,stubborn,YES,,1507221612,985811933,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722162400305E+018,3,2,HUMAN,,1507221624,985117,beginner,stubborn,YES,,1507221621,638023427,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722163174073E+018,4,0,HUMAN,,1507221631,739473038,beginner,stubborn,YES,,1507221631,506965415,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722164166976E+018,4,1,HUMAN,,1507221641,668193523,beginner,stubborn,YES,,1507221634,249305617,grasp,Evaluating,Evaluating,True,'','','','','',''
