rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50722155474408E+018,1,0,MANAGER,,1507221554,743924980,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722155585556E+018,1,0,HUMAN,,1507221555,854239175,beginner,stubborn,YES,,1507221555,618183843,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722155593253E+018,1,1,ROBOT,,1507221555,930892972,'','','',,1507221555,930802704,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722155982978E+018,1,1,ROBOT,,1507221559,828447308,'','','',,1507221555,930802704,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722156217025E+018,1,1,OBSERVATION,,1507221562,168674499,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.5072215665882E+018,1,1,HUMAN,,1507221566,586979052,beginner,stubborn,YES,,1507221560,943324648,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722156659914E+018,1,2,ROBOT,,1507221566,597201488,'','','',,1507221563,438188559,planning for grasping,MayBeTired,TaskHuman,False,'','','','',0,0
1.50722157232137E+018,1,2,SENSORS,,1507221572,321177649,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722157397107E+018,1,2,OBSERVATION,,1507221573,969663226,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722157523764E+018,1,2,HUMAN,,1507221575,236183285,beginner,stubborn,YES,,1507221567,654826314,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722157524615E+018,1,3,ROBOT,,1507221575,244960294,'','','',,1507221575,232931512,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50722157728701E+018,1,3,OBSERVATION,,1507221577,285387526,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722157857004E+018,1,3,HUMAN,,1507221578,568362650,beginner,stubborn,YES,,1507221576,314685954,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722158641182E+018,2,0,MANAGER,,1507221586,411642738,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722158745523E+018,2,0,HUMAN,,1507221587,454099659,beginner,stubborn,YES,,1507221587,295446560,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722158866093E+018,2,1,ROBOT,,1507221588,659831108,'','','',,1507221587,581740231,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722159070426E+018,2,1,OBSERVATION,,1507221590,702368728,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50722159196077E+018,2,1,HUMAN,,1507221591,959558941,beginner,stubborn,YES,,1507221589,733548094,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722159197391E+018,2,2,ROBOT,,1507221591,972518912,'','','',,1507221591,958573961,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722159732035E+018,2,2,SENSORS,,1507221597,320204949,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722159925405E+018,2,2,OBSERVATION,,1507221599,252433845,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722160052518E+018,2,2,HUMAN,,1507221600,523811676,beginner,stubborn,YES,,1507221593,35695780,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722160052984E+018,2,3,ROBOT,,1507221600,528696686,'','','',,1507221600,521506329,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50722160245624E+018,2,3,OBSERVATION,,1507221602,454727875,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722160369829E+018,2,3,HUMAN,,1507221603,693940568,beginner,stubborn,YES,,1507221601,586100735,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722160975434E+018,3,0,MANAGER,,1507221609,754001729,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722161086127E+018,3,0,HUMAN,,1507221610,860112487,beginner,stubborn,YES,,1507221610,626006278,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722161190877E+018,3,1,ROBOT,,1507221611,907710855,'','','',,1507221610,932876893,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722161732107E+018,3,1,SENSORS,,1507221617,320954076,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.5072216193205E+018,3,1,OBSERVATION,,1507221619,318935283,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722162056547E+018,3,1,HUMAN,,1507221620,564075110,beginner,stubborn,YES,,1507221612,985811933,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072216205716E+018,3,2,ROBOT,,1507221620,570333785,'','','',,1507221620,563192531,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722162275361E+018,3,2,OBSERVATION,,1507221622,752260497,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722162400305E+018,3,2,HUMAN,,1507221624,985117,beginner,stubborn,YES,,1507221621,638023427,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722163064139E+018,4,0,MANAGER,,1507221630,640450172,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722163174073E+018,4,0,HUMAN,,1507221631,739473038,beginner,stubborn,YES,,1507221631,506965415,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722163316494E+018,4,1,ROBOT,,1507221633,163842193,'','','',,1507221631,835548283,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722163932091E+018,4,1,SENSORS,,1507221639,320749861,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
