task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,,
1,1507221554,743924980,1507221555,930802704,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
1,1507221554,743924980,1507221563,438188559,planning for grasping,MayBeTired,TaskHuman,Evaluating,stubborn,YES,False,0,0,0,,
1,1507221554,743924980,1507221575,232931512,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,,
2,1507221586,411642738,1507221587,581740231,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
2,1507221586,411642738,1507221591,958573961,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
2,1507221586,411642738,1507221600,521506329,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,,
3,1507221609,754001729,1507221610,932876893,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
3,1507221609,754001729,1507221620,563192531,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
4,1507221630,640450172,1507221631,835548283,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
4,1507221630,640450172,1507221641,667126645,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
5,1507221651,571982432,1507221652,731563886,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
5,1507221651,571982432,1507221662,451368325,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
6,1507221672,750616079,1507221676,81667038,idle,TaskHuman,TaskHuman,GlobalSuccess,thinker,YES,True,0,0,0,,
6,1507221672,750616079,1507221685,323651058,idle,GlobalSuccess,GlobalSuccess,TaskHuman,thinker,YES,True,6,5.7624,0,,
7,1507221695,100623590,1507221696,345426307,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
7,1507221695,100623590,1507221705,817081079,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
8,1507221716,260153215,1507221717,422053122,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
8,1507221716,260153215,1507221728,285289171,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
9,1507221738,942792633,1507221740,143519091,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
9,1507221738,942792633,1507221744,916842645,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
