rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_expertise,human_mood,human_trust,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50722155593253E+018,1,1,ROBOT,,1507221555,930892972,'','','',,1507221555,930802704,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722155982978E+018,1,1,ROBOT,,1507221559,828447308,'','','',,1507221555,930802704,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722156659914E+018,1,2,ROBOT,,1507221566,597201488,'','','',,1507221563,438188559,planning for grasping,MayBeTired,TaskHuman,False,'','','','',0,0
1.50722157524615E+018,1,3,ROBOT,,1507221575,244960294,'','','',,1507221575,232931512,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50722158866093E+018,2,1,ROBOT,,1507221588,659831108,'','','',,1507221587,581740231,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722159197391E+018,2,2,ROBOT,,1507221591,972518912,'','','',,1507221591,958573961,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722160052984E+018,2,3,ROBOT,,1507221600,528696686,'','','',,1507221600,521506329,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50722161190877E+018,3,1,ROBOT,,1507221611,907710855,'','','',,1507221610,932876893,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5072216205716E+018,3,2,ROBOT,,1507221620,570333785,'','','',,1507221620,563192531,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722163316494E+018,4,1,ROBOT,,1507221633,163842193,'','','',,1507221631,835548283,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722164167467E+018,4,2,ROBOT,,1507221641,673309776,'','','',,1507221641,667126645,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722165387691E+018,5,1,ROBOT,,1507221653,875804701,'','','',,1507221652,731563886,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722166246657E+018,5,2,ROBOT,,1507221662,464425961,'','','',,1507221662,451368325,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722167659882E+018,6,1,ROBOT,,1507221676,597355464,'','','',,1507221676,81667038,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722168533242E+018,6,2,ROBOT,,1507221685,331023623,'','','',,1507221685,323651058,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50722169750332E+018,7,1,ROBOT,,1507221697,500738948,'','','',,1507221696,345426307,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722170582389E+018,7,2,ROBOT,,1507221705,822946642,'','','',,1507221705,817081079,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722171942184E+018,8,1,ROBOT,,1507221719,420515838,'','','',,1507221717,422053122,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722172860973E+018,8,2,ROBOT,,1507221728,608400573,'','','',,1507221728,285289171,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722174134068E+018,9,1,ROBOT,,1507221741,339698964,'','','',,1507221740,143519091,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722174563018E+018,9,2,ROBOT,,1507221745,628413148,'','','',,1507221744,916842645,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722175346001E+018,9,3,ROBOT,,1507221753,458893014,'','','',,1507221748,732609993,planning for grasping,MayNotBeCapable,NeedsHelp,False,'','','','',0,0
1.50722176404428E+018,9,4,ROBOT,,1507221764,43170775,'','','',,1507221762,351020959,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.64715
1.50722177869292E+018,10,1,ROBOT,,1507221778,691753745,'','','',,1507221777,196728546,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722178558768E+018,10,2,ROBOT,,1507221785,586096139,'','','',,1507221782,58177255,planning for grasping,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722179328599E+018,10,3,ROBOT,,1507221793,283254145,'','','',,1507221789,16865662,idle,TaskHuman,NeedsHelp,False,'','','','',0,0
1.50722179886671E+018,10,4,ROBOT,,1507221798,865372630,'','','',,1507221797,335733275,planning for grasping,MayNotBeCapable,MayNotBeCapable,True,'','','','',0,0
1.50722181232055E+018,10,5,ROBOT,,1507221812,320384862,'','','',,1507221799,351020959,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.64715
1.50722184166252E+018,11,1,ROBOT,,1507221841,659976020,'','','',,1507221840,535418195,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722184907203E+018,11,2,ROBOT,,1507221849,70849888,'','','',,1507221845,273026729,planning for grasping,MayNotBeCapable,MayNotBeCapable,True,'','','','',0,0
1.50722185921025E+018,11,3,ROBOT,,1507221859,208845209,'','','',,1507221857,603781602,idle,TaskHuman,GlobalSuccess,False,'','','','',6,5.7624
1.50722187482877E+018,12,1,ROBOT,,1507221874,827563900,'','','',,1507221870,608788296,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722188190145E+018,12,2,ROBOT,,1507221881,899794909,'','','',,1507221878,606344798,idle,MayNotBeCapable,TaskHuman,False,'','','','',0,0
1.50722188890774E+018,12,3,ROBOT,,1507221888,906661042,'','','',,1507221885,548042068,planning for grasping,MayNotBeCapable,TaskHuman,False,'','','','',0,0
1.50722190170555E+018,12,4,ROBOT,,1507221901,691028658,'','','',,1507221892,75279085,grasp,NeedsHelp,GlobalSuccess,False,'','','','',6,5.64715
1.50722191627687E+018,13,1,ROBOT,,1507221916,275687247,'','','',,1507221913,338852992,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722192115474E+018,13,2,ROBOT,,1507221921,152983976,'','','',,1507221919,551546307,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722193097957E+018,13,3,ROBOT,,1507221930,978231559,'','','',,1507221929,989238929,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
