rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50722155474408E+018,1,0,MANAGER,,1507221554,743924980,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722157232137E+018,1,2,SENSORS,,1507221572,321177649,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722158641182E+018,2,0,MANAGER,,1507221586,411642738,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722159732035E+018,2,2,SENSORS,,1507221597,320204949,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722160975434E+018,3,0,MANAGER,,1507221609,754001729,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722161732107E+018,3,1,SENSORS,,1507221617,320954076,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722163064139E+018,4,0,MANAGER,,1507221630,640450172,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722163932091E+018,4,1,SENSORS,,1507221639,320749861,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722165157211E+018,5,0,MANAGER,,1507221651,571982432,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722165932088E+018,5,1,SENSORS,,1507221659,320757842,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722167275075E+018,6,0,MANAGER,,1507221672,750616079,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.507221682321E+018,6,1,SENSORS,,1507221682,320734926,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722169510087E+018,7,0,MANAGER,,1507221695,100623590,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722170332082E+018,7,1,SENSORS,,1507221703,320635015,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.5072217162609E+018,8,0,MANAGER,,1507221716,260153215,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.5072217253212E+018,8,1,SENSORS,,1507221725,321029993,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
