rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50688405433614E+018,1,0,HUMAN,,1506884054,334963066,beginner,stubborn,YES,,1506884051,184573288,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.5068840593734E+018,1,1,HUMAN,,1506884059,372292753,beginner,stubborn,YES,,1506884056,885140180,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688406675305E+018,1,2,HUMAN,,1506884066,751681776,beginner,stubborn,YES,,1506884064,131441991,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688409111823E+018,2,0,HUMAN,,1506884091,117027505,beginner,stubborn,YES,,1506884088,272516684,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688409761559E+018,2,1,HUMAN,,1506884097,614437197,beginner,stubborn,YES,,1506884094,464847385,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688410465153E+018,2,2,HUMAN,,1506884104,650304041,beginner,stubborn,YES,,1506884102,316002157,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688411375812E+018,3,0,HUMAN,,1506884113,757221075,beginner,stubborn,YES,,1506884113,683692102,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688412171583E+018,3,1,HUMAN,,1506884121,714716310,beginner,stubborn,YES,,1506884119,104224732,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688413044542E+018,3,2,HUMAN,,1506884130,444268291,beginner,stubborn,YES,,1506884127,140147693,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688415889241E+018,4,0,HUMAN,,1506884158,891315991,beginner,stubborn,YES,,1506884156,315556333,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688416519542E+018,4,1,HUMAN,,1506884165,194238186,beginner,stubborn,YES,,1506884162,338262096,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688417451826E+018,4,2,HUMAN,,1506884174,517140199,beginner,stubborn,YES,,1506884171,984762128,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688419647829E+018,5,0,HUMAN,,1506884196,477194392,beginner,stubborn,YES,,1506884194,94898529,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688420251308E+018,5,1,HUMAN,,1506884202,511844351,beginner,stubborn,YES,,1506884199,175779298,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688420996066E+018,5,2,HUMAN,,1506884209,959373702,beginner,stubborn,YES,,1506884206,598476868,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688422200973E+018,6,0,HUMAN,,1506884222,8655152,beginner,stubborn,YES,,1506884219,448089331,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688423262036E+018,6,1,HUMAN,,1506884232,619212944,beginner,stubborn,YES,,1506884229,778817132,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688423970274E+018,6,2,HUMAN,,1506884239,701711821,beginner,stubborn,YES,,1506884236,477392130,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688425088528E+018,7,0,HUMAN,,1506884250,884059096,beginner,stubborn,YES,,1506884248,246239966,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688425860824E+018,7,1,HUMAN,,1506884258,606651930,beginner,stubborn,YES,,1506884255,443650133,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688426730897E+018,7,2,HUMAN,,1506884267,307949969,beginner,stubborn,YES,,1506884264,506772398,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688427533863E+018,7,3,HUMAN,,1506884275,337552558,beginner,stubborn,YES,,1506884269,932279065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688428690426E+018,7,4,HUMAN,,1506884286,903235308,beginner,stubborn,YES,,1506884282,409455075,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50688429881222E+018,7,5,HUMAN,,1506884298,811148791,beginner,stubborn,YES,,1506884296,105832095,idle,RobotIsWarned,RobotIsWarned,True,'','','','','',''
1.50688430290536E+018,7,6,HUMAN,,1506884302,904125794,beginner,stubborn,YES,,1506884300,607735940,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688436127399E+018,8,0,HUMAN,,1506884361,272835018,beginner,stubborn,YES,,1506884357,984700974,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688436570127E+018,8,1,HUMAN,,1506884365,700133328,beginner,stubborn,YES,,1506884363,8402206,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688437210529E+018,8,2,HUMAN,,1506884372,104179919,beginner,stubborn,YES,,1506884369,260986143,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688437788015E+018,8,3,HUMAN,,1506884377,878794726,beginner,stubborn,YES,,1506884374,641789201,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688438960192E+018,8,4,HUMAN,,1506884385,131476355,beginner,stubborn,YES,,1506884382,180263135,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688439889133E+018,9,0,HUMAN,,1506884398,890365865,beginner,stubborn,YES,,1506884398,793222923,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5068844060019E+018,9,1,HUMAN,,1506884406,675035,beginner,stubborn,YES,,1506884402,767971271,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688441215257E+018,9,2,HUMAN,,1506884412,151391831,beginner,stubborn,YES,,1506884409,897367565,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688442496687E+018,10,0,HUMAN,,1506884424,965599021,beginner,stubborn,YES,,1506884422,214962715,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688443056213E+018,10,1,HUMAN,,1506884430,561067816,beginner,stubborn,YES,,1506884427,360273075,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688443751158E+018,10,2,HUMAN,,1506884437,510558020,beginner,stubborn,YES,,1506884434,822163804,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688446034107E+018,10,4,HUMAN,,1506884460,339939149,beginner,stubborn,YES,,1506884454,976008644,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50688448175519E+018,10,5,HUMAN,,1506884481,753995845,beginner,stubborn,YES,,1506884478,98155124,idle,RobotIsWarned,RobotIsWarned,True,'','','','','',''
1.50688449082673E+018,10,6,HUMAN,,1506884490,825542424,beginner,stubborn,YES,,1506884488,372336653,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688456385841E+018,11,0,HUMAN,,1506884563,857456691,beginner,thinker,YES,,1506884563,786675914,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688457020189E+018,11,1,HUMAN,,1506884570,200728159,beginner,thinker,YES,,1506884567,204648957,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688457803402E+018,11,2,HUMAN,,1506884578,32788753,beginner,thinker,YES,,1506884574,896032548,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688458725074E+018,11,3,HUMAN,,1506884587,249676773,beginner,thinker,YES,,1506884584,304927177,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688460416024E+018,12,0,HUMAN,,1506884604,159157680,beginner,tired,YES,,1506884601,90183339,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5068846096511E+018,12,1,HUMAN,,1506884609,649935156,beginner,tired,YES,,1506884607,436610966,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688462405799E+018,12,2,HUMAN,,1506884624,56792077,beginner,tired,YES,,1506884617,534635069,idle,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50688464023188E+018,12,3,HUMAN,,1506884640,230795308,beginner,tired,YES,,1506884637,857058241,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688465094153E+018,13,0,HUMAN,,1506884650,940675044,beginner,stubborn,YES,,1506884650,899647799,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688465777076E+018,13,1,HUMAN,,1506884657,769607495,beginner,stubborn,YES,,1506884654,709206699,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688466616115E+018,13,2,HUMAN,,1506884666,159933451,beginner,stubborn,YES,,1506884662,770820492,grasp,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50688467438586E+018,13,3,HUMAN,,1506884674,384527929,beginner,stubborn,YES,,1506884672,70540782,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688470754736E+018,14,0,HUMAN,,1506884707,546058677,beginner,stubborn,YES,,1506884704,359648131,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5068847161647E+018,14,1,HUMAN,,1506884716,163532135,beginner,stubborn,YES,,1506884712,805265854,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688472717531E+018,14,2,HUMAN,,1506884727,173661944,beginner,stubborn,YES,,1506884721,289750782,idle,Evaluating,Evaluating,True,'','','','','',''
1.5068847360058E+018,14,3,HUMAN,,1506884731,990032635,beginner,stubborn,YES,,1506884728,965249030,grasp,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50688474930796E+018,14,4,HUMAN,,1506884749,306971189,beginner,stubborn,YES,,1506884745,931765017,idle,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50688475835776E+018,14,5,HUMAN,,1506884758,356575799,beginner,stubborn,YES,,1506884753,113728188,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.5068847739411E+018,14,6,HUMAN,,1506884773,940017941,beginner,stubborn,YES,,1506884763,340650074,idle,RobotIsWarned,RobotIsWarned,True,'','','','','',''
1.50688478967339E+018,14,7,HUMAN,,1506884789,672389349,beginner,stubborn,YES,,1506884786,436073698,idle,GlobalFail,GlobalFail,True,'','','','','',''
1.5068848390905E+018,15,0,HUMAN,,1506884839,89351251,beginner,stubborn,YES,,1506884836,154758336,idle,TaskHuman,GlobalFail,False,'','','','','',''
1.50688484618384E+018,15,1,HUMAN,,1506884846,182783926,beginner,stubborn,YES,,1506884843,952962958,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688486274107E+018,15,2,HUMAN,,1506884862,739997708,beginner,stubborn,YES,,1506884856,426427417,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688488315749E+018,15,3,HUMAN,,1506884883,156020113,beginner,stubborn,YES,,1506884880,720459878,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688506380337E+018,16,0,HUMAN,,1506885063,802207684,beginner,thinker,YES,,1506885061,153492295,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688507665494E+018,16,1,HUMAN,,1506885076,653676268,beginner,thinker,YES,,1506885073,364848822,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688508394526E+018,16,2,HUMAN,,1506885083,944126212,beginner,thinker,YES,,1506885078,201205521,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688509647872E+018,16,3,HUMAN,,1506885096,477448470,beginner,thinker,YES,,1506885087,857412964,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50688510295256E+018,16,4,HUMAN,,1506885102,951402902,beginner,thinker,YES,,1506885099,72930854,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688511571382E+018,17,0,HUMAN,,1506885115,712711122,beginner,thinker,YES,,1506885113,40481542,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688512087308E+018,17,1,HUMAN,,1506885120,871860164,beginner,thinker,YES,,1506885118,584011009,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688513789487E+018,17,2,HUMAN,,1506885137,893773093,beginner,thinker,YES,,1506885132,464132597,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688515044541E+018,17,3,HUMAN,,1506885150,444319052,beginner,thinker,YES,,1506885145,875430809,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50688515916732E+018,17,4,HUMAN,,1506885159,166070143,beginner,thinker,YES,,1506885155,760931433,idle,RobotIsWarned,RobotIsWarned,True,'','','','','',''
1.50688516334941E+018,17,5,HUMAN,,1506885163,348260647,beginner,thinker,YES,,1506885160,881904540,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688517388152E+018,18,0,HUMAN,,1506885173,879958825,beginner,stubborn,YES,,1506885173,725747195,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688518319434E+018,18,1,HUMAN,,1506885183,193248738,beginner,stubborn,YES,,1506885179,824881337,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688518917296E+018,18,2,HUMAN,,1506885189,171865606,beginner,stubborn,YES,,1506885186,664939990,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688519760479E+018,18,3,HUMAN,,1506885197,603378312,beginner,stubborn,YES,,1506885194,373772765,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.5068852063629E+018,19,0,HUMAN,,1506885206,362129828,beginner,stubborn,YES,,1506885206,299697275,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688521797738E+018,19,1,HUMAN,,1506885217,976240419,beginner,stubborn,YES,,1506885216,44801685,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688522635908E+018,19,2,HUMAN,,1506885226,357898625,beginner,stubborn,YES,,1506885224,115410636,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688528310378E+018,20,0,HUMAN,,1506885283,102634529,beginner,stubborn,YES,,1506885280,874298456,idle,TaskHuman,Evaluating,False,'','','','','',''
1.50688529599136E+018,20,1,HUMAN,,1506885295,990267829,beginner,stubborn,YES,,1506885293,786870166,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688531235587E+018,20,2,HUMAN,,1506885308,407237049,beginner,stubborn,YES,,1506885302,756274933,grasp,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50688531933193E+018,20,3,HUMAN,,1506885319,330899783,beginner,stubborn,YES,,1506885317,378941200,idle,GlobalFail,GlobalFail,True,'','','','','',''
1.50688537312556E+018,21,0,HUMAN,,1506885373,124542273,beginner,tired,YES,,1506885373,58301456,idle,TaskHuman,Evaluating,False,'','','','','',''
1.50688538654215E+018,21,1,HUMAN,,1506885386,541065695,beginner,tired,YES,,1506885383,856428436,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688539657864E+018,21,2,HUMAN,,1506885396,577507626,beginner,tired,YES,,1506885389,330376667,looking around,NoAttention,NoAttention,True,'','','','','',''
1.50688541372302E+018,21,3,HUMAN,,1506885413,721797089,beginner,tired,YES,,1506885409,464788835,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688542756487E+018,22,0,HUMAN,,1506885427,563788537,beginner,distracted,YES,,1506885425,91843733,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688543549363E+018,22,1,HUMAN,,1506885435,492408844,beginner,distracted,YES,,1506885431,420878840,looking around,Evaluating,Evaluating,True,'','','','','',''
1.50688544852872E+018,22,2,HUMAN,,1506885448,527637644,beginner,distracted,YES,,1506885443,124870550,looking around,NoAttention,NoAttention,True,'','','','','',''
1.50688546600029E+018,22,3,HUMAN,,1506885465,999030434,beginner,distracted,YES,,1506885461,757756487,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688561710236E+018,23,0,HUMAN,,1506885617,101217999,beginner,thinker,YES,,1506885614,834320385,idle,TaskHuman,Evaluating,False,'','','','','',''
1.50688562973403E+018,23,1,HUMAN,,1506885629,732683462,beginner,thinker,YES,,1506885627,362742584,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688564058605E+018,23,2,HUMAN,,1506885640,584947396,beginner,thinker,YES,,1506885634,929128756,idle,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.5068856494396E+018,23,3,HUMAN,,1506885649,438302462,beginner,thinker,YES,,1506885642,548026934,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50688565525688E+018,23,4,HUMAN,,1506885655,255833312,beginner,thinker,YES,,1506885652,600676443,idle,GlobalFail,GlobalFail,True,'','','','','',''
1.50688581566134E+018,24,0,HUMAN,,1506885815,660253749,beginner,thinker,YES,,1506885813,187109734,idle,TaskHuman,FailedToGrasp,False,'','','','','',''
1.50688582187803E+018,24,1,HUMAN,,1506885821,877093312,beginner,thinker,YES,,1506885818,951125121,idle,Evaluating,Evaluating,True,'','','','','',''
1.5068858271713E+018,24,2,HUMAN,,1506885827,170105368,beginner,thinker,YES,,1506885823,873619730,idle,Evaluating,Evaluating,True,'','','','','',''
1.5068858325335E+018,24,3,HUMAN,,1506885832,532340621,beginner,thinker,YES,,1506885829,697075197,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688584492366E+018,24,4,HUMAN,,1506885841,224698546,beginner,thinker,YES,,1506885835,467046016,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688585193684E+018,24,5,HUMAN,,1506885851,935649338,beginner,thinker,YES,,1506885848,795440849,idle,GlobalFail,GlobalFail,True,'','','','','',''
1.50688587572759E+018,25,0,HUMAN,,1506885875,726422284,beginner,tired,YES,,1506885871,629761238,looking around,TaskHuman,GlobalFail,False,'','','','','',''
1.50688588043125E+018,25,1,HUMAN,,1506885880,429960030,beginner,tired,YES,,1506885878,52959185,looking around,NoAttention,NoAttention,True,'','','','','',''
1.50688588522262E+018,25,2,HUMAN,,1506885885,221416572,beginner,tired,YES,,1506885882,104722256,looking around,Evaluating,Evaluating,True,'','','','','',''
1.50688589395923E+018,25,3,HUMAN,,1506885893,958000278,beginner,tired,YES,,1506885887,275230571,looking around,Evaluating,Evaluating,True,'','','','','',''
1.50688590459238E+018,25,4,HUMAN,,1506885904,591262802,beginner,tired,YES,,1506885898,66471000,walking away,Tired,Tired,True,'','','','','',''
1.50688591694225E+018,25,5,HUMAN,,1506885916,941202916,beginner,tired,YES,,1506885912,248560001,idle,Recovery,Recovery,True,'','','','','',''
1.5068859377449E+018,26,0,HUMAN,,1506885937,743848352,beginner,thinker,YES,,1506885937,613610625,idle,TaskHuman,Recovery,False,'','','','','',''
1.50688594382514E+018,26,1,HUMAN,,1506885943,823916573,beginner,thinker,YES,,1506885941,39293269,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688594927677E+018,26,2,HUMAN,,1506885949,275756185,beginner,thinker,YES,,1506885946,172389071,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688596334237E+018,26,3,HUMAN,,1506885963,341289531,beginner,thinker,YES,,1506885957,5763568,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688597586143E+018,26,4,HUMAN,,1506885975,860338404,beginner,thinker,YES,,1506885973,110896300,idle,GlobalFail,GlobalFail,True,'','','','','',''
1.50688599727771E+018,27,0,HUMAN,,1506885997,276819108,beginner,thinker,YES,,1506885997,236774211,idle,TaskHuman,GlobalFail,False,'','','','','',''
1.50688600323281E+018,27,1,HUMAN,,1506886003,231334974,beginner,thinker,YES,,1506886000,886139190,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688600794246E+018,27,2,HUMAN,,1506886007,941262330,beginner,thinker,YES,,1506886005,243257293,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688601754241E+018,27,3,HUMAN,,1506886017,541383753,beginner,thinker,YES,,1506886011,571005479,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688602882009E+018,27,4,HUMAN,,1506886024,875829749,beginner,thinker,YES,,1506886022,332494385,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688615087825E+018,28,0,HUMAN,,1506886150,877294758,beginner,tired,YES,,1506886150,744514155,idle,TaskHuman,GlobalFail,False,'','','','','',''
1.5068861590129E+018,28,1,HUMAN,,1506886159,11735829,beginner,tired,YES,,1506886156,637707419,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688616495277E+018,28,2,HUMAN,,1506886164,951468930,beginner,tired,YES,,1506886163,3948646,idle,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50688617335974E+018,28,3,HUMAN,,1506886173,358555551,beginner,tired,YES,,1506886167,776402738,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688618977737E+018,28,4,HUMAN,,1506886189,776034652,beginner,tired,YES,,1506886187,398425789,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688623057253E+018,29,0,HUMAN,,1506886230,571400890,beginner,tired,YES,,1506886228,349326569,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5068862342957E+018,29,1,HUMAN,,1506886234,294518749,beginner,tired,YES,,1506886232,325062669,grasp,Evaluating,Evaluating,True,'','','','','',''
