rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50688405026723E+018,1,0,MANAGER,,1506884050,266919563,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688405131365E+018,1,0,ROBOT,,1506884051,312365490,'','','',,1506884051,312293157,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50688405324023E+018,1,0,OBSERVATION,,1506884053,238987181,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688405433614E+018,1,0,HUMAN,,1506884054,334963066,beginner,stubborn,YES,,1506884051,184573288,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50688405581593E+018,1,1,ROBOT,,1506884055,815022682,'','','',,1506884054,333843954,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50688405830704E+018,1,1,OBSERVATION,,1506884058,305713373,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.5068840593734E+018,1,1,HUMAN,,1506884059,372292753,beginner,stubborn,YES,,1506884056,885140180,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688406140715E+018,1,2,SENSORS,,1506884061,407011322,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688406307327E+018,1,2,ROBOT,,1506884063,72263681,'','','',,1506884059,371437407,idle,TaskHuman,GlobalSuccess,False,'','','','',6,5.7624
1.50688406569053E+018,1,2,OBSERVATION,,1506884065,689399675,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50688406675305E+018,1,2,HUMAN,,1506884066,751681776,beginner,stubborn,YES,,1506884064,131441991,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688408737297E+018,2,0,MANAGER,,1506884087,370707020,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688409005696E+018,2,0,OBSERVATION,,1506884090,55688150,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688409111823E+018,2,0,HUMAN,,1506884091,117027505,beginner,stubborn,YES,,1506884088,272516684,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688409332746E+018,2,1,ROBOT,,1506884093,326595947,'','','',,1506884091,115850294,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50688409655701E+018,2,1,OBSERVATION,,1506884096,555721179,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688409761559E+018,2,1,HUMAN,,1506884097,614437197,beginner,stubborn,YES,,1506884094,464847385,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688409940729E+018,2,2,SENSORS,,1506884099,407084656,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688410125387E+018,2,2,ROBOT,,1506884101,252885362,'','','',,1506884097,613624347,idle,TaskHuman,GlobalSuccess,False,'','','','',6,5.7624
1.50688410359027E+018,2,2,OBSERVATION,,1506884103,589009334,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50688410465153E+018,2,2,HUMAN,,1506884104,650304041,beginner,stubborn,YES,,1506884102,316002157,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688411279821E+018,3,0,MANAGER,,1506884112,797005320,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688411375812E+018,3,0,HUMAN,,1506884113,757221075,beginner,stubborn,YES,,1506884113,683692102,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5068841180164E+018,3,1,ROBOT,,1506884118,15436480,'','','',,1506884113,836860126,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5068841206406E+018,3,1,OBSERVATION,,1506884120,639088143,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688412171583E+018,3,1,HUMAN,,1506884121,714716310,beginner,stubborn,YES,,1506884119,104224732,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688412390736E+018,3,2,SENSORS,,1506884123,907211682,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688412605842E+018,3,2,ROBOT,,1506884126,57340838,'','','',,1506884121,713892469,idle,TaskHuman,GlobalSuccess,False,'','','','',6,5.88
1.50688412939028E+018,3,2,OBSERVATION,,1506884129,389051466,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50688413044542E+018,3,2,HUMAN,,1506884130,444268291,beginner,stubborn,YES,,1506884127,140147693,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688415541716E+018,4,0,MANAGER,,1506884155,415986915,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688415889241E+018,4,0,HUMAN,,1506884158,891315991,beginner,stubborn,YES,,1506884156,315556333,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688416127009E+018,4,1,ROBOT,,1506884161,269199186,'','','',,1506884158,890153576,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50688416412369E+018,4,1,OBSERVATION,,1506884164,122440495,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688416519542E+018,4,1,HUMAN,,1506884165,194238186,beginner,stubborn,YES,,1506884162,338262096,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688416740719E+018,4,2,SENSORS,,1506884167,407020060,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688417092277E+018,4,2,ROBOT,,1506884170,921641307,'','','',,1506884165,193635260,idle,TaskHuman,GlobalSuccess,False,'','','','',6,5.7624
1.50688417344038E+018,4,2,OBSERVATION,,1506884173,439054365,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50688417451826E+018,4,2,HUMAN,,1506884174,517140199,beginner,stubborn,YES,,1506884171,984762128,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688419317241E+018,5,0,MANAGER,,1506884193,170951991,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688419540716E+018,5,0,OBSERVATION,,1506884195,405690910,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688419647829E+018,5,0,HUMAN,,1506884196,477194392,beginner,stubborn,YES,,1506884194,94898529,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688419811378E+018,5,1,ROBOT,,1506884198,112900133,'','','',,1506884196,476185883,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50688420144029E+018,5,1,OBSERVATION,,1506884201,439036295,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688420251308E+018,5,1,HUMAN,,1506884202,511844351,beginner,stubborn,YES,,1506884199,175779298,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688420440717E+018,5,2,SENSORS,,1506884204,407027535,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688420553059E+018,5,2,ROBOT,,1506884205,529579532,'','','',,1506884202,510929097,idle,TaskHuman,GlobalSuccess,False,'','','','',6,5.7624
1.50688420889022E+018,5,2,OBSERVATION,,1506884208,889037690,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50688420996066E+018,5,2,HUMAN,,1506884209,959373702,beginner,stubborn,YES,,1506884206,598476868,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688421856011E+018,6,0,MANAGER,,1506884218,558960561,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688422094063E+018,6,0,OBSERVATION,,1506884220,939300835,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688422200973E+018,6,0,HUMAN,,1506884222,8655152,beginner,stubborn,YES,,1506884219,448089331,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5068842287199E+018,6,1,ROBOT,,1506884228,719071578,'','','',,1506884222,7447724,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50688423154037E+018,6,1,OBSERVATION,,1506884231,539033970,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688423262036E+018,6,1,HUMAN,,1506884232,619212944,beginner,stubborn,YES,,1506884229,778817132,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688423490723E+018,6,2,SENSORS,,1506884234,907044572,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.5068842354251E+018,6,2,ROBOT,,1506884235,424113180,'','','',,1506884232,618331261,idle,TaskHuman,GlobalSuccess,False,'','','','',6,5.7624
1.50688423862359E+018,6,2,OBSERVATION,,1506884238,622366111,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50688423970274E+018,6,2,HUMAN,,1506884239,701711821,beginner,stubborn,YES,,1506884236,477392130,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50688424735528E+018,7,0,MANAGER,,1506884247,354662182,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.5068842498238E+018,7,0,OBSERVATION,,1506884249,822478358,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688425088528E+018,7,0,HUMAN,,1506884250,884059096,beginner,stubborn,YES,,1506884248,246239966,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50688425438703E+018,7,1,ROBOT,,1506884254,386279304,'','','',,1506884250,882942947,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50688425752373E+018,7,1,OBSERVATION,,1506884257,522410052,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688425860824E+018,7,1,HUMAN,,1506884258,606651930,beginner,stubborn,YES,,1506884255,443650133,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688426345153E+018,7,2,ROBOT,,1506884263,450610792,'','','',,1506884258,605898784,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50688426622339E+018,7,2,OBSERVATION,,1506884266,222300128,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688426730897E+018,7,2,HUMAN,,1506884267,307949969,beginner,stubborn,YES,,1506884264,506772398,idle,Evaluating,Evaluating,True,'','','','','',''
1.50688426884449E+018,7,3,ROBOT,,1506884268,843622540,'','','',,1506884267,306767273,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5068842710906E+018,7,3,OBSERVATION,,1506884271,89224600,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688427440717E+018,7,3,SENSORS,,1506884274,407058540,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688427533863E+018,7,3,HUMAN,,1506884275,337552558,beginner,stubborn,YES,,1506884269,932279065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50688428135341E+018,7,4,ROBOT,,1506884281,352327766,'','','',,1506884272,157670281,grasp,HumanNeedsHelp,WarningReceived,False,'','','','',-3,-2.7671
1.5068842835914E+018,7,4,OBSERVATION,,1506884283,590188928,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50688428690426E+018,7,4,HUMAN,,1506884286,903235308,beginner,stubborn,YES,,1506884282,409455075,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50688429505072E+018,7,5,ROBOT,,1506884295,49600293,'','','',,1506884284,647242006,cancel all actions,WarningReceived,WarningReceived,True,'','','','',-1,-3.67103
1.50688429881222E+018,7,5,HUMAN,,1506884298,811148791,beginner,stubborn,YES,,1506884296,105832095,idle,RobotIsWarned,RobotIsWarned,True,'','','','','',''
1.50688429954032E+018,7,6,ROBOT,,1506884299,539119289,'','','',,1506884298,810100580,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,1.64403
1.50688430290536E+018,7,6,HUMAN,,1506884302,904125794,beginner,stubborn,YES,,1506884300,607735940,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
