task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.7624,100,0
2,5.7624,100,0
3,5.88,100,0
4,5.7624,100,0
5,5.7624,100,0
6,5.7624,100,0
7,2.62403,83.3333333333,1
8,5.53421,100,0
9,5.88,100,0
10,2.62403,83.3333333333,1
11,5.7624,100,0
12,5.64715,100,0
13,5.7624,100,0
14,-10.9127,57.1428571429,3
15,5.64715,100,0
16,-0.0564715,50,1
17,2.00403,80,1
18,5.7624,100,0
19,5.88,100,0
20,-2.82358,100,0
21,5.7624,100,0
22,5.64715,100,0
23,-5.59068,50,1
24,-2.71176,100,0
25,-2.7671,80,0
26,-2.82358,75,0
27,5.64715,100,0
28,5.64715,100,0
29,-2.7671,75,0
30,5.64715,100,0
31,5.64715,100,0
32,-6.45771,80,1
33,-6.72398,75,1
34,2.76595,50,1
35,5.88,50,0
36,-2.7671,100,0
37,-2.7671,80,0
38,-2.7671,75,0
39,5.53421,100,0
40,-2.7671,80,0
,,,
,,total_est_accuracy,88.0952380952
,,avg.reward,2.0323762125
,,help_est_accr,60
,,total_warnings_received,11
