task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,help_needed_est
1,1506884050,266919563,1506884054,333843954,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
1,1506884050,266919563,1506884059,371437407,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,
2,1506884087,370707020,1506884091,115850294,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
2,1506884087,370707020,1506884097,613624347,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,
3,1506884112,797005320,1506884113,836860126,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
3,1506884112,797005320,1506884121,713892469,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,
4,1506884155,415986915,1506884158,890153576,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
4,1506884155,415986915,1506884165,193635260,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,
5,1506884193,170951991,1506884196,476185883,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
5,1506884193,170951991,1506884202,510929097,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,
6,1506884218,558960561,1506884222,7447724,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
6,1506884218,558960561,1506884232,618331261,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.7624,0,
7,1506884247,354662182,1506884250,882942947,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
7,1506884247,354662182,1506884258,605898784,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
7,1506884247,354662182,1506884267,306767273,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
7,1506884247,354662182,1506884272,157670281,grasp,HumanNeedsHelp,WarningReceived,Evaluating,stubborn,YES,False,-3,-2.7671,1,0
7,1506884247,354662182,1506884284,647242006,cancel all actions,WarningReceived,WarningReceived,Evaluating,stubborn,YES,True,0,0,0,
7,1506884247,354662182,1506884298,810100580,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,2.62403,0,
8,1506884357,81704139,1506884361,271694120,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
8,1506884357,81704139,1506884365,699093625,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
8,1506884357,81704139,1506884372,103208254,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
8,1506884357,81704139,1506884377,877853886,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.53421,0,
9,1506884397,920845852,1506884398,970494689,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
9,1506884397,920845852,1506884405,999728557,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.88,0,
10,1506884421,294780785,1506884424,964523157,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
10,1506884421,294780785,1506884430,560157190,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
10,1506884421,294780785,1506884437,509561181,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
10,1506884421,294780785,1506884444,727568598,grasp,HumanNeedsHelp,WarningReceived,,,,False,-3,-2.7671,1,0
10,1506884421,294780785,1506884457,989047562,cancel all actions,WarningReceived,WarningReceived,WarningTheRobot,stubborn,YES,True,0,0,0,
10,1506884421,294780785,1506884481,753143966,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,2.62403,0,
11,1506884562,888880509,1506884563,937785150,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
11,1506884562,888880509,1506884570,199690284,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
11,1506884562,888880509,1506884578,31901034,idle,GlobalSuccess,GlobalSuccess,TaskHuman,thinker,YES,True,6,5.7624,0,
12,1506884600,199632288,1506884604,158033258,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,
12,1506884600,199632288,1506884609,648925984,idle,TaskHuman,TaskHuman,FailedToGrasp,tired,YES,True,0,0,0,
12,1506884600,199632288,1506884620,651470635,grasp,HumanNeedsHelp,GlobalSuccess,,,,True,6,5.64715,0,1
13,1506884650,15373140,1506884651,56558085,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
13,1506884650,15373140,1506884657,768710323,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
13,1506884650,15373140,1506884666,158978227,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.7624,0,
14,1506884703,473300546,1506884707,544927014,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
14,1506884703,473300546,1506884716,162538238,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
14,1506884703,473300546,1506884723,833498932,grasp,HumanNeedsHelp,WarningReceived,WarningTheRobot,stubborn,YES,False,-3,-2.82358,1,0
14,1506884703,473300546,1506884731,849052728,grasp,HumanNeedsHelp,WarningReceived,TaskHuman,stubborn,YES,False,-3,-5.59068,1,0
14,1506884703,473300546,1506884749,221318228,grasp,HumanNeedsHelp,WarningReceived,Evaluating,stubborn,YES,False,-3,-8.30244,1,0
14,1506884703,473300546,1506884756,110802357,cancel all actions,WarningReceived,WarningReceived,Evaluating,stubborn,YES,True,0,0,0,
14,1506884703,473300546,1506884770,723239946,grasp,HumanNeedsHelp,GlobalFail,WarningTheRobot,stubborn,YES,True,-3,-10.9127,0,1
15,1506884835,269626473,1506884839,88185964,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
15,1506884835,269626473,1506884846,181901511,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
15,1506884835,269626473,1506884859,617985043,grasp,HumanNeedsHelp,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.64715,0,1
16,1506885060,260186897,1506885063,801048930,idle,TaskHuman,TaskHuman,WarningTheRobot,thinker,YES,True,0,0,0,
16,1506885060,260186897,1506885076,652696866,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
16,1506885060,260186897,1506885080,645936239,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-2.82358,1,0
16,1506885060,260186897,1506885094,95727210,cancel all actions,WarningReceived,GlobalSuccess,Evaluating,thinker,YES,False,3,-0.0564715,0,
17,1506885112,125057550,1506885115,711410999,idle,TaskHuman,TaskHuman,WarningTheRobot,thinker,YES,True,0,0,0,
17,1506885112,125057550,1506885120,870934475,idle,TaskHuman,TaskHuman,RobotIsWarned,thinker,YES,True,0,0,0,
17,1506885112,125057550,1506885134,662431939,grasp,HumanNeedsHelp,WarningReceived,GlobalSuccess,thinker,YES,False,-3,-2.82358,1,0
17,1506885112,125057550,1506885148,154161738,cancel all actions,WarningReceived,WarningReceived,,,,True,0,0,0,
17,1506885112,125057550,1506885159,165149492,idle,GlobalSuccess,GlobalSuccess,,,,True,6,2.00403,0,
18,1506885172,837581920,1506885173,896100127,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
18,1506885172,837581920,1506885183,192372100,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
18,1506885172,837581920,1506885189,171034079,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,
19,1506885205,410980546,1506885206,461838664,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
19,1506885205,410980546,1506885217,975395133,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,
20,1506885279,963073388,1506885283,101486873,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
20,1506885279,963073388,1506885295,989273697,idle,TaskHuman,TaskHuman,FailedToGrasp,stubborn,YES,True,0,0,0,
20,1506885279,963073388,1506885305,211957547,grasp,HumanNeedsHelp,GlobalFail,GlobalFail,stubborn,YES,True,-3,-2.82358,0,1
21,1506885372,179242806,1506885373,232640606,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
21,1506885372,179242806,1506885386,540218461,idle,TaskHuman,TaskHuman,TaskHuman,tired,YES,True,0,0,0,
21,1506885372,179242806,1506885393,246991545,grasp,HumanNeedsHelp,GlobalSuccess,Evaluating,tired,YES,True,6,5.7624,0,1
22,1506885424,207614685,1506885427,562651891,idle,TaskHuman,TaskHuman,NoAttention,distracted,YES,True,0,0,0,
22,1506885424,207614685,1506885435,491518370,idle,TaskHuman,TaskHuman,GlobalSuccess,distracted,YES,True,0,0,0,
22,1506885424,207614685,1506885445,280882907,grasp,HumanNeedsHelp,GlobalSuccess,,,,True,6,5.64715,0,1
23,1506885613,919556361,1506885617,99866017,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
23,1506885613,919556361,1506885629,731687080,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
