rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,immediate_reward,total_disc_reward
1.50688405131365E+018,1,0,ROBOT,,1506884051,312365490,,1506884051,312293157,idle,TaskHuman,TaskHuman,True,'',''
1.50688405581593E+018,1,1,ROBOT,,1506884055,815022682,,1506884054,333843954,idle,TaskHuman,TaskHuman,True,0,0
1.50688406307327E+018,1,2,ROBOT,,1506884063,72263681,,1506884059,371437407,idle,TaskHuman,GlobalSuccess,False,6,5.7624
1.50688409332746E+018,2,1,ROBOT,,1506884093,326595947,,1506884091,115850294,idle,TaskHuman,TaskHuman,True,0,0
1.50688410125387E+018,2,2,ROBOT,,1506884101,252885362,,1506884097,613624347,idle,TaskHuman,GlobalSuccess,False,6,5.7624
1.5068841180164E+018,3,1,ROBOT,,1506884118,15436480,,1506884113,836860126,idle,TaskHuman,TaskHuman,True,0,0
1.50688412605842E+018,3,2,ROBOT,,1506884126,57340838,,1506884121,713892469,idle,TaskHuman,GlobalSuccess,False,6,5.88
1.50688416127009E+018,4,1,ROBOT,,1506884161,269199186,,1506884158,890153576,idle,TaskHuman,TaskHuman,True,0,0
1.50688417092277E+018,4,2,ROBOT,,1506884170,921641307,,1506884165,193635260,idle,TaskHuman,GlobalSuccess,False,6,5.7624
1.50688419811378E+018,5,1,ROBOT,,1506884198,112900133,,1506884196,476185883,idle,TaskHuman,TaskHuman,True,0,0
1.50688420553059E+018,5,2,ROBOT,,1506884205,529579532,,1506884202,510929097,idle,TaskHuman,GlobalSuccess,False,6,5.7624
1.5068842287199E+018,6,1,ROBOT,,1506884228,719071578,,1506884222,7447724,idle,TaskHuman,TaskHuman,True,0,0
1.5068842354251E+018,6,2,ROBOT,,1506884235,424113180,,1506884232,618331261,idle,TaskHuman,GlobalSuccess,False,6,5.7624
1.50688425438703E+018,7,1,ROBOT,,1506884254,386279304,,1506884250,882942947,idle,TaskHuman,TaskHuman,True,0,0
1.50688426345153E+018,7,2,ROBOT,,1506884263,450610792,,1506884258,605898784,idle,TaskHuman,TaskHuman,True,0,0
1.50688426884449E+018,7,3,ROBOT,,1506884268,843622540,,1506884267,306767273,idle,TaskHuman,TaskHuman,True,0,0
1.50688428135341E+018,7,4,ROBOT,,1506884281,352327766,,1506884272,157670281,grasp,HumanNeedsHelp,WarningReceived,False,-3,-2.7671
1.50688429505072E+018,7,5,ROBOT,,1506884295,49600293,,1506884284,647242006,cancel all actions,WarningReceived,WarningReceived,True,-1,-3.67103
1.50688429954032E+018,7,6,ROBOT,,1506884299,539119289,,1506884298,810100580,idle,GlobalSuccess,GlobalSuccess,True,6,1.64403
1.50688436195088E+018,8,1,ROBOT,,1506884361,949881766,,1506884361,271694120,idle,TaskHuman,TaskHuman,True,0,0
1.50688436820683E+018,8,2,ROBOT,,1506884368,205556114,,1506884365,699093625,idle,TaskHuman,TaskHuman,True,0,0
1.50688437358381E+018,8,3,ROBOT,,1506884373,582974269,,1506884372,103208254,idle,TaskHuman,TaskHuman,True,0,0
1.50688438113385E+018,8,4,ROBOT,,1506884381,132970362,,1506884377,877853886,idle,TaskHuman,GlobalSuccess,False,6,5.53421
1.50688440171001E+018,9,1,ROBOT,,1506884401,709055192,,1506884398,970494689,idle,TaskHuman,TaskHuman,True,0,0
1.50688440883224E+018,9,2,ROBOT,,1506884408,831280170,,1506884405,999728557,idle,TaskHuman,GlobalSuccess,False,6,5.88
1.50688442628139E+018,10,1,ROBOT,,1506884426,280568044,,1506884424,964523157,idle,TaskHuman,TaskHuman,True,0,0
1.50688443374966E+018,10,2,ROBOT,,1506884433,748666156,,1506884430,560157190,idle,TaskHuman,TaskHuman,True,0,0
1.50688444053426E+018,10,3,ROBOT,,1506884440,533382700,,1506884437,509561181,idle,TaskHuman,TaskHuman,True,0,0
