rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50688405026723E+018,1,0,MANAGER,,1506884050,266919563,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688406140715E+018,1,2,SENSORS,,1506884061,407011322,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688408737297E+018,2,0,MANAGER,,1506884087,370707020,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688409940729E+018,2,2,SENSORS,,1506884099,407084656,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688411279821E+018,3,0,MANAGER,,1506884112,797005320,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688412390736E+018,3,2,SENSORS,,1506884123,907211682,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688415541716E+018,4,0,MANAGER,,1506884155,415986915,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688416740719E+018,4,2,SENSORS,,1506884167,407020060,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688419317241E+018,5,0,MANAGER,,1506884193,170951991,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688420440717E+018,5,2,SENSORS,,1506884204,407027535,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688421856011E+018,6,0,MANAGER,,1506884218,558960561,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688423490723E+018,6,2,SENSORS,,1506884234,907044572,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688424735528E+018,7,0,MANAGER,,1506884247,354662182,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688427440717E+018,7,3,SENSORS,,1506884274,407058540,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688435708185E+018,8,0,MANAGER,,1506884357,81704139,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.5068843799073E+018,8,4,SENSORS,,1506884379,907142252,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688439792175E+018,9,0,MANAGER,,1506884397,920845852,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688440790714E+018,9,2,SENSORS,,1506884407,907021207,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688442129529E+018,10,0,MANAGER,,1506884421,294780785,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688444640716E+018,10,3,SENSORS,,1506884446,407011699,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688456288947E+018,11,0,MANAGER,,1506884562,888880509,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688457990727E+018,11,3,SENSORS,,1506884579,907109929,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688460020027E+018,12,0,MANAGER,,1506884600,199632288,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688463440681E+018,12,3,SENSORS,,1506884634,406623293,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688465001554E+018,13,0,MANAGER,,1506884650,15373140,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688466790734E+018,13,3,SENSORS,,1506884667,907147666,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688470347396E+018,14,0,MANAGER,,1506884703,473300546,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688476990644E+018,14,6,SENSORS,,1506884769,906292423,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688483526987E+018,15,0,MANAGER,,1506884835,269626473,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688487340683E+018,15,3,SENSORS,,1506884873,406712091,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688506026428E+018,16,0,MANAGER,,1506885060,260186897,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.5068850946274E+018,16,3,SENSORS,,1506885094,627213663,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688511212525E+018,17,0,MANAGER,,1506885112,125057550,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688514812749E+018,17,3,SENSORS,,1506885148,127333552,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688517283944E+018,18,0,MANAGER,,1506885172,837581920,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688519162789E+018,18,3,SENSORS,,1506885191,627739464,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688520541484E+018,19,0,MANAGER,,1506885205,410980546,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688522062774E+018,19,2,SENSORS,,1506885220,627627439,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688527996326E+018,20,0,MANAGER,,1506885279,963073388,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50688531235588E+018,20,3,SENSORS,,1506885312,355760500,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688537217944E+018,21,0,MANAGER,,1506885372,179242806,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688540712756E+018,21,3,SENSORS,,1506885407,127414207,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688542421056E+018,22,0,MANAGER,,1506885424,207614685,beginner,distracted,YES,,0,0,'','','',False,'','',START,'','',''
1.50688545912748E+018,22,3,SENSORS,,1506885459,127313660,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688561392024E+018,23,0,MANAGER,,1506885613,919556361,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688564616793E+018,23,3,SENSORS,,1506885646,167798179,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688581229819E+018,24,0,MANAGER,,1506885812,295909387,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688584492375E+018,24,5,SENSORS,,1506885844,923622584,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688587072749E+018,25,0,MANAGER,,1506885870,726749912,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688590499157E+018,25,5,SENSORS,,1506885904,991399239,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688593674519E+018,26,0,MANAGER,,1506885936,744681615,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688596905713E+018,26,4,SENSORS,,1506885969,57051596,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688599632165E+018,27,0,MANAGER,,1506885996,320799634,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688601649187E+018,27,3,SENSORS,,1506886016,491757379,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688614983381E+018,28,0,MANAGER,,1506886149,833590893,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688618309549E+018,28,4,SENSORS,,1506886183,95251481,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688622744011E+018,29,0,MANAGER,,1506886227,439962882,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688625989466E+018,29,4,SENSORS,,1506886259,894573112,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.5068862775667E+018,30,0,MANAGER,,1506886277,565455306,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688629809578E+018,30,3,SENSORS,,1506886298,95611088,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688639238687E+018,31,0,MANAGER,,1506886392,386170048,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688642523746E+018,31,4,SENSORS,,1506886425,237258497,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688643907177E+018,32,0,MANAGER,,1506886439,71178112,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688647178661E+018,32,4,SENSORS,,1506886471,786405030,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.5068864908184E+018,33,0,MANAGER,,1506886490,817132397,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688652355324E+018,33,3,SENSORS,,1506886523,553127689,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688654037828E+018,34,0,MANAGER,,1506886540,377951919,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688657275324E+018,34,4,SENSORS,,1506886572,753032539,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50688658977742E+018,35,0,MANAGER,,1506886589,777088188,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688660123784E+018,35,2,SENSORS,,1506886601,237689909,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50688661735612E+018,36,0,MANAGER,,1506886617,355944755,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688664980316E+018,36,4,SENSORS,,1506886649,803043797,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688668871631E+018,37,0,MANAGER,,1506886688,714443285,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688673388854E+018,37,5,SENSORS,,1506886727,887281637,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688681534241E+018,38,0,MANAGER,,1506886815,339562978,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50688684773684E+018,38,4,SENSORS,,1506886847,736671372,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50688686318788E+018,39,0,MANAGER,,1506886863,187650919,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688689962125E+018,39,3,SENSORS,,1506886896,237689909,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.5068869397684E+018,40,0,MANAGER,,1506886939,768113985,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50688697218702E+018,40,5,SENSORS,,1506886972,186851618,'','','',,0,0,'','','',False,'','',FAIL,'','',''
