rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50698250989763E+018,1,0,HUMAN,,1506982509,896367064,beginner,stubborn,YES,,1506982506,720547054,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50698250989763E+018,1,0,HUMAN,,1506982509,896367064,beginner,stubborn,YES,,1506982507,720547054,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50698250989763E+018,1,0,HUMAN,,1506982509,896367064,beginner,stubborn,YES,,1506982508,720547054,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50698250989763E+018,1,0,HUMAN,,1506982509,896367064,beginner,stubborn,YES,,1506982509,720547054,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50698250989763E+018,1,0,HUMAN,,1506982509,896367064,beginner,stubborn,YES,,1506982510,720547054,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50698250989763E+018,1,0,HUMAN,,1506982509,896367064,beginner,stubborn,YES,,1506982511,720547054,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982512,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982513,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982514,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982515,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982516,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982517,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982518,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982519,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982520,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5069825240224E+018,1,2,HUMAN,,1506982524,21136014,beginner,stubborn,YES,,1506982521,324587302,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698255630994E+018,2,0,HUMAN,,1506982556,308705958,beginner,stubborn,YES,,1506982556,190963310,idle,TaskHuman,Evaluating,False,'','','','','',''
1.50698255630994E+018,2,0,HUMAN,,1506982556,308705958,beginner,stubborn,YES,,1506982557,190963310,idle,Evaluating,Evaluating,False,'','','','','',''
1.50698255630994E+018,2,0,HUMAN,,1506982556,308705958,beginner,stubborn,YES,,1506982558,190963310,idle,Evaluating,Evaluating,False,'','','','','',''
1.50698255630994E+018,2,0,HUMAN,,1506982556,308705958,beginner,stubborn,YES,,1506982559,190963310,idle,Evaluating,Evaluating,False,'','','','','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982560,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982561,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982562,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982563,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982564,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982565,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982566,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
