rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50698250989763E+018,1,0,HUMAN,,1506982509,896367064,beginner,stubborn,YES,,1506982506,720547054,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982512,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5069825240224E+018,1,2,HUMAN,,1506982524,21136014,beginner,stubborn,YES,,1506982521,324587302,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698255630994E+018,2,0,HUMAN,,1506982556,308705958,beginner,stubborn,YES,,1506982556,190963310,idle,TaskHuman,Evaluating,False,'','','','','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982560,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698257444583E+018,2,2,HUMAN,,1506982574,444595938,beginner,stubborn,YES,,1506982567,551812450,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698257825074E+018,2,3,HUMAN,,1506982578,249656351,beginner,stubborn,YES,,1506982576,249814718,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698259744847E+018,3,0,HUMAN,,1506982597,447398034,beginner,stubborn,YES,,1506982594,317159814,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698260191409E+018,3,1,HUMAN,,1506982601,912954182,beginner,stubborn,YES,,1506982599,497251969,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698261358228E+018,3,2,HUMAN,,1506982613,581177909,beginner,stubborn,YES,,1506982606,511331584,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698261928944E+018,3,3,HUMAN,,1506982619,288311263,beginner,stubborn,YES,,1506982616,31421667,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698263155667E+018,4,0,HUMAN,,1506982631,555486759,beginner,stubborn,YES,,1506982631,468106516,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698264155226E+018,4,1,HUMAN,,1506982641,550986999,beginner,stubborn,YES,,1506982633,945502612,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5069826462356E+018,4,2,HUMAN,,1506982646,234540407,beginner,stubborn,YES,,1506982643,960127337,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698265795787E+018,5,0,HUMAN,,1506982657,956749903,beginner,stubborn,YES,,1506982655,474035737,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5069826628854E+018,5,1,HUMAN,,1506982662,883978080,beginner,stubborn,YES,,1506982659,685887650,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698267631339E+018,5,2,HUMAN,,1506982676,312113493,beginner,stubborn,YES,,1506982668,863571656,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5069826803001E+018,5,3,HUMAN,,1506982680,299093801,beginner,stubborn,YES,,1506982678,24923208,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698269421207E+018,6,0,HUMAN,,1506982694,210676315,beginner,stubborn,YES,,1506982692,369521184,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698270405536E+018,6,1,HUMAN,,1506982704,53873786,beginner,stubborn,YES,,1506982696,118664813,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698270872052E+018,6,2,HUMAN,,1506982708,719448969,beginner,stubborn,YES,,1506982705,637048556,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698272071938E+018,7,0,HUMAN,,1506982720,718280618,beginner,stubborn,YES,,1506982717,713514088,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698273019366E+018,7,1,HUMAN,,1506982730,192514912,beginner,stubborn,YES,,1506982722,728063349,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698273527977E+018,7,2,HUMAN,,1506982735,278333196,beginner,stubborn,YES,,1506982732,138415623,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698274662179E+018,8,0,HUMAN,,1506982746,620458819,beginner,stubborn,YES,,1506982744,204815061,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698276056144E+018,8,1,HUMAN,,1506982760,560191901,beginner,stubborn,YES,,1506982752,325072196,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698276568155E+018,8,2,HUMAN,,1506982765,680549289,beginner,stubborn,YES,,1506982762,468736219,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698277656268E+018,9,0,HUMAN,,1506982776,561381788,beginner,thinker,YES,,1506982774,80966258,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5069827875767E+018,9,1,HUMAN,,1506982787,575439149,beginner,thinker,YES,,1506982780,14522172,grasp,Evaluating,Evaluating,True,'','','','','',''
1.506982792154E+018,9,2,HUMAN,,1506982792,152861907,beginner,thinker,YES,,1506982789,246794509,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698280350221E+018,10,0,HUMAN,,1506982803,501090590,beginner,thinker,YES,,1506982800,574038835,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698281945853E+018,10,1,HUMAN,,1506982819,457432259,beginner,thinker,YES,,1506982811,547611246,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5069828242228E+018,10,2,HUMAN,,1506982824,221603015,beginner,thinker,YES,,1506982821,957654118,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698283750658E+018,11,0,HUMAN,,1506982837,505499199,beginner,stubborn,YES,,1506982837,444896569,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698284572871E+018,11,1,HUMAN,,1506982845,727426593,beginner,stubborn,YES,,1506982842,363279908,looking around,NoAttention,NoAttention,True,'','','','','',''
1.50698285757715E+018,11,2,HUMAN,,1506982857,575990528,beginner,stubborn,YES,,1506982849,74504700,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698286214275E+018,11,3,HUMAN,,1506982862,141686248,beginner,stubborn,YES,,1506982859,439868522,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698287677726E+018,12,0,HUMAN,,1506982876,776021057,beginner,stubborn,YES,,1506982874,302538025,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698288804334E+018,12,1,HUMAN,,1506982888,42283739,beginner,stubborn,YES,,1506982885,374655590,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698289728983E+018,12,2,HUMAN,,1506982897,288526801,beginner,stubborn,YES,,1506982890,726241644,grasp,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50698290580466E+018,12,3,HUMAN,,1506982903,588377089,beginner,stubborn,YES,,1506982898,865648080,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50698291056544E+018,12,4,HUMAN,,1506982910,564227055,beginner,stubborn,YES,,1506982907,587053694,idle,RobotIsWarned,RobotIsWarned,True,'','','','','',''
1.50698291487337E+018,12,5,HUMAN,,1506982914,872228234,beginner,stubborn,YES,,1506982912,250557855,idle,GlobalFail,GlobalFail,True,'','','','','',''
1.5069831149742E+018,13,0,HUMAN,,1506983114,973227938,beginner,stubborn,YES,,1506983114,860262679,idle,TaskHuman,Evaluating,False,'','','','','',''
1.50698312609227E+018,13,1,HUMAN,,1506983126,91167221,beginner,stubborn,YES,,1506983118,105702740,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698313071989E+018,13,2,HUMAN,,1506983130,718822209,beginner,stubborn,YES,,1506983127,581562295,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698314201798E+018,14,0,HUMAN,,1506983142,16865110,beginner,thinker,YES,,1506983139,606198599,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698314946041E+018,14,1,HUMAN,,1506983149,459273634,beginner,thinker,YES,,1506983146,603691184,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698315480916E+018,14,2,HUMAN,,1506983154,807982538,beginner,thinker,YES,,1506983152,514044844,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698316172287E+018,14,3,HUMAN,,1506983161,721792614,beginner,thinker,YES,,1506983156,423273796,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698317628107E+018,14,4,HUMAN,,1506983176,280108963,beginner,thinker,YES,,1506983173,394149232,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698320862149E+018,15,0,HUMAN,,1506983208,620386476,beginner,stubborn,YES,,1506983206,269325170,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698322200188E+018,15,1,HUMAN,,1506983222,575204,beginner,stubborn,YES,,1506983215,16495182,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698322591155E+018,15,2,HUMAN,,1506983225,910239899,beginner,stubborn,YES,,1506983224,11269269,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698324006302E+018,16,0,HUMAN,,1506983240,61487260,beginner,thinker,YES,,1506983237,272427155,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698324464785E+018,16,1,HUMAN,,1506983244,646730381,beginner,thinker,YES,,1506983241,881216823,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698325278967E+018,16,2,HUMAN,,1506983252,788640511,beginner,thinker,YES,,1506983247,377593146,idle,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50698325935627E+018,16,3,HUMAN,,1506983259,355158485,beginner,thinker,YES,,1506983254,455803020,warn the robot,WarningTheRobot,WarningTheRobot,True,'','','','','',''
1.50698326883798E+018,16,4,HUMAN,,1506983268,221800275,beginner,thinker,YES,,1506983261,30903416,idle,RobotIsWarned,RobotIsWarned,True,'','','','','',''
1.50698327232431E+018,16,5,HUMAN,,1506983272,323241383,beginner,thinker,YES,,1506983269,910672503,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698327743908E+018,16,6,HUMAN,,1506983277,437960098,beginner,thinker,YES,,1506983275,331679848,idle,GlobalFail,GlobalFail,True,'','','','','',''
1.50698331025668E+018,17,0,HUMAN,,1506983310,255449835,beginner,thinker,YES,,1506983308,81421869,idle,TaskHuman,GlobalFail,False,'','','','','',''
1.50698331979397E+018,17,1,HUMAN,,1506983319,792954652,beginner,thinker,YES,,1506983311,964940845,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698332440229E+018,17,2,HUMAN,,1506983324,401002493,beginner,thinker,YES,,1506983321,377412910,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.5069833336566E+018,18,0,HUMAN,,1506983333,655724876,beginner,thinker,YES,,1506983333,607889832,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698333916282E+018,18,1,HUMAN,,1506983339,161724949,beginner,thinker,YES,,1506983336,775219824,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698334957062E+018,18,2,HUMAN,,1506983349,569062515,beginner,thinker,YES,,1506983341,387794951,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698335432408E+018,18,3,HUMAN,,1506983354,323084335,beginner,thinker,YES,,1506983351,180488959,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
