rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50698250583279E+018,1,0,MANAGER,,1506982505,832483870,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698250687005E+018,1,0,ROBOT,,1506982506,868795821,'','','',,1506982506,868701405,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50698250882212E+018,1,0,OBSERVATION,,1506982508,820979202,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50698250989763E+018,1,0,HUMAN,,1506982509,896367064,beginner,stubborn,YES,,1506982506,720547054,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50698251112453E+018,1,1,ROBOT,,1506982511,123703694,'','','',,1506982509,895039113,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50698251730577E+018,1,1,SENSORS,,1506982517,305613230,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.5069825186726E+018,1,1,OBSERVATION,,1506982518,670903626,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50698251973264E+018,1,1,HUMAN,,1506982519,731493796,beginner,stubborn,YES,,1506982512,202090030,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698252026969E+018,1,2,ROBOT,,1506982520,268832923,'','','',,1506982519,730682654,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50698252295551E+018,1,2,OBSERVATION,,1506982522,954270774,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.5069825240224E+018,1,2,HUMAN,,1506982524,21136014,beginner,stubborn,YES,,1506982521,324587302,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698255529829E+018,2,0,MANAGER,,1506982555,297603776,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698255630994E+018,2,0,HUMAN,,1506982556,308705958,beginner,stubborn,YES,,1506982556,190963310,idle,TaskHuman,Evaluating,False,'','','','','',''
1.50698255967893E+018,2,1,ROBOT,,1506982559,677815218,'','','',,1506982556,337773612,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50698256175706E+018,2,1,OBSERVATION,,1506982561,755842354,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50698256282317E+018,2,1,HUMAN,,1506982562,821604558,beginner,stubborn,YES,,1506982560,747640235,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698256649358E+018,2,2,ROBOT,,1506982566,492774645,'','','',,1506982562,820755256,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5069825723057E+018,2,2,SENSORS,,1506982572,305616091,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698257338474E+018,2,2,OBSERVATION,,1506982573,383429671,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50698257444583E+018,2,2,HUMAN,,1506982574,444595938,beginner,stubborn,YES,,1506982567,551812450,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698257516799E+018,2,3,ROBOT,,1506982575,167024558,'','','',,1506982574,443516389,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50698257718564E+018,2,3,OBSERVATION,,1506982577,183971895,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50698257825074E+018,2,3,HUMAN,,1506982578,249656351,beginner,stubborn,YES,,1506982576,249814718,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50698259341851E+018,3,0,MANAGER,,1506982593,418094078,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698259638889E+018,3,0,OBSERVATION,,1506982596,387571598,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50698259744847E+018,3,0,HUMAN,,1506982597,447398034,beginner,stubborn,YES,,1506982594,317159814,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50698259843796E+018,3,1,ROBOT,,1506982598,437000395,'','','',,1506982597,446411272,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50698260085617E+018,3,1,OBSERVATION,,1506982600,854653436,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50698260191409E+018,3,1,HUMAN,,1506982601,912954182,beginner,stubborn,YES,,1506982599,497251969,idle,Evaluating,Evaluating,True,'','','','','',''
1.50698260543172E+018,3,2,ROBOT,,1506982605,430906855,'','','',,1506982601,912060003,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50698261130599E+018,3,2,SENSORS,,1506982611,305866804,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698261252263E+018,3,2,OBSERVATION,,1506982612,520951906,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50698261358228E+018,3,2,HUMAN,,1506982613,581177909,beginner,stubborn,YES,,1506982606,511331584,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50698261498758E+018,3,3,ROBOT,,1506982614,986652349,'','','',,1506982613,580281756,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.64715
1.5069826182223E+018,3,3,OBSERVATION,,1506982618,220942049,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
