task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,help_est
1,1506982505,832483870,1506982509,895039113,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
1,1506982505,832483870,1506982519,730682654,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,
2,1506982555,297603776,1506982556,337773612,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
2,1506982555,297603776,1506982562,820755256,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
2,1506982555,297603776,1506982574,443516389,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,
3,1506982593,418094078,1506982597,446411272,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
3,1506982593,418094078,1506982601,912060003,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
3,1506982593,418094078,1506982613,580281756,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.64715,0,
4,1506982630,591275579,1506982631,632083177,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
4,1506982630,591275579,1506982641,550124451,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.88,0,
5,1506982654,557154512,1506982657,955648484,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
5,1506982654,557154512,1506982662,883194895,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
5,1506982654,557154512,1506982676,311171285,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.64715,0,
6,1506982691,487064155,1506982694,209428786,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
6,1506982691,487064155,1506982704,53015052,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,
7,1506982716,811507872,1506982720,717000818,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
7,1506982716,811507872,1506982730,191727898,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.7624,0,
8,1506982743,303920145,1506982746,619389275,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
8,1506982743,303920145,1506982760,559226003,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,
9,1506982773,166041075,1506982776,560326396,idle,TaskHuman,TaskHuman,GlobalSuccess,thinker,YES,True,0,0,0,
9,1506982773,166041075,1506982787,574592140,idle,GlobalSuccess,GlobalSuccess,TaskHuman,thinker,YES,True,6,5.7624,0,
10,1506982799,686225714,1506982803,499846884,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
10,1506982799,686225714,1506982819,456622499,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,thinker,YES,True,6,5.7624,0,
11,1506982836,557068395,1506982837,603216562,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
11,1506982836,557068395,1506982845,726423900,idle,TaskHuman,TaskHuman,NoAttention,stubborn,YES,True,0,0,0,
11,1506982836,557068395,1506982857,575181261,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,
12,1506982873,390255193,1506982876,774940125,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
12,1506982873,390255193,1506982888,41533272,idle,TaskHuman,HumanNeedsHelp,Evaluating,stubborn,YES,False,0,0,0,
12,1506982873,390255193,1506982893,879529302,grasp,HumanNeedsHelp,WarningReceived,FailedToGrasp,stubborn,YES,False,-3,-2.82358,1,0
12,1506982873,390255193,1506982901,205149233,cancel all actions,WarningReceived,WarningReceived,TaskHuman,stubborn,YES,True,0,-2.82358,0,
12,1506982873,390255193,1506982910,563371132,idle,GlobalFail,GlobalFail,Evaluating,stubborn,YES,True,-3,-5.53534,0,
13,1506983113,961352628,1506983115,2310432,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
13,1506983113,961352628,1506983126,90195589,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,
14,1506983138,687349356,1506983142,15629106,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
14,1506983138,687349356,1506983149,458284877,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
14,1506983138,687349356,1506983154,806827107,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
14,1506983138,687349356,1506983158,379516040,grasp,HumanNeedsHelp,GlobalSuccess,TaskHuman,thinker,YES,False,6,5.53421,0,1
15,1506983205,366170608,1506983208,619281353,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
15,1506983205,366170608,1506983221,999542446,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,
16,1506983236,394808382,1506983240,60306968,idle,TaskHuman,TaskHuman,WarningTheRobot,thinker,YES,True,0,0,0,
16,1506983236,394808382,1506983244,645915433,idle,TaskHuman,HumanNeedsHelp,RobotIsWarned,thinker,YES,False,0,0,0,
16,1506983236,394808382,1506983249,689554225,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-2.82358,1,0
16,1506983236,394808382,1506983256,968822477,cancel all actions,WarningReceived,WarningReceived,TaskHuman,thinker,YES,True,0,-2.82358,0,
16,1506983236,394808382,1506983264,968724900,grasp,HumanNeedsHelp,TaskHuman,Evaluating,thinker,YES,False,-3,-5.53534,0,
16,1506983236,394808382,1506983272,322315464,idle,GlobalFail,GlobalFail,FailedToGrasp,thinker,YES,True,-3,-8.19287,0,
17,1506983307,183943309,1506983310,254261267,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
17,1506983307,183943309,1506983319,792243156,idle,GlobalSuccess,GlobalSuccess,Evaluating,thinker,YES,True,6,5.7624,0,
18,1506983332,703660811,1506983333,741198031,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
18,1506983332,703660811,1506983339,160619599,idle,TaskHuman,TaskHuman,GlobalSuccess,thinker,YES,True,0,0,0,
18,1506983332,703660811,1506983349,568219451,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.7624,0,
19,1506983361,863000757,1506983365,421967694,idle,TaskHuman,HumanNeedsHelp,TaskHuman,stubborn,YES,False,0,0,0,
19,1506983361,863000757,1506983372,408839936,grasp,HumanNeedsHelp,GlobalSuccess,FailedToGrasp,stubborn,YES,False,6,5.7624,0,1
20,1506983604,72958554,1506983607,211252524,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
20,1506983604,72958554,1506983617,86535044,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.7624,0,
21,1506983630,416785744,1506983638,923191969,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,
22,1506983651,173290476,1506983654,779030615,idle,TaskHuman,TaskHuman,GlobalSuccess,thinker,YES,True,0,0,0,
22,1506983651,173290476,1506983669,475375517,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.7624,0,
23,1506983682,420118518,1506983686,408510305,idle,TaskHuman,TaskHuman,WarningTheRobot,thinker,YES,True,0,0,0,
23,1506983682,420118518,1506983690,589782736,idle,TaskHuman,HumanNeedsHelp,RobotIsWarned,thinker,YES,False,0,0,0,
23,1506983682,420118518,1506983696,464934908,grasp,HumanNeedsHelp,WarningReceived,GlobalSuccess,thinker,YES,False,-3,-2.82358,1,0
23,1506983682,420118518,1506983704,110506631,grasp,HumanNeedsHelp,WarningReceived,TaskHuman,thinker,YES,False,-3,-5.59068,1,0
23,1506983682,420118518,1506983708,926868724,cancel all actions,WarningReceived,WarningReceived,Evaluating,thinker,YES,True,0,-5.59068,0,
23,1506983682,420118518,1506983720,908907176,idle,GlobalSuccess,GlobalSuccess,FailedToGrasp,thinker,YES,True,6,-0.275626,0,
24,1506983747,672202086,1506983750,912914117,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
24,1506983747,672202086,1506983755,857251767,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
24,1506983747,672202086,1506983765,131668755,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
24,1506983747,672202086,1506983769,743788311,grasp,HumanNeedsHelp,HumanNeedsHelp,Evaluating,thinker,YES,True,0,0,0,1
24,1506983747,672202086,1506983781,165869186,grasp,HumanNeedsHelp,GlobalSuccess,TaskHuman,thinker,YES,False,6,5.42352,0,
25,1506983798,497341766,1506983801,485374278,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
25,1506983798,497341766,1506983807,350969261,idle,TaskHuman,HumanNeedsHelp,FailedToGrasp,thinker,YES,False,0,0,0,
25,1506983798,497341766,1506983813,63990854,grasp,HumanNeedsHelp,WarningReceived,TaskHuman,thinker,YES,False,-3,-2.82358,1,0
25,1506983798,497341766,1506983821,3948859,cancel all actions,WarningReceived,TaskHuman,Evaluating,thinker,YES,False,-3,-5.59068,0,
25,1506983798,497341766,1506983832,239491088,grasp,HumanNeedsHelp,WarningReceived,FailedToGrasp,thinker,YES,False,-3,-8.30244,1,0
25,1506983798,497341766,1506983840,345444011,idle,GlobalFail,WarningReceived,TaskHuman,thinker,YES,False,-3,-10.96,1,
25,1506983798,497341766,1506983846,737050063,idle,GlobalFail,GlobalFail,Evaluating,thinker,YES,True,-3,-13.5643,0,
26,1506983859,663613636,1506983863,649114123,idle,TaskHuman,TaskHuman,TaskHuman,tired,YES,True,0,0,0,
26,1506983859,663613636,1506983871,335782750,idle,TaskHuman,HumanNeedsHelp,Evaluating,tired,YES,False,0,0,0,
26,1506983859,663613636,1506983878,46997457,grasp,HumanNeedsHelp,GlobalSuccess,FailedToGrasp,tired,YES,False,6,5.64715,0,
27,1506983913,342740062,1506983917,360098711,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
27,1506983913,342740062,1506983922,662731044,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
27,1506983913,342740062,1506983930,225709472,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
27,1506983913,342740062,1506983935,137915243,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-2.7671,1,0
27,1506983913,342740062,1506983947,5584012,cancel all actions,WarningReceived,WarningReceived,WarningTheRobot,thinker,YES,True,0,-2.7671,0,
27,1506983913,342740062,1506983955,697831723,grasp,HumanNeedsHelp,GlobalSuccess,RobotIsWarned,thinker,YES,False,6,2.54795,0,
28,1506983988,75946821,1506983989,126498392,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
28,1506983988,75946821,1506983995,440682949,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
28,1506983988,75946821,1506984000,604206899,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
28,1506983988,75946821,1506984005,600240525,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
28,1506983988,75946821,1506984015,79126897,grasp,HumanNeedsHelp,GlobalFail,Evaluating,thinker,YES,True,-3,-2.7671,0,1
29,1506984071,99128418,1506984074,431147533,idle,TaskHuman,TaskHuman,GlobalSuccess,thinker,YES,True,0,0,0,
29,1506984071,99128418,1506984078,678841363,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
29,1506984071,99128418,1506984083,570893088,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
29,1506984071,99128418,1506984089,398823145,grasp,HumanNeedsHelp,GlobalSuccess,Evaluating,thinker,YES,False,6,5.53421,0,1
30,1506984117,184081128,1506984118,223079358,idle,TaskHuman,TaskHuman,Tired,tired,YES,True,0,0,0,
30,1506984117,184081128,1506984125,617432527,idle,TaskHuman,HumanNeedsHelp,Recovery,tired,YES,False,0,0,0,
30,1506984117,184081128,1506984130,778066779,idle,TaskHuman,HumanNeedsHelp,Recovery,tired,YES,False,0,0,0,
30,1506984117,184081128,1506984138,156505707,grasp,HumanNeedsHelp,HumanNeedsHelp,,,,True,0,0,0,1
30,1506984117,184081128,1506984154,398823145,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.53421,0,
31,1506984207,716099901,1506984210,699138083,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
31,1506984207,716099901,1506984214,967221067,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
31,1506984207,716099901,1506984219,148915810,idle,TaskHuman,HumanNeedsHelp,Evaluating,thinker,YES,False,0,0,0,
31,1506984207,716099901,1506984225,450096596,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-2.7671,1,0
31,1506984207,716099901,1506984233,704251237,cancel all actions,WarningReceived,WarningReceived,FailedToGrasp,thinker,YES,True,0,-2.7671,0,
31,1506984207,716099901,1506984245,938154675,idle,GlobalFail,GlobalFail,TaskHuman,thinker,YES,True,-3,-5.42463,0,
32,1506984268,138810276,1506984271,750666160,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,
32,1506984268,138810276,1506984277,288739790,idle,TaskHuman,TaskHuman,NoAttention,tired,YES,True,0,0,0,
32,1506984268,138810276,1506984283,674776494,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,
32,1506984268,138810276,1506984287,616654255,idle,TaskHuman,HumanNeedsHelp,FailedToGrasp,tired,YES,False,0,0,0,
32,1506984268,138810276,1506984296,188023425,grasp,HumanNeedsHelp,GlobalFail,GlobalFail,tired,YES,False,-3,-2.71176,0,1
33,1506984336,553515414,1506984340,352538335,idle,TaskHuman,TaskHuman,GlobalSuccess,tired,YES,True,0,0,0,
33,1506984336,553515414,1506984345,58502709,idle,TaskHuman,TaskHuman,TaskHuman,tired,YES,True,0,0,0,
33,1506984336,553515414,1506984350,506067581,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,
33,1506984336,553515414,1506984354,464274448,grasp,HumanNeedsHelp,HumanNeedsHelp,Evaluating,tired,YES,True,0,0,0,1
33,1506984336,553515414,1506984362,746475081,grasp,HumanNeedsHelp,HumanNeedsHelp,NoAttention,tired,YES,True,0,0,0,
33,1506984336,553515414,1506984373,154612221,idle,GlobalSuccess,GlobalSuccess,Tired,tired,YES,True,6,5.31505,0,
34,1506984394,250900115,1506984397,165625183,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
34,1506984394,250900115,1506984402,553149928,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
34,1506984394,250900115,1506984411,37046662,idle,GlobalSuccess,GlobalSuccess,Evaluating,thinker,YES,True,6,5.64715,0,
35,1506984422,728565552,1506984427,758793015,idle,TaskHuman,TaskHuman,NoAttention,distracted,YES,True,0,0,0,
35,1506984422,728565552,1506984432,76136547,idle,TaskHuman,TaskHuman,Evaluating,distracted,YES,True,0,0,0,
35,1506984422,728565552,1506984436,349469346,idle,TaskHuman,TaskHuman,Evaluating,distracted,YES,True,0,0,0,
35,1506984422,728565552,1506984440,940773229,idle,TaskHuman,TaskHuman,TaskHuman,distracted,YES,True,0,0,0,
35,1506984422,728565552,1506984451,125583780,idle,GlobalSuccess,GlobalSuccess,NoAttention,distracted,YES,True,6,5.42352,0,
36,1506984468,297769252,1506984472,374424973,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
36,1506984468,297769252,1506984478,771797377,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,
