rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50698250583279E+018,1,0,MANAGER,,1506982505,832483870,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698251730577E+018,1,1,SENSORS,,1506982517,305613230,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698255529829E+018,2,0,MANAGER,,1506982555,297603776,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.5069825723057E+018,2,2,SENSORS,,1506982572,305616091,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698259341851E+018,3,0,MANAGER,,1506982593,418094078,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698261130599E+018,3,2,SENSORS,,1506982611,305866804,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698263059146E+018,4,0,MANAGER,,1506982630,591275579,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698263930583E+018,4,1,SENSORS,,1506982639,305727111,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698265455777E+018,5,0,MANAGER,,1506982654,557154512,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698267330566E+018,5,2,SENSORS,,1506982673,305546903,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698269148832E+018,6,0,MANAGER,,1506982691,487064155,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698270030586E+018,6,1,SENSORS,,1506982700,305647872,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.5069827168118E+018,7,0,MANAGER,,1506982716,811507872,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698272730559E+018,7,1,SENSORS,,1506982727,305502461,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698274330432E+018,8,0,MANAGER,,1506982743,303920145,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698275730563E+018,8,1,SENSORS,,1506982757,305553298,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698277316671E+018,9,0,MANAGER,,1506982773,166041075,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50698278530575E+018,9,1,SENSORS,,1506982785,305577476,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698279968856E+018,10,0,MANAGER,,1506982799,686225714,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.5069828163057E+018,10,1,SENSORS,,1506982816,305589392,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698283655726E+018,11,0,MANAGER,,1506982836,557068395,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.5069828553056E+018,11,2,SENSORS,,1506982855,305521416,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50698287339049E+018,12,0,MANAGER,,1506982873,390255193,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50698290580474E+018,12,4,SENSORS,,1506982905,804607296,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50698311396154E+018,13,0,MANAGER,,1506983113,961352628,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
