task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,,
1,1507211215,651280274,1507211224,239379050,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
1,1507211215,651280274,1507211224,239379050,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
2,1507211236,329728165,1507211237,379707294,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
2,1507211236,329728165,1507211244,705565330,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
2,1507211236,329728165,1507211254,455226472,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,,
3,1507211266,143400386,1507211267,196800889,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
3,1507211266,143400386,1507211273,98999438,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
3,1507211266,143400386,1507211282,852228920,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,,
4,1507211295,763655309,1507211299,304826164,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
4,1507211295,763655309,1507211309,492226938,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.7624,0,,
5,1507211321,855865027,1507211322,905761391,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
5,1507211321,855865027,1507211334,100629913,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
6,1507211345,716358063,1507211346,776521367,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
6,1507211345,716358063,1507211357,402043411,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
7,1507211370,88833402,1507211373,564753388,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
7,1507211370,88833402,1507211382,963033845,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,,
8,1507211395,127038462,1507211396,175019958,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
8,1507211395,127038462,1507211406,94794448,idle,TaskHuman,GlobalSuccess,Evaluating,stubborn,YES,False,6,5.88,0,,
9,1507211463,743292593,1507211464,788675070,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
9,1507211463,743292593,1507211471,96920377,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
9,1507211463,743292593,1507211477,795243258,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
9,1507211463,743292593,1507211482,577688336,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-2.82358,1,0,
9,1507211463,743292593,1507211490,280532347,cancel all actions,WarningReceived,WarningReceived,TaskHuman,thinker,YES,True,0,-2.82358,0,,
9,1507211463,743292593,1507211500,717080430,idle,GlobalFail,GlobalFail,Evaluating,thinker,YES,True,-3,-5.53534,0,,
10,1507211514,369574757,1507211517,250258519,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
10,1507211514,369574757,1507211522,35540351,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
10,1507211514,369574757,1507211529,145473927,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
10,1507211514,369574757,1507211537,907541755,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.53421,0,,
11,1507211551,415846971,1507211552,464253126,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
11,1507211551,415846971,1507211563,308621039,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.88,0,,
12,1507211575,218833693,1507211578,192593177,idle,TaskHuman,TaskHuman,WarningTheRobot,stubborn,YES,True,0,0,0,,
12,1507211575,218833693,1507211582,696650945,idle,TaskHuman,TaskHuman,RobotIsWarned,stubborn,YES,True,0,0,0,,
12,1507211575,218833693,1507211587,531811216,idle,TaskHuman,HumanNeedsHelp,TaskHuman,stubborn,YES,False,0,0,0,,
12,1507211575,218833693,1507211594,50899436,grasp,HumanNeedsHelp,WarningReceived,Evaluating,stubborn,YES,False,-3,-2.7671,1,0,
12,1507211575,218833693,1507211601,33743492,grasp,HumanNeedsHelp,WarningReceived,Evaluating,stubborn,YES,False,-3,-5.47887,1,0,
12,1507211575,218833693,1507211608,671071292,cancel all actions,WarningReceived,WarningReceived,FailedToGrasp,stubborn,YES,True,0,-5.47887,0,,
12,1507211575,218833693,1507211616,267333746,idle,GlobalSuccess,GlobalSuccess,WarningTheRobot,stubborn,YES,True,6,-0.270114,0,,
13,1507211626,819556856,1507211627,865543311,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
13,1507211626,819556856,1507211633,237062432,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
13,1507211626,819556856,1507211638,197217940,idle,TaskHuman,HumanNeedsHelp,Evaluating,thinker,YES,False,0,0,0,,
13,1507211626,819556856,1507211645,474382567,grasp,HumanNeedsHelp,GlobalSuccess,TaskHuman,thinker,YES,False,6,5.64715,0,1,
14,1507211672,760956737,1507211675,693763776,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
14,1507211672,760956737,1507211679,430524326,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
14,1507211672,760956737,1507211688,177482863,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,thinker,YES,True,6,5.64715,0,,
15,1507211699,843042606,1507211700,883942719,idle,TaskHuman,TaskHuman,GlobalSuccess,tired,YES,True,0,0,0,,
15,1507211699,843042606,1507211706,433357000,idle,TaskHuman,HumanNeedsHelp,,,,False,0,0,0,,
15,1507211699,843042606,1507211712,478325043,grasp,HumanNeedsHelp,WarningReceived,,,,False,-3,-2.8812,1,0,
15,1507211699,843042606,1507211720,781388346,grasp,HumanNeedsHelp,GlobalSuccess,,,,False,6,2.76595,0,,
16,1507211745,92360033,1507211746,135353965,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
16,1507211745,92360033,1507211751,301859202,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
16,1507211745,92360033,1507211755,101087581,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
16,1507211745,92360033,1507211758,857593764,idle,TaskHuman,HumanNeedsHelp,Evaluating,thinker,YES,False,0,0,0,,
16,1507211745,92360033,1507211763,787174247,grasp,HumanNeedsHelp,TaskHuman,FailedToGrasp,thinker,YES,False,0,0,0,,
16,1507211745,92360033,1507211770,426622706,grasp,HumanNeedsHelp,WarningReceived,TaskHuman,thinker,YES,False,-3,-2.7671,1,0,
16,1507211745,92360033,1507211773,417221070,cancel all actions,WarningReceived,GlobalFail,Evaluating,thinker,YES,False,-3,-5.7,0,,
17,1507211791,255139885,1507211792,295314828,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
17,1507211791,255139885,1507211802,725449265,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.88,0,,
18,1507211813,428744080,1507211816,305268456,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
18,1507211813,428744080,1507211820,516888920,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
18,1507211813,428744080,1507211824,848089714,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
18,1507211813,428744080,1507211829,666014627,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
18,1507211813,428744080,1507211838,75456804,grasp,HumanNeedsHelp,GlobalSuccess,Evaluating,thinker,YES,False,6,5.42352,0,1,
19,1507211864,311386702,1507211865,354389450,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
19,1507211864,311386702,1507211873,365965130,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
19,1507211864,311386702,1507211877,746021602,idle,TaskHuman,HumanNeedsHelp,Evaluating,stubborn,YES,False,0,0,0,,
19,1507211864,311386702,1507211890,178632429,idle,GlobalSuccess,GlobalSuccess,FailedToGrasp,stubborn,YES,True,6,5.64715,0,,
20,1507211905,560016228,1507211906,639694408,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
20,1507211905,560016228,1507211912,233267241,idle,TaskHuman,HumanNeedsHelp,GlobalFail,stubborn,YES,False,0,0,0,,
20,1507211905,560016228,1507211920,217825484,grasp,HumanNeedsHelp,WarningReceived,,,,False,-3,-2.8812,1,0,
20,1507211905,560016228,1507211927,37196270,cancel all actions,WarningReceived,TaskHuman,,,,False,0,0,0,,
20,1507211905,560016228,1507211934,604163815,grasp,HumanNeedsHelp,GlobalFail,TaskHuman,stubborn,YES,False,-3,-5.70478,0,,
21,1507211958,351437326,1507211959,400748383,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,,
21,1507211958,351437326,1507211966,760533168,idle,TaskHuman,HumanNeedsHelp,Tired,tired,YES,False,0,0,0,,
21,1507211958,351437326,1507211977,868902762,grasp,HumanNeedsHelp,HumanNeedsHelp,TaskHuman,tired,YES,True,0,0,0,,
21,1507211958,351437326,1507211993,751433104,idle,GlobalSuccess,GlobalSuccess,Evaluating,tired,YES,True,6,5.64715,0,1,
22,1507212014,301151552,1507212015,345516099,idle,TaskHuman,TaskHuman,FailedToGrasp,stubborn,YES,True,0,0,0,,
22,1507212014,301151552,1507212021,803927840,idle,TaskHuman,HumanNeedsHelp,GlobalSuccess,stubborn,YES,False,0,0,0,,
22,1507212014,301151552,1507212033,834400686,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.7624,0,,
23,1507212045,250429157,1507212046,295695824,idle,TaskHuman,TaskHuman,GlobalSuccess,tired,YES,True,0,0,0,,
23,1507212045,250429157,1507212052,548398813,idle,TaskHuman,HumanNeedsHelp,TaskHuman,tired,YES,False,0,0,0,,
23,1507212045,250429157,1507212061,86466809,grasp,HumanNeedsHelp,WarningReceived,Evaluating,tired,YES,False,-3,-2.8812,1,0,
23,1507212045,250429157,1507212068,680587891,grasp,HumanNeedsHelp,WarningReceived,FailedToGrasp,tired,YES,False,-3,-5.70478,1,0,
23,1507212045,250429157,1507212078,920377799,grasp,HumanNeedsHelp,GlobalSuccess,WarningTheRobot,tired,YES,False,6,-0.170567,0,,
24,1507212093,631104449,1507212096,502363596,idle,TaskHuman,TaskHuman,WarningTheRobot,thinker,YES,True,0,0,0,,
24,1507212093,631104449,1507212100,759127851,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
24,1507212093,631104449,1507212105,143039407,idle,TaskHuman,HumanNeedsHelp,Evaluating,thinker,YES,False,0,0,0,,
24,1507212093,631104449,1507212112,366208484,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-2.7671,1,0,
24,1507212093,631104449,1507212119,368744302,cancel all actions,WarningReceived,TaskHuman,FailedToGrasp,thinker,YES,False,0,0,0,,
24,1507212093,631104449,1507212129,468657418,idle,GlobalFail,GlobalFail,WarningTheRobot,thinker,YES,True,-3,-5.47887,0,,
25,1507212142,329486830,1507212143,363548540,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
25,1507212142,329486830,1507212152,483140370,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
25,1507212142,329486830,1507212162,168871867,idle,GlobalSuccess,GlobalSuccess,Evaluating,thinker,YES,True,6,5.7624,0,,
26,1507212173,551396202,1507212176,685334533,idle,TaskHuman,TaskHuman,Tired,tired,YES,True,0,0,0,,
26,1507212173,551396202,1507212185,699754542,idle,TaskHuman,HumanNeedsHelp,Recovery,tired,YES,False,0,0,0,,
26,1507212173,551396202,1507212195,432180271,grasp,HumanNeedsHelp,HumanNeedsHelp,GlobalSuccess,tired,YES,True,0,0,0,1,
26,1507212173,551396202,1507212213,450563288,idle,GlobalSuccess,GlobalSuccess,TaskHuman,tired,YES,True,6,5.53421,0,,
27,1507212239,44020127,1507212243,197817507,idle,TaskHuman,TaskHuman,NoAttention,tired,YES,True,0,0,0,,
27,1507212239,44020127,1507212250,842463718,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,,
27,1507212239,44020127,1507212261,610467738,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,tired,YES,True,6,5.64715,0,,
28,1507212278,824736223,1507212283,302900864,idle,TaskHuman,TaskHuman,TaskHuman,distracted,YES,True,0,0,0,,
28,1507212278,824736223,1507212287,800428454,idle,TaskHuman,TaskHuman,NoAttention,distracted,YES,True,0,0,0,,
28,1507212278,824736223,1507212298,514991090,grasp,HumanNeedsHelp,GlobalSuccess,NoAttention,distracted,YES,False,6,5.64715,0,,
29,1507212401,313153593,1507212404,296633846,idle,TaskHuman,TaskHuman,WarningTheRobot,distracted,YES,True,0,0,0,,
29,1507212401,313153593,1507212411,795431556,idle,TaskHuman,TaskHuman,GlobalFail,distracted,YES,True,0,0,0,,
29,1507212401,313153593,1507212421,873045311,grasp,HumanNeedsHelp,WarningReceived,,,,False,-3,-2.82358,1,0,
29,1507212401,313153593,1507212429,304196177,cancel all actions,WarningReceived,GlobalFail,TaskHuman,distracted,YES,False,-3,-5.59068,0,,
30,1507212446,929523817,1507212450,22698056,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
30,1507212446,929523817,1507212457,398808585,idle,TaskHuman,HumanNeedsHelp,FailedToGrasp,stubborn,YES,False,0,0,0,,
30,1507212446,929523817,1507212470,317390276,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.64715,0,,
31,1507212565,842601674,1507212569,276825539,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
31,1507212565,842601674,1507212572,966822929,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
31,1507212565,842601674,1507212577,340320347,idle,TaskHuman,TaskHuman,GlobalFail,thinker,YES,True,0,0,0,,
31,1507212565,842601674,1507212581,426101786,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
31,1507212565,842601674,1507212585,498694848,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
31,1507212565,842601674,1507212594,332204314,grasp,HumanNeedsHelp,GlobalFail,Evaluating,thinker,YES,False,-3,-2.65753,0,1,
32,1507212611,968814907,1507212614,970004520,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
32,1507212611,968814907,1507212620,545047097,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
32,1507212611,968814907,1507212624,386771269,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
32,1507212611,968814907,1507212628,119051777,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-2.7671,1,0,
32,1507212611,968814907,1507212637,247744161,cancel all actions,WarningReceived,TaskHuman,Evaluating,thinker,YES,False,0,0,0,,
32,1507212611,968814907,1507212645,416700807,grasp,HumanNeedsHelp,WarningReceived,WarningTheRobot,thinker,YES,False,-3,-5.47887,1,0,
32,1507212611,968814907,1507212652,708629851,idle,GlobalFail,WarningReceived,TaskHuman,thinker,YES,False,0,0,0,,
32,1507212611,968814907,1507212659,623557134,idle,GlobalFail,GlobalFail,Evaluating,thinker,YES,True,-3,-8.13639,0,,
33,1507212670,243377747,1507212671,284188259,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,,
33,1507212670,243377747,1507212677,533353731,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,,
33,1507212670,243377747,1507212682,53087250,idle,TaskHuman,TaskHuman,TaskHuman,tired,YES,True,0,0,0,,
33,1507212670,243377747,1507212686,142951332,idle,TaskHuman,HumanNeedsHelp,Evaluating,tired,YES,False,0,0,0,,
33,1507212670,243377747,1507212694,440677421,grasp,HumanNeedsHelp,GlobalSuccess,Evaluating,tired,YES,False,6,5.53421,0,1,
34,1507212721,890610502,1507212726,505251277,idle,TaskHuman,TaskHuman,Evaluating,distracted,YES,True,0,0,0,,
34,1507212721,890610502,1507212731,904256882,idle,TaskHuman,TaskHuman,TaskHuman,distracted,YES,True,0,0,0,,
34,1507212721,890610502,1507212736,645409259,idle,TaskHuman,TaskHuman,TaskHuman,distracted,YES,True,0,0,0,,
34,1507212721,890610502,1507212746,951803676,idle,GlobalSuccess,GlobalSuccess,Evaluating,distracted,YES,True,6,5.53421,0,,
35,1507212862,846481661,1507212866,91211817,idle,TaskHuman,TaskHuman,FailedToGrasp,thinker,YES,True,0,0,0,,
35,1507212862,846481661,1507212875,170584884,idle,TaskHuman,HumanNeedsHelp,WarningTheRobot,thinker,YES,False,0,0,0,,
35,1507212862,846481661,1507212884,123859241,grasp,HumanNeedsHelp,WarningReceived,GlobalFail,thinker,YES,False,-3,-2.82358,1,0,
35,1507212862,846481661,1507212891,155055810,cancel all actions,WarningReceived,GlobalFail,TaskHuman,thinker,YES,False,-3,-5.59068,0,,
36,1507212908,815590312,1507212909,869949556,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
36,1507212908,815590312,1507212916,684052493,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
36,1507212908,815590312,1507212922,280874644,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
36,1507212908,815590312,1507212935,784932876,grasp,HumanNeedsHelp,GlobalFail,TaskHuman,thinker,YES,False,-3,-2.82358,0,1,
37,1507212982,386192383,1507212985,410326897,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
37,1507212982,386192383,1507212990,788709025,cancel all actions,WarningReceived,HumanNeedsHelp,FailedToGrasp,thinker,YES,False,0,0,0,,
37,1507212982,386192383,1507212999,352595393,cancel all actions,WarningReceived,TaskHuman,Evaluating,thinker,YES,False,-3,-2.82358,1,0,
37,1507212982,386192383,1507213007,938601460,grasp,HumanNeedsHelp,GlobalFail,GlobalFail,thinker,YES,False,-3,-5.59068,0,,
38,1507213028,504831581,1507213032,651251995,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
38,1507213028,504831581,1507213037,940268136,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
38,1507213028,504831581,1507213042,177997987,idle,TaskHuman,HumanNeedsHelp,TaskHuman,distracted,YES,False,0,0,0,,
38,1507213028,504831581,1507213057,178839397,grasp,HumanNeedsHelp,GlobalFail,Evaluating,distracted,YES,False,-3,-2.7671,0,1,
39,1507213141,588694933,1507213142,629531884,idle,TaskHuman,TaskHuman,FailedToGrasp,thinker,YES,True,0,0,0,,
39,1507213141,588694933,1507213152,857861729,idle,TaskHuman,HumanNeedsHelp,WarningTheRobot,thinker,YES,False,0,0,0,,
39,1507213141,588694933,1507213160,875525891,grasp,HumanNeedsHelp,WarningReceived,GlobalFail,thinker,YES,False,-3,-2.8812,1,0,
39,1507213141,588694933,1507213169,470414092,cancel all actions,WarningReceived,GlobalFail,,,,False,-3,-5.70478,0,,
40,1507213187,374321657,1507213190,831021546,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
40,1507213187,374321657,1507213200,252006545,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
40,1507213187,374321657,1507213208,18097788,grasp,HumanNeedsHelp,WarningReceived,,,,False,-3,-2.82358,1,0,
40,1507213187,374321657,1507213215,449361080,cancel all actions,WarningReceived,WarningReceived,TaskHuman,thinker,YES,True,0,-2.82358,0,,
40,1507213187,374321657,1507213228,390042837,idle,GlobalFail,GlobalFail,Evaluating,thinker,YES,True,-3,-5.53534,0,,0.3333333333
