rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_expertise,human_mood,human_trust,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.5072112166963E+018,1,0,ROBOT,,1507211216,695016341,'','','',,1507211216,694940863,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50721122538713E+018,1,1,ROBOT,,1507211225,385952829,'','','',,1507211224,239379050,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50721124117904E+018,2,1,ROBOT,,1507211241,177876368,'','','',,1507211237,379707294,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721124653064E+018,2,2,ROBOT,,1507211246,529086604,'','','',,1507211244,705565330,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721125540298E+018,2,3,ROBOT,,1507211255,401699949,'','','',,1507211254,455226472,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50721126922755E+018,3,1,ROBOT,,1507211269,226316631,'','','',,1507211267,196800889,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721127432451E+018,3,2,ROBOT,,1507211274,322257333,'','','',,1507211273,98999438,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721128513865E+018,3,3,ROBOT,,1507211285,137386387,'','','',,1507211282,852228920,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50721130116218E+018,4,1,ROBOT,,1507211301,161161295,'','','',,1507211299,304826164,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721131081813E+018,4,2,ROBOT,,1507211310,817051252,'','','',,1507211309,492226938,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50721132567077E+018,5,1,ROBOT,,1507211325,665152071,'','','',,1507211322,905761391,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721133492327E+018,5,2,ROBOT,,1507211334,921501457,'','','',,1507211334,100629913,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50721134905093E+018,6,1,ROBOT,,1507211349,49707223,'','','',,1507211346,776521367,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5072113593451E+018,6,2,ROBOT,,1507211359,344102132,'','','',,1507211357,402043411,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50721137454573E+018,7,1,ROBOT,,1507211374,544307743,'','','',,1507211373,564753388,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5072113847222E+018,7,2,ROBOT,,1507211384,720536586,'','','',,1507211382,963033845,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50721139812337E+018,8,1,ROBOT,,1507211398,121501663,'','','',,1507211396,175019958,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721140832274E+018,8,2,ROBOT,,1507211408,320447855,'','','',,1507211406,94794448,idle,TaskHuman,GlobalSuccess,False,'','','','',6,5.88
1.50721146816159E+018,9,1,ROBOT,,1507211468,160375362,'','','',,1507211464,788675070,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721147452932E+018,9,2,ROBOT,,1507211474,528095569,'','','',,1507211471,96920377,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721147924195E+018,9,3,ROBOT,,1507211479,239622986,'','','',,1507211477,795243258,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721148679331E+018,9,4,ROBOT,,1507211486,791937411,'','','',,1507211482,577688336,grasp,HumanNeedsHelp,WarningReceived,False,'','','','',-3,-2.82358
1.50721149676078E+018,9,5,ROBOT,,1507211496,759637501,'','','',,1507211490,280532347,cancel all actions,WarningReceived,WarningReceived,True,'','','','',0,-2.82358
1.50721150130687E+018,9,6,ROBOT,,1507211501,305076571,'','','',,1507211500,717080430,idle,GlobalFail,GlobalFail,True,'','','','',-3,-5.53534
1.50721151889784E+018,10,1,ROBOT,,1507211518,895839096,'','','',,1507211517,250258519,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721152526461E+018,10,2,ROBOT,,1507211525,263538538,'','','',,1507211522,35540351,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721152964086E+018,10,3,ROBOT,,1507211529,639806209,'','','',,1507211529,145473927,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721153899248E+018,10,4,ROBOT,,1507211538,991431431,'','','',,1507211537,907541755,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.53421
1.5072115552753E+018,11,1,ROBOT,,1507211555,273518755,'','','',,1507211552,464253126,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721156396033E+018,11,2,ROBOT,,1507211563,959250548,'','','',,1507211563,308621039,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50721157899256E+018,12,1,ROBOT,,1507211578,991632050,'','','',,1507211578,192593177,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721158344907E+018,12,2,ROBOT,,1507211583,447568469,'','','',,1507211582,696650945,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721159080829E+018,12,3,ROBOT,,1507211590,807255630,'','','',,1507211587,531811216,idle,TaskHuman,HumanNeedsHelp,False,'','','','',0,0
1.50721159774388E+018,12,4,ROBOT,,1507211597,742843134,'','','',,1507211594,50899436,grasp,HumanNeedsHelp,WarningReceived,False,'','','','',-3,-2.7671
1.50721160176881E+018,12,5,ROBOT,,1507211601,767758217,'','','',,1507211601,33743492,grasp,HumanNeedsHelp,WarningReceived,False,'','','','',-3,-5.47887
1.50721161258528E+018,12,6,ROBOT,,1507211612,583734143,'','','',,1507211608,671071292,cancel all actions,WarningReceived,WarningReceived,True,'','','','',0,-5.47887
1.50721161627643E+018,12,7,ROBOT,,1507211616,275295127,'','','',,1507211616,267333746,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,-0.270114
1.50721163036105E+018,13,1,ROBOT,,1507211630,359868854,'','','',,1507211627,865543311,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721163457767E+018,13,2,ROBOT,,1507211634,576517871,'','','',,1507211633,237062432,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721164215284E+018,13,3,ROBOT,,1507211642,151649748,'','','',,1507211638,197217940,idle,TaskHuman,HumanNeedsHelp,False,'','','','',0,0
1.50721166073569E+018,13,4,ROBOT,,1507211660,734680113,'','','',,1507211645,474382567,grasp,HumanNeedsHelp,GlobalSuccess,False,'','','','',6,5.64715
1.50721167626405E+018,14,1,ROBOT,,1507211676,262807747,'','','',,1507211675,693763776,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721167988105E+018,14,2,ROBOT,,1507211679,879469494,'','','',,1507211679,430524326,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721168904833E+018,14,3,ROBOT,,1507211689,47116166,'','','',,1507211688,177482863,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.64715
1.50721170282636E+018,15,1,ROBOT,,1507211702,825156013,'','','',,1507211700,883942719,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721170937708E+018,15,2,ROBOT,,1507211709,376065059,'','','',,1507211706,433357000,idle,TaskHuman,HumanNeedsHelp,False,'','','','',0,0
1.50721171636149E+018,15,3,ROBOT,,1507211716,360288256,'','','',,1507211712,478325043,grasp,HumanNeedsHelp,WarningReceived,False,'','','','',-3,-2.8812
1.50721173223031E+018,15,4,ROBOT,,1507211728,718469208,'','','',,1507211720,781388346,grasp,HumanNeedsHelp,GlobalSuccess,False,'','','','',6,2.76595
1.50721174777808E+018,16,1,ROBOT,,1507211747,776794684,'','','',,1507211746,135353965,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721175210372E+018,16,2,ROBOT,,1507211752,102720364,'','','',,1507211751,301859202,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721175563214E+018,16,3,ROBOT,,1507211755,631025061,'','','',,1507211755,101087581,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721176064805E+018,16,4,ROBOT,,1507211760,646936885,'','','',,1507211758,857593764,idle,TaskHuman,HumanNeedsHelp,False,'','','','',0,0
1.50721176735196E+018,16,5,ROBOT,,1507211767,350934105,'','','',,1507211763,787174247,grasp,HumanNeedsHelp,TaskHuman,False,'','','','',-3,-2.7671
1.50721177050424E+018,16,6,ROBOT,,1507211770,502841958,'','','',,1507211770,426622706,grasp,HumanNeedsHelp,WarningReceived,False,'','','','',-3,-5.47887
