rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50721823076857E+018,1,0,HUMAN,,1507218230,767204405,beginner,stubborn,YES,,1507218230,708356076,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50721823076857E+018,1,0,HUMAN,,1507218230,767204405,beginner,stubborn,YES,,1507218231,708356076,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50721823076857E+018,1,0,HUMAN,,1507218230,767204405,beginner,stubborn,YES,,1507218232,708356076,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50721823076857E+018,1,0,HUMAN,,1507218230,767204405,beginner,stubborn,YES,,1507218233,708356076,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50721823076857E+018,1,0,HUMAN,,1507218230,767204405,beginner,stubborn,YES,,1507218234,708356076,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50721823076857E+018,1,0,HUMAN,,1507218230,767204405,beginner,stubborn,YES,,1507218235,708356076,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50721823076857E+018,1,0,HUMAN,,1507218230,767204405,beginner,stubborn,YES,,1507218236,708356076,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50721823076857E+018,1,0,HUMAN,,1507218230,767204405,beginner,stubborn,YES,,1507218237,708356076,idle,Evaluating,TaskHuman,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218238,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218239,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218240,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218241,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218242,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218243,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218244,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218245,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218246,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218247,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218248,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072182461923E+018,1,1,HUMAN,,1507218246,191063869,beginner,stubborn,YES,,1507218249,592480517,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721825308921E+018,1,2,HUMAN,,1507218253,87811982,beginner,stubborn,YES,,1507218250,856513299,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.5072182645017E+018,2,0,HUMAN,,1507218264,500151324,beginner,stubborn,YES,,1507218262,247825463,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5072182645017E+018,2,0,HUMAN,,1507218264,500151324,beginner,stubborn,YES,,1507218263,247825463,idle,Evaluating,GlobalSuccess,False,'','','','','',''
1.5072182645017E+018,2,0,HUMAN,,1507218264,500151324,beginner,stubborn,YES,,1507218264,247825463,idle,Evaluating,GlobalSuccess,False,'','','','','',''
1.5072182645017E+018,2,0,HUMAN,,1507218264,500151324,beginner,stubborn,YES,,1507218265,247825463,idle,Evaluating,GlobalSuccess,False,'','','','','',''
1.5072182645017E+018,2,0,HUMAN,,1507218264,500151324,beginner,stubborn,YES,,1507218266,247825463,idle,Evaluating,GlobalSuccess,False,'','','','','',''
1.50721826974947E+018,2,1,HUMAN,,1507218269,748066544,beginner,stubborn,YES,,1507218267,544631118,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721826974947E+018,2,1,HUMAN,,1507218269,748066544,beginner,stubborn,YES,,1507218268,544631118,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721826974947E+018,2,1,HUMAN,,1507218269,748066544,beginner,stubborn,YES,,1507218269,544631118,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721826974947E+018,2,1,HUMAN,,1507218269,748066544,beginner,stubborn,YES,,1507218270,544631118,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721826974947E+018,2,1,HUMAN,,1507218269,748066544,beginner,stubborn,YES,,1507218271,544631118,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721827552864E+018,2,2,HUMAN,,1507218275,527276217,beginner,stubborn,YES,,1507218272,856572490,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721827552864E+018,2,2,HUMAN,,1507218275,527276217,beginner,stubborn,YES,,1507218273,856572490,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721827552864E+018,2,2,HUMAN,,1507218275,527276217,beginner,stubborn,YES,,1507218274,856572490,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721827552864E+018,2,2,HUMAN,,1507218275,527276217,beginner,stubborn,YES,,1507218275,856572490,idle,Evaluating,Evaluating,True,'','','','','',''
