task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,Needs Est.,
1,1507218229,832951370,1507218230,883605991,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
1,1507218229,832951370,1507218246,190049955,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
2,1507218261,363790105,1507218264,498788841,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
2,1507218261,363790105,1507218269,746954736,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
2,1507218261,363790105,1507218275,526318776,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
2,1507218261,363790105,1507218284,509305025,grasp,HumanNeedsHelp,WarningReceived,Evaluating,stubborn,YES,False,-3,-2.7671,1,0,
2,1507218261,363790105,1507218294,751598617,idle,GlobalSuccess,WarningReceived,WarningTheRobot,stubborn,YES,False,0,0,0,,
2,1507218261,363790105,1507218299,960366567,idle,GlobalSuccess,GlobalSuccess,RobotIsWarned,stubborn,YES,True,6,3,0,,
3,1507218314,822884540,1507218317,732697340,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
3,1507218314,822884540,1507218327,56346263,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.7624,0,,
4,1507218342,857289706,1507218345,811283919,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
4,1507218342,857289706,1507218357,105213026,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,,
5,1507218380,273439728,1507218381,335047315,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
5,1507218380,273439728,1507218393,228412041,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
6,1507218430,687695998,1507218431,774054717,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
6,1507218430,687695998,1507218437,700933747,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
6,1507218430,687695998,1507218442,730926456,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
6,1507218430,687695998,1507218452,101586701,idle,GlobalSuccess,GlobalSuccess,Evaluating,thinker,YES,True,6,5.64715,0,,
7,1507218471,91770155,1507218472,158392315,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
7,1507218471,91770155,1507218482,775879574,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
8,1507218496,986081443,1507218500,118043552,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
8,1507218496,986081443,1507218506,801782136,idle,TaskHuman,TaskHuman,WarningTheRobot,thinker,YES,True,0,0,0,,
8,1507218496,986081443,1507218513,510672941,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-2.82358,1,0,
8,1507218496,986081443,1507218521,893135670,cancel all actions,WarningReceived,TaskHuman,TaskHuman,thinker,YES,False,0,0,0,,
8,1507218496,986081443,1507218533,296187148,idle,GlobalFail,GlobalFail,Evaluating,thinker,YES,True,-3,-5.59068,0,,
9,1507218558,274208279,1507218559,326840780,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
9,1507218558,274208279,1507218569,207359636,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
10,1507218597,811034787,1507218601,113587233,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
10,1507218597,811034787,1507218612,288299861,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,,
11,1507218623,490817210,1507218624,522765896,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
11,1507218623,490817210,1507218631,968224687,idle,TaskHuman,TaskHuman,GlobalSuccess,thinker,YES,True,0,0,0,,
11,1507218623,490817210,1507218637,132318566,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
11,1507218623,490817210,1507218641,112650317,grasp,HumanNeedsHelp,GlobalSuccess,TaskHuman,thinker,YES,False,6,5.64715,0,1,
12,1507218778,655877927,1507218779,704748394,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
12,1507218778,655877927,1507218785,315932044,idle,TaskHuman,HumanNeedsHelp,FailedToGrasp,thinker,YES,False,0,0,0,,
12,1507218778,655877927,1507218791,556691757,grasp,HumanNeedsHelp,WarningReceived,TaskHuman,thinker,YES,False,-3,-2.8812,1,0,
12,1507218778,655877927,1507218798,690580780,grasp,HumanNeedsHelp,WarningReceived,Evaluating,thinker,YES,False,-3,-5.70478,1,0,
12,1507218778,655877927,1507218811,905335742,grasp,HumanNeedsHelp,GlobalFail,FailedToGrasp,thinker,YES,False,-3,-11.1836,0,,
13,1507218837,593758791,1507218840,453923568,idle,TaskHuman,TaskHuman,TaskHuman,tired,YES,True,0,0,0,,
13,1507218837,593758791,1507218845,823481324,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,,
13,1507218837,593758791,1507218856,65866655,idle,GlobalSuccess,GlobalSuccess,Evaluating,tired,YES,True,6,5.64715,0,,
14,1507218866,456044341,1507218867,530120873,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
14,1507218866,456044341,1507218875,266999258,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
14,1507218866,456044341,1507218884,101311415,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.7624,0,,
15,1507218897,110697121,1507218900,409831168,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
15,1507218897,110697121,1507218904,46922810,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
15,1507218897,110697121,1507218917,436456406,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.64715,0,,
16,1507218928,553915240,1507218932,82304355,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
16,1507218928,553915240,1507218936,913235433,idle,TaskHuman,HumanNeedsHelp,,,,False,0,0,0,,
16,1507218928,553915240,1507218942,319568692,grasp,HumanNeedsHelp,WarningReceived,TaskHuman,stubborn,YES,False,-3,-2.82358,1,,
16,1507218928,553915240,1507218949,922540546,grasp,HumanNeedsHelp,GlobalSuccess,Evaluating,stubborn,YES,False,6,2.71063,0,1,
17,1507218971,14040143,1507218972,52636903,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
17,1507218971,14040143,1507218978,421795904,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
17,1507218971,14040143,1507218984,917315160,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
17,1507218971,14040143,1507218994,717148023,idle,GlobalSuccess,GlobalSuccess,Evaluating,thinker,YES,True,6,5.64715,0,,
18,1507219026,864696033,1507219027,901461369,idle,TaskHuman,TaskHuman,FailedToGrasp,stubborn,YES,True,0,0,0,,
18,1507219026,864696033,1507219034,22165946,idle,TaskHuman,HumanNeedsHelp,GlobalSuccess,stubborn,YES,False,0,0,0,,
18,1507219026,864696033,1507219044,454740940,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.7624,0,,
19,1507219055,140227623,1507219056,195064637,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
19,1507219055,140227623,1507219067,967681292,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
20,1507219087,846738490,1507219090,639797052,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
20,1507219087,846738490,1507219100,646208170,idle,GlobalSuccess,GlobalSuccess,TaskHuman,thinker,YES,True,6,5.7624,0,,
21,1507219129,567899701,1507219132,401735350,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
21,1507219129,567899701,1507219142,369864487,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
21,1507219129,567899701,1507219152,978174972,grasp,HumanNeedsHelp,WarningReceived,WarningTheRobot,thinker,YES,False,-3,-2.82358,1,0,
21,1507219129,567899701,1507219165,119191522,cancel all actions,WarningReceived,GlobalSuccess,GlobalSuccess,thinker,YES,False,3,-0.0564715,0,,
22,1507219186,428277187,1507219187,472668592,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
22,1507219186,428277187,1507219194,286743074,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
22,1507219186,428277187,1507219199,763179481,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
22,1507219186,428277187,1507219213,611645626,grasp,HumanNeedsHelp,GlobalFail,Evaluating,thinker,YES,False,-3,-2.82358,0,1,
