rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_expertise,human_mood,human_trust,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50721823088506E+018,1,1,ROBOT,,1507218230,883663570,'','','',,1507218230,883605991,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50721823753456E+018,1,1,ROBOT,,1507218237,533541040,'','','',,1507218230,883605991,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.507218249791E+018,1,2,ROBOT,,1507218249,789212246,'','','',,1507218246,190049955,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.5072182664779E+018,2,1,ROBOT,,1507218266,476830134,'','','',,1507218264,498788841,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721827178411E+018,2,2,ROBOT,,1507218271,782777161,'','','',,1507218269,746954736,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721827621563E+018,2,3,ROBOT,,1507218276,214365585,'','','',,1507218275,526318776,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721828880599E+018,2,4,ROBOT,,1507218288,804684381,'','','',,1507218284,509305025,grasp,HumanNeedsHelp,WarningReceived,False,'','','','',-3,-2.7671
1.50721829666286E+018,2,5,ROBOT,,1507218296,661688730,'','','',,1507218294,751598617,idle,GlobalSuccess,WarningReceived,False,'','','','',-3,-5.47887
1.50721829996771E+018,2,6,ROBOT,,1507218299,966660719,'','','',,1507218299,960366567,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,-0.163813
1.5072183189348E+018,3,1,ROBOT,,1507218318,933556191,'','','',,1507218317,732697340,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721832786335E+018,3,2,ROBOT,,1507218327,862133195,'','','',,1507218327,56346263,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50721834911815E+018,4,1,ROBOT,,1507218349,116897656,'','','',,1507218345,811283919,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721836483746E+018,4,2,ROBOT,,1507218364,836469277,'','','',,1507218357,105213026,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50721838474296E+018,5,1,ROBOT,,1507218384,741714252,'','','',,1507218381,335047315,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721839423915E+018,5,2,ROBOT,,1507218394,237508093,'','','',,1507218393,228412041,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50721843400917E+018,6,1,ROBOT,,1507218434,5086374,'','','',,1507218431,774054717,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721843958974E+018,6,2,ROBOT,,1507218439,588550839,'','','',,1507218437,700933747,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721844378205E+018,6,3,ROBOT,,1507218443,780894281,'','','',,1507218442,730926456,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5072184528464E+018,6,4,ROBOT,,1507218452,845265836,'','','',,1507218452,101586701,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.64715
1.50721847479053E+018,7,1,ROBOT,,1507218474,789252420,'','','',,1507218472,158392315,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721848634268E+018,7,2,ROBOT,,1507218486,341331341,'','','',,1507218482,775879574,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50721850364604E+018,8,1,ROBOT,,1507218503,644845774,'','','',,1507218500,118043552,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721850978235E+018,8,2,ROBOT,,1507218509,781254886,'','','',,1507218506,801782136,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721851855823E+018,8,3,ROBOT,,1507218518,556899831,'','','',,1507218513,510672941,grasp,HumanNeedsHelp,WarningReceived,False,'','','','',-3,-2.82358
1.50721852929851E+018,8,4,ROBOT,,1507218525,285275566,'','','',,1507218521,893135670,cancel all actions,WarningReceived,TaskHuman,False,'','','','',-3,-5.59068
1.50721853395013E+018,8,5,ROBOT,,1507218533,949059444,'','','',,1507218533,296187148,idle,GlobalFail,GlobalFail,True,'','','','',-3,-8.30244
1.50721856081588E+018,9,1,ROBOT,,1507218560,814733629,'','','',,1507218559,326840780,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721856974243E+018,9,2,ROBOT,,1507218569,741367674,'','','',,1507218569,207359636,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50721860401553E+018,10,1,ROBOT,,1507218604,14228538,'','','',,1507218601,113587233,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721861284677E+018,10,2,ROBOT,,1507218612,845327620,'','','',,1507218612,288299861,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50721862863852E+018,11,1,ROBOT,,1507218628,637411674,'','','',,1507218624,522765896,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50721863353449E+018,11,2,ROBOT,,1507218633,533299251,'','','',,1507218631,968224687,idle,TaskHuman,TaskHuman,True,'','','','',0,0
