rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50722441598687E+018,1,0,HUMAN,,1507224415,985690708,beginner,stubborn,YES,,1507224413,703014806,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722441598687E+018,1,0,HUMAN,,1507224415,985690708,beginner,stubborn,YES,,1507224414,703014806,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50722441598687E+018,1,0,HUMAN,,1507224415,985690708,beginner,stubborn,YES,,1507224415,703014806,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50722441598687E+018,1,0,HUMAN,,1507224415,985690708,beginner,stubborn,YES,,1507224416,703014806,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224417,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224418,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224419,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224420,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224421,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224422,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224423,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224424,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442738431E+018,1,2,HUMAN,,1507224427,382756952,beginner,stubborn,YES,,1507224425,260581313,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722443820648E+018,2,0,HUMAN,,1507224438,205231983,beginner,stubborn,YES,,1507224435,275746472,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722443820648E+018,2,0,HUMAN,,1507224438,205231983,beginner,stubborn,YES,,1507224436,275746472,idle,Evaluating,GlobalSuccess,False,'','','','','',''
1.50722443820648E+018,2,0,HUMAN,,1507224438,205231983,beginner,stubborn,YES,,1507224437,275746472,idle,Evaluating,GlobalSuccess,False,'','','','','',''
1.50722443820648E+018,2,0,HUMAN,,1507224438,205231983,beginner,stubborn,YES,,1507224438,275746472,idle,Evaluating,GlobalSuccess,False,'','','','','',''
1.50722444181982E+018,2,1,HUMAN,,1507224441,818653258,beginner,stubborn,YES,,1507224439,927515282,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444181982E+018,2,1,HUMAN,,1507224441,818653258,beginner,stubborn,YES,,1507224440,927515282,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444181982E+018,2,1,HUMAN,,1507224441,818653258,beginner,stubborn,YES,,1507224441,927515282,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444504046E+018,2,2,HUMAN,,1507224445,38814670,beginner,stubborn,YES,,1507224442,923895879,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444504046E+018,2,2,HUMAN,,1507224445,38814670,beginner,stubborn,YES,,1507224443,923895879,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444504046E+018,2,2,HUMAN,,1507224445,38814670,beginner,stubborn,YES,,1507224444,923895879,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444504046E+018,2,2,HUMAN,,1507224445,38814670,beginner,stubborn,YES,,1507224445,923895879,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444504046E+018,2,2,HUMAN,,1507224445,38814670,beginner,stubborn,YES,,1507224446,923895879,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224447,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224448,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224449,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224450,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224451,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224452,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224453,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
