task_id,expertise,mood,trust,TaskHuman,GlobalSuccess,GlobalFail,FailedToGrasp,NoAttention,Evaluating,Tired,Recovery,WarningTheRobot,RobotIsWarned,TaskRobot
1,beginner,stubborn,YES,1,1,0,0,0,11,0,0,0,0,0
2,beginner,stubborn,YES,1,1,0,0,0,19,0,0,0,0,0
3,beginner,stubborn,YES,1,1,0,0,0,12,0,0,0,0,0
4,beginner,stubborn,YES,1,1,0,0,0,13,0,0,0,0,0
5,beginner,stubborn,YES,1,1,0,0,0,14,0,0,0,0,0
6,beginner,stubborn,YES,1,1,0,0,0,14,0,0,0,0,0
7,beginner,stubborn,YES,1,1,0,0,0,21,0,0,0,0,0
8,beginner,stubborn,YES,1,0,1,11,0,21,0,0,9,0,0
9,beginner,stubborn,YES,1,1,0,0,0,12,0,0,0,0,0
10,beginner,stubborn,YES,1,1,0,0,0,12,0,0,0,0,0
11,beginner,stubborn,YES,1,1,0,0,0,13,0,0,0,0,0
12,beginner,tired,YES,1,1,0,0,0,19,0,0,6,7,0
13,beginner,thinker,YES,1,1,0,0,0,35,0,0,0,0,0
14,beginner,stubborn,YES,1,1,0,0,0,22,0,0,0,0,0
15,beginner,stubborn,YES,1,1,0,0,0,23,0,0,0,0,0
16,beginner,tired,YES,1,1,0,0,7,23,0,0,17,0,0
17,beginner,stubborn,YES,1,1,0,11,0,10,0,0,0,0,0
18,beginner,tired,YES,1,1,0,0,0,33,0,0,0,0,0
19,beginner,stubborn,YES,1,1,0,0,0,16,0,0,0,0,0
20,beginner,stubborn,YES,1,1,0,0,0,17,0,0,0,0,0
21,beginner,thinker,YES,1,0,1,0,14,25,0,0,0,0,0
22,beginner,thinker,YES,1,1,0,7,0,17,0,0,23,0,0
23,beginner,distracted,YES,1,1,0,0,9,25,0,0,0,0,0
24,beginner,thinker,YES,1,1,0,7,0,7,0,0,12,7,0
25,beginner,thinker,YES,1,0,1,7,0,23,0,0,5,0,0
26,beginner,tired,YES,1,1,0,0,0,12,0,0,0,0,0
27,beginner,tired,YES,1,0,1,0,0,37,0,0,6,0,0
28,beginner,tired,YES,1,0,1,0,0,32,0,0,9,0,0
29,beginner,tired,YES,1,1,0,0,0,17,0,0,0,0,0
30,beginner,tired,YES,1,0,1,0,0,22,12,7,0,0,0
31,beginner,distracted,YES,1,0,1,0,34,11,0,0,0,0,0
32,beginner,tired,YES,1,1,0,18,0,13,0,0,0,0,0
33,beginner,distracted,YES,1,0,1,7,0,8,0,0,17,4,0
34,beginner,thinker,YES,1,0,1,0,0,33,0,0,18,0,0
35,beginner,distracted,YES,1,1,0,0,0,37,0,0,0,0,0
36,beginner,tired,YES,1,1,0,0,0,22,0,0,10,0,0
37,beginner,distracted,YES,1,0,1,0,23,0,10,0,0,0,0
38,beginner,tired,YES,1,1,0,0,19,0,15,0,0,0,0
39,beginner,thinker,YES,1,1,0,0,0,33,0,0,0,0,0
40,beginner,thinker,YES,1,0,1,0,0,21,0,0,11,0,0
