rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50722441598687E+018,1,0,HUMAN,,1507224415,985690708,beginner,stubborn,YES,,1507224413,703014806,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224417,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442738431E+018,1,2,HUMAN,,1507224427,382756952,beginner,stubborn,YES,,1507224425,260581313,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722443820648E+018,2,0,HUMAN,,1507224438,205231983,beginner,stubborn,YES,,1507224435,275746472,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722444181982E+018,2,1,HUMAN,,1507224441,818653258,beginner,stubborn,YES,,1507224439,927515282,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444504046E+018,2,2,HUMAN,,1507224445,38814670,beginner,stubborn,YES,,1507224442,923895879,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224447,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722445790735E+018,2,4,HUMAN,,1507224457,906103854,beginner,stubborn,YES,,1507224455,803661760,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722447261344E+018,3,0,HUMAN,,1507224472,611989478,beginner,stubborn,YES,,1507224472,453295098,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722448395641E+018,3,1,HUMAN,,1507224483,955344813,beginner,stubborn,YES,,1507224476,170925224,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722448731532E+018,3,2,HUMAN,,1507224487,313858051,beginner,stubborn,YES,,1507224485,53934339,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722449769778E+018,4,0,HUMAN,,1507224497,696672885,beginner,stubborn,YES,,1507224497,632955320,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722450927324E+018,4,1,HUMAN,,1507224509,271768129,beginner,stubborn,YES,,1507224501,777198270,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722451417084E+018,4,2,HUMAN,,1507224514,169418852,beginner,stubborn,YES,,1507224511,826869424,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722454006298E+018,5,0,HUMAN,,1507224540,61894452,beginner,stubborn,YES,,1507224539,930886653,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722455389343E+018,5,1,HUMAN,,1507224553,891976717,beginner,stubborn,YES,,1507224546,555507541,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722455779675E+018,5,2,HUMAN,,1507224557,795530222,beginner,stubborn,YES,,1507224554,977281143,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722456852995E+018,6,0,HUMAN,,1507224568,526961232,beginner,stubborn,YES,,1507224566,257215580,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722457987593E+018,6,1,HUMAN,,1507224579,874714892,beginner,stubborn,YES,,1507224571,877375277,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722458524332E+018,6,2,HUMAN,,1507224585,241758560,beginner,stubborn,YES,,1507224581,931680105,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722459811635E+018,7,0,HUMAN,,1507224598,115101002,beginner,stubborn,YES,,1507224596,71380941,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722460279606E+018,7,1,HUMAN,,1507224602,794852394,beginner,stubborn,YES,,1507224600,602768844,idle,Evaluating,Evaluating,True,'','','','','',''
