rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.5072244128536E+018,1,0,MANAGER,,1507224412,853292696,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722441391919E+018,1,0,ROBOT,,1507224413,917705087,'','','',,1507224413,917618715,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722441491153E+018,1,0,OBSERVATION,,1507224414,909804891,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50722441598687E+018,1,0,HUMAN,,1507224415,985690708,beginner,stubborn,YES,,1507224413,703014806,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722441599123E+018,1,1,ROBOT,,1507224415,990170278,'','','',,1507224415,984294554,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722442187892E+018,1,1,SENSORS,,1507224421,878738300,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722442312854E+018,1,1,OBSERVATION,,1507224423,127032145,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722442420608E+018,1,1,HUMAN,,1507224424,204791103,beginner,stubborn,YES,,1507224417,47478065,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722442421041E+018,1,2,ROBOT,,1507224424,209161910,'','','',,1507224424,203972053,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50722442631746E+018,1,2,OBSERVATION,,1507224426,313324746,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722442738431E+018,1,2,HUMAN,,1507224427,382756952,beginner,stubborn,YES,,1507224425,260581313,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722443440528E+018,2,0,MANAGER,,1507224434,404595055,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722443709497E+018,2,0,OBSERVATION,,1507224437,93498366,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50722443820648E+018,2,0,HUMAN,,1507224438,205231983,beginner,stubborn,YES,,1507224435,275746472,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722443885552E+018,2,1,ROBOT,,1507224438,854378342,'','','',,1507224438,204142618,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722444076205E+018,2,1,OBSERVATION,,1507224440,760543099,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50722444181982E+018,2,1,HUMAN,,1507224441,818653258,beginner,stubborn,YES,,1507224439,927515282,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444182396E+018,2,2,ROBOT,,1507224441,822814596,'','','',,1507224441,817606324,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722444397833E+018,2,2,OBSERVATION,,1507224443,976791990,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50722444504046E+018,2,2,HUMAN,,1507224445,38814670,beginner,stubborn,YES,,1507224442,923895879,idle,Evaluating,Evaluating,True,'','','','','',''
1.50722444645536E+018,2,3,ROBOT,,1507224446,454304716,'','','',,1507224445,37779811,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722445188035E+018,2,3,SENSORS,,1507224451,880236886,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722445364483E+018,2,3,OBSERVATION,,1507224453,643413098,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722445470652E+018,2,3,HUMAN,,1507224454,705318781,beginner,stubborn,YES,,1507224447,506122768,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50722445471122E+018,2,4,ROBOT,,1507224454,709699546,'','','',,1507224454,704440754,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.53421
1.50722445679538E+018,2,4,OBSERVATION,,1507224456,793692350,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722445790735E+018,2,4,HUMAN,,1507224457,906103854,beginner,stubborn,YES,,1507224455,803661760,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50722447160683E+018,3,0,MANAGER,,1507224471,606526984,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722447261344E+018,3,0,HUMAN,,1507224472,611989478,beginner,stubborn,YES,,1507224472,453295098,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50722447509644E+018,3,1,ROBOT,,1507224475,95221427,'','','',,1507224472,649149550,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5072244808679E+018,3,1,SENSORS,,1507224480,867761427,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722448288438E+018,3,1,OBSERVATION,,1507224482,882916438,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722448395641E+018,3,1,HUMAN,,1507224483,955344813,beginner,stubborn,YES,,1507224476,170925224,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072244839607E+018,3,2,ROBOT,,1507224483,959451337,'','','',,1507224483,954375000,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722448626139E+018,3,2,OBSERVATION,,1507224486,259927757,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50722448731532E+018,3,2,HUMAN,,1507224487,313858051,beginner,stubborn,YES,,1507224485,53934339,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
