task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.7624,100,0
2,5.53421,100,0
3,5.88,100,0
4,5.88,100,0
5,5.88,100,0
6,5.7624,100,0
7,5.64715,100,0
8,-5.59068,40,1
9,5.88,100,0
10,5.88,100,0
11,5.7624,100,0
12,2.65301,75,1
13,5.64715,75,0
14,5.88,100,0
15,5.64715,100,0
16,-3.04836,33.3333333333,2
17,5.64715,66.6666666667,0
18,5.64715,100,0
19,5.7624,100,0
20,5.88,100,0
21,-2.7671,75,0
22,2.71063,40,1
23,5.64715,75,0
24,-0.281251,50,2
25,-11.1836,33.3333333333,1
26,5.7624,100,0
27,-8.30244,50,1
28,-11.1836,50,1
29,5.88,100,0
30,-2.82358,75,0
31,-5.47887,80,0
32,5.64715,50,0
33,-8.30244,16.6666666667,2
34,-5.53534,66.6666666667,1
35,5.53421,75,0
36,2.76595,50,1
37,-2.71176,60,0
38,5.42352,80,0
39,5.64715,100,0
40,-8.13639,57.1428571429,2
,,,
,,Needs Est.:,0.385
