task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,Need Est.,
1,1507224412,853292696,1507224415,984294554,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
1,1507224412,853292696,1507224424,203972053,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,,
2,1507224434,404595055,1507224438,204142618,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
2,1507224434,404595055,1507224441,817606324,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
2,1507224434,404595055,1507224445,37779811,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
2,1507224434,404595055,1507224454,704440754,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.53421,0,,
3,1507224471,606526984,1507224472,649149550,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
3,1507224471,606526984,1507224483,954375000,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
4,1507224496,742811784,1507224497,801952498,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
4,1507224496,742811784,1507224509,270857887,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
5,1507224539,79305486,1507224540,133995136,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
5,1507224539,79305486,1507224553,891000424,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
6,1507224565,375527185,1507224568,525708442,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
6,1507224565,375527185,1507224579,873638812,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.7624,0,,
7,1507224595,190864043,1507224598,113916152,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
7,1507224595,190864043,1507224602,793918096,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
7,1507224595,190864043,1507224617,26531242,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.64715,0,,
8,1507224632,951780377,1507224633,984312431,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
8,1507224632,951780377,1507224641,201499132,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
8,1507224632,951780377,1507224647,885343165,idle,TaskHuman,HumanNeedsHelp,TaskHuman,stubborn,YES,False,0,0,0,,
8,1507224632,951780377,1507224657,603425508,grasp,HumanNeedsHelp,WarningReceived,Evaluating,stubborn,YES,False,-3,-2.82358,1,0,
8,1507224632,951780377,1507224668,414491395,cancel all actions,WarningReceived,GlobalFail,Evaluating,stubborn,YES,False,-3,-5.59068,0,,
9,1507224698,532757480,1507224699,579522438,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
9,1507224698,532757480,1507224710,344294181,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
10,1507224721,989537952,1507224723,39444851,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
10,1507224721,989537952,1507224734,523738382,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
11,1507224745,722136720,1507224748,576080414,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
11,1507224745,722136720,1507224758,844470440,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.7624,0,,
12,1507224769,143537065,1507224772,78008718,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
12,1507224769,143537065,1507224784,588566503,grasp,HumanNeedsHelp,WarningReceived,TaskHuman,tired,YES,False,-3,-2.8812,1,0,
12,1507224769,143537065,1507224792,306135983,cancel all actions,WarningReceived,WarningReceived,Evaluating,tired,YES,True,0,-2.8812,0,,
12,1507224769,143537065,1507224802,811549583,idle,GlobalSuccess,GlobalSuccess,WarningTheRobot,tired,YES,True,6,2.65301,0,,
13,1507224829,204073518,1507224830,256569551,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
13,1507224829,204073518,1507224834,698824652,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
13,1507224829,204073518,1507224838,165766058,idle,TaskHuman,TaskHuman,Evaluating,thinker,YES,True,0,0,0,,
13,1507224829,204073518,1507224850,377062234,grasp,HumanNeedsHelp,GlobalSuccess,TaskHuman,thinker,YES,False,6,5.64715,0,1,
14,1507224875,473261669,1507224876,526058986,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
14,1507224875,473261669,1507224894,336896630,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
15,1507224913,992987817,1507224917,183118623,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
15,1507224913,992987817,1507224926,292061510,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
15,1507224913,992987817,1507224937,261175878,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.64715,0,,
16,1507224952,22232659,1507224953,67098715,idle,TaskHuman,TaskHuman,WarningTheRobot,tired,YES,True,0,0,0,,
16,1507224952,22232659,1507224961,211116649,idle,TaskHuman,TaskHuman,Evaluating,tired,YES,True,0,0,0,,
16,1507224952,22232659,1507224967,960890897,grasp,HumanNeedsHelp,WarningReceived,TaskHuman,tired,YES,False,-3,-2.8812,1,0,
16,1507224952,22232659,1507224975,1546188,cancel all actions,WarningReceived,TaskHuman,Evaluating,tired,YES,False,-3,-5.70478,0,,
16,1507224952,22232659,1507224985,587405081,grasp,HumanNeedsHelp,WarningReceived,NoAttention,tired,YES,False,-3,-8.47188,1,0,
16,1507224952,22232659,1507224992,508178492,grasp,HumanNeedsHelp,GlobalSuccess,WarningTheRobot,tired,YES,False,6,-3.04836,0,1,
17,1507225011,598667004,1507225014,240965396,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
17,1507225011,598667004,1507225019,494609424,idle,TaskHuman,HumanNeedsHelp,TaskHuman,stubborn,YES,False,0,0,0,,
