rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_expertise,human_mood,human_trust,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50722441391919E+018,1,0,ROBOT,,1507224413,917705087,'','','',,1507224413,917618715,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722441599123E+018,1,1,ROBOT,,1507224415,990170278,'','','',,1507224415,984294554,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722442421041E+018,1,2,ROBOT,,1507224424,209161910,'','','',,1507224424,203972053,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50722443885552E+018,2,1,ROBOT,,1507224438,854378342,'','','',,1507224438,204142618,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722444182396E+018,2,2,ROBOT,,1507224441,822814596,'','','',,1507224441,817606324,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722444645536E+018,2,3,ROBOT,,1507224446,454304716,'','','',,1507224445,37779811,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722445471122E+018,2,4,ROBOT,,1507224454,709699546,'','','',,1507224454,704440754,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.53421
1.50722447509644E+018,3,1,ROBOT,,1507224475,95221427,'','','',,1507224472,649149550,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.5072244839607E+018,3,2,ROBOT,,1507224483,959451337,'','','',,1507224483,954375000,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722450071354E+018,4,1,ROBOT,,1507224500,712002775,'','','',,1507224497,801952498,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722451075266E+018,4,2,ROBOT,,1507224510,751492454,'','','',,1507224509,270857887,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722454549674E+018,5,1,ROBOT,,1507224545,495434714,'','','',,1507224540,133995136,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722455389778E+018,5,2,ROBOT,,1507224553,896594394,'','','',,1507224553,891000424,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722457082433E+018,6,1,ROBOT,,1507224570,822661430,'','','',,1507224568,525708442,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722458086322E+018,6,2,ROBOT,,1507224580,861999782,'','','',,1507224579,873638812,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.7624
1.50722459951917E+018,7,1,ROBOT,,1507224599,518070606,'','','',,1507224598,113916152,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722460759182E+018,7,2,ROBOT,,1507224607,590622597,'','','',,1507224602,793918096,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722461779164E+018,7,3,ROBOT,,1507224617,790363404,'','','',,1507224617,26531242,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.64715
1.50722463776748E+018,8,1,ROBOT,,1507224637,766378425,'','','',,1507224633,984312431,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722464399171E+018,8,2,ROBOT,,1507224643,990591796,'','','',,1507224641,201499132,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722465403154E+018,8,3,ROBOT,,1507224654,30338868,'','','',,1507224647,885343165,idle,TaskHuman,HumanNeedsHelp,False,'','','','',0,0
