rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.5072244128536E+018,1,0,MANAGER,,1507224412,853292696,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722442187892E+018,1,1,SENSORS,,1507224421,878738300,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722443440528E+018,2,0,MANAGER,,1507224434,404595055,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722445188035E+018,2,3,SENSORS,,1507224451,880236886,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722447160683E+018,3,0,MANAGER,,1507224471,606526984,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.5072244808679E+018,3,1,SENSORS,,1507224480,867761427,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722449674312E+018,4,0,MANAGER,,1507224496,742811784,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722450686784E+018,4,1,SENSORS,,1507224506,867720068,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722453907945E+018,5,0,MANAGER,,1507224539,79305486,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722455086785E+018,5,1,SENSORS,,1507224550,867698097,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722456537638E+018,6,0,MANAGER,,1507224565,375527185,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722457686785E+018,6,1,SENSORS,,1507224576,867698495,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722459519163E+018,7,0,MANAGER,,1507224595,190864043,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722461386771E+018,7,2,SENSORS,,1507224613,867551684,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722463295209E+018,8,0,MANAGER,,1507224632,951780377,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.5072246607853E+018,8,5,SENSORS,,1507224671,583057041,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50722469853297E+018,9,0,MANAGER,,1507224698,532757480,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722470787924E+018,9,1,SENSORS,,1507224707,879151495,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722472198992E+018,10,0,MANAGER,,1507224721,989537952,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722473186782E+018,10,1,SENSORS,,1507224731,867640007,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722474572252E+018,11,0,MANAGER,,1507224745,722136720,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722475588069E+018,11,1,SENSORS,,1507224755,880567852,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722476914445E+018,12,0,MANAGER,,1507224769,143537065,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50722478288005E+018,12,1,SENSORS,,1507224782,879900435,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722482920467E+018,13,0,MANAGER,,1507224829,204073518,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50722486286734E+018,13,4,SENSORS,,1507224862,867187681,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50722487547363E+018,14,0,MANAGER,,1507224875,473261669,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722489186783E+018,14,1,SENSORS,,1507224891,867641810,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722491399319E+018,15,0,MANAGER,,1507224913,992987817,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722493386784E+018,15,2,SENSORS,,1507224933,867718565,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722495202255E+018,16,0,MANAGER,,1507224952,22232659,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50722499786723E+018,16,6,SENSORS,,1507224997,867102203,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50722501160106E+018,17,0,MANAGER,,1507225011,598667004,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722502886778E+018,17,2,SENSORS,,1507225028,867595751,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722504322637E+018,18,0,MANAGER,,1507225043,225934111,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50722507578296E+018,18,3,SENSORS,,1507225075,782828992,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722509130108E+018,19,0,MANAGER,,1507225091,300832907,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722510486787E+018,19,1,SENSORS,,1507225104,867669454,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722511855665E+018,20,0,MANAGER,,1507225118,556455869,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50722513386782E+018,20,1,SENSORS,,1507225133,867626287,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722514783094E+018,21,0,MANAGER,,1507225147,830330973,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.5072251805852E+018,21,3,SENSORS,,1507225180,583057041,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50722520044784E+018,22,0,MANAGER,,1507225200,446966045,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50722523486737E+018,22,5,SENSORS,,1507225234,867168622,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50722526310976E+018,23,0,MANAGER,,1507225263,109277367,beginner,distracted,YES,,0,0,'','','',False,'','',START,'','',''
1.50722529686751E+018,23,4,SENSORS,,1507225296,867345740,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50722530925134E+018,24,0,MANAGER,,1507225309,249984639,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50722533386743E+018,24,4,SENSORS,,1507225333,867227231,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50722535352112E+018,25,0,MANAGER,,1507225353,520852246,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50722538588477E+018,25,5,SENSORS,,1507225385,884529776,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50722540030031E+018,26,0,MANAGER,,1507225400,297861130,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50722540988088E+018,26,1,SENSORS,,1507225409,880721538,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.5072254251235E+018,27,0,MANAGER,,1507225425,122364116,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50722545786655E+018,27,4,SENSORS,,1507225457,866441616,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50722548164456E+018,28,0,MANAGER,,1507225481,644326752,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50722551408297E+018,28,4,SENSORS,,1507225514,82871465,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50722555683337E+018,29,0,MANAGER,,1507225556,831173866,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.50722556786784E+018,29,1,SENSORS,,1507225567,867703699,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50722558644575E+018,30,0,MANAGER,,1507225586,445054684,beginner,tired,YES,,0,0,'','','',False,'','',START,'','',''
1.5072256186666E+018,30,3,SENSORS,,1507225618,666484139,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50722564861433E+018,31,0,MANAGER,,1507225648,613098262,beginner,distracted,YES,,0,0,'','','',False,'','',START,'','',''
