task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
1,1,"""OBSERVATION""",,1533381196,127307018,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,2,"""OBSERVATION""",,1533381198,513221657,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,3,"""OBSERVATION""",,1533381202,934604833,"[True, True, False, False, False, True]",1,1,0,0,0,1
1,4,"""OBSERVATION""",,1533381205,377684496,"[True, True, False, False, False, True]",1,1,0,0,0,1
1,5,"""OBSERVATION""",,1533381214,599915385,"[True, False, True, False, False, False]",1,0,1,0,0,0
2,0,"""OBSERVATION""",,1533381226,498643930,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,1,"""OBSERVATION""",,1533381228,891858974,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,2,"""OBSERVATION""",,1533381231,322858666,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,3,"""OBSERVATION""",,1533381233,765735792,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,4,"""OBSERVATION""",,1533381236,196200176,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,5,"""OBSERVATION""",,1533381238,654336741,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,6,"""OBSERVATION""",,1533381241,100130622,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,7,"""OBSERVATION""",,1533381244,58704236,"[True, False, False, False, False, True]",1,0,0,0,0,1
2,8,"""OBSERVATION""",,1533381246,539338586,"[True, False, False, False, False, True]",1,0,0,0,0,1
2,9,"""OBSERVATION""",,1533381250,974161821,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,10,"""OBSERVATION""",,1533381253,435276961,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,11,"""OBSERVATION""",,1533381256,375600969,"[True, False, False, False, False, True]",1,0,0,0,0,1
2,12,"""OBSERVATION""",,1533381260,828458214,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,13,"""OBSERVATION""",,1533381267,982445742,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,0,"""OBSERVATION""",,1533381279,51339655,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,1,"""OBSERVATION""",,1533381281,454403819,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,2,"""OBSERVATION""",,1533381283,880281667,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,3,"""OBSERVATION""",,1533381286,794287084,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,4,"""OBSERVATION""",,1533381289,221682173,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,5,"""OBSERVATION""",,1533381293,646793454,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,6,"""OBSERVATION""",,1533381302,961323355,"[True, False, True, False, False, False]",1,0,1,0,0,0
4,1,"""OBSERVATION""",,1533381320,496961198,"[True, False, True, False, False, False]",1,0,1,0,0,0
5,1,"""OBSERVATION""",,1533381333,622214325,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,2,"""OBSERVATION""",,1533381336,4312288,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,3,"""OBSERVATION""",,1533381345,235061641,"[True, False, True, False, False, False]",1,0,1,0,0,0
6,0,"""OBSERVATION""",,1533381357,83474051,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,1,"""OBSERVATION""",,1533381359,454305924,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,2,"""OBSERVATION""",,1533381361,851087638,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,3,"""OBSERVATION""",,1533381364,228930635,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,4,"""OBSERVATION""",,1533381366,689846511,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,5,"""OBSERVATION""",,1533381369,619462274,"[True, False, False, False, False, True]",1,0,0,0,0,1
