rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533381193807759314,1,0,"""MANAGER""",,1533381193,807589749,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_tired.pomdpx""",'',,0,0,'','','',False,'','',[],"""START""",'','',''
1533381195015267426,1,0,"""ROBOT""",,1533381195,11456928,'','','','','',,1533381195,9395240,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533381195037058210,1,0,"""HUMAN""",,1533381195,33043005,"""beginner""","""new_normal""","""YES""",'','',,1533381194,676527593,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533381195045976275,1,1,"""ROBOT""",,1533381195,43316030,'','','','','',,1533381195,9395240,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533381196130530084,1,1,"""OBSERVATION""",,1533381196,127307018,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533381197414367172,1,1,"""HUMAN""",,1533381197,410469245,"""beginner""","""new_normal""","""YES""",'','',,1533381196,108676001,"""2""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533381197430470476,1,2,"""ROBOT""",,1533381197,427416322,'','','','','',,1533381197,395167708,"""planning for grasping""","""TaskHuman""","""NoFocus""",False,'','',[],'','',"""0""","""0"""
1533381198516276490,1,2,"""OBSERVATION""",,1533381198,513221657,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533381199827548049,1,2,"""HUMAN""",,1533381199,823946378,"""beginner""","""new_normal""","""YES""",'','',,1533381198,493510198,"""2""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1533381199845749128,1,3,"""ROBOT""",,1533381199,842848706,'','','','','',,1533381199,807636452,"""idle""","""NeedsHelp""","""NeedsToBeReminded""",False,'','',[],'','',"""0""","""0"""
1533381202937784573,1,3,"""OBSERVATION""",,1533381202,934604833,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381204279155687,1,3,"""HUMAN""",,1533381204,275270561,"""beginner""","""new_normal""","""YES""",'','',,1533381200,903122716,"""1""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1533381204295350533,1,4,"""ROBOT""",,1533381204,292675246,'','','','','',,1533381204,258334707,"""planning for grasping""","""NeedsHelp""","""NeedsToBeReminded""",False,'','',[],'','',"""0""","""0"""
1533381205380601230,1,4,"""OBSERVATION""",,1533381205,377684496,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381206643034875,1,4,"""HUMAN""",,1533381206,639909431,"""beginner""","""new_normal""","""YES""",'','',,1533381205,360503277,"""1""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1533381206659307521,1,5,"""ROBOT""",,1533381206,656578522,'','','','','',,1533381206,622960387,"""grasp""","""NeedsHelp""","""TaskHuman""",False,'','',[],'','',"""-1""","""-0.922368"""
1533381212321759523,1,5,"""SENSORS""",,1533381212,321432659,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533381214603000229,1,5,"""OBSERVATION""",,1533381214,599915385,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1533381215949144178,1,5,"""HUMAN""",,1533381215,945861469,"""beginner""","""new_normal""","""YES""",'','',,1533381207,704235821,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533381215966833208,1,6,"""ROBOT""",,1533381215,964115538,'','','','','',,1533381215,932915946,"""planning for grasping""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""4.50116"""
1533381223601566793,2,0,"""MANAGER""",,1533381223,601323304,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_tired.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381224789224560,2,0,"""ROBOT""",,1533381224,786228025,'','','','','',,1533381224,785263940,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""6""","""4.50116"""
1533381226501879511,2,0,"""OBSERVATION""",,1533381226,498643930,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381227797335052,2,0,"""HUMAN""",,1533381227,793033110,"""beginner""","""new_normal""","""YES""",'','',,1533381224,466097491,"""1""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533381227815514310,2,1,"""ROBOT""",,1533381227,812824447,'','','','','',,1533381227,777543217,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,'','',[],'','',"""0""","""0"""
1533381228894641149,2,1,"""OBSERVATION""",,1533381228,891858974,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381230226051402,2,1,"""HUMAN""",,1533381230,222771886,"""beginner""","""new_normal""","""YES""",'','',,1533381228,873490881,"""1""","""Tired""","""Tired""",True,'','',[],'','','',''
1533381230240925725,2,2,"""ROBOT""",,1533381230,237965238,'','','','','',,1533381230,208250774,"""idle""","""TaskHuman""","""NeedsHelp""",False,'','',[],'','',"""0""","""0"""
1533381231325851272,2,2,"""OBSERVATION""",,1533381231,322858666,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381232670762019,2,2,"""HUMAN""",,1533381232,667180419,"""beginner""","""new_normal""","""YES""",'','',,1533381231,304152673,"""1""","""Tired""","""Tired""",True,'','',[],'','','',''
1533381232687819078,2,3,"""ROBOT""",,1533381232,684936006,'','','','','',,1533381232,649131793,"""planning for grasping""","""NoFocus""","""NeedsHelp""",False,'','',[],'','',"""0""","""0"""
1533381233768594527,2,3,"""OBSERVATION""",,1533381233,765735792,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381235102848987,2,3,"""HUMAN""",,1533381235,99417586,"""beginner""","""new_normal""","""YES""",'','',,1533381233,748165515,"""1""","""Tired""","""Tired""",True,'','',[],'','','',''
1533381235120060056,2,4,"""ROBOT""",,1533381235,117301695,'','','','','',,1533381235,82339702,"""idle""","""TaskHuman""","""NeedsHelp""",False,'','',[],'','',"""0""","""0"""
1533381236199103836,2,4,"""OBSERVATION""",,1533381236,196200176,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381237558919790,2,4,"""HUMAN""",,1533381237,555181061,"""beginner""","""new_normal""","""YES""",'','',,1533381236,178598876,"""1""","""Tired""","""Tired""",True,'','',[],'','','',''
1533381237577185759,2,5,"""ROBOT""",,1533381237,574324542,'','','','','',,1533381237,535753801,"""planning for grasping""","""MayBeTired""","""NeedsHelp""",False,'','',[],'','',"""0""","""0"""
1533381238657483418,2,5,"""OBSERVATION""",,1533381238,654336741,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381240005293798,2,5,"""HUMAN""",,1533381240,1659346,"""beginner""","""new_normal""","""YES""",'','',,1533381238,637256502,"""1""","""Tired""","""Tired""",True,'','',[],'','','',''
1533381240020399935,2,6,"""ROBOT""",,1533381240,17384355,'','','','','',,1533381239,984131242,"""point to remind""","""NeedsHelp""","""NoFocus""",False,'','',[],'','',"""0""","""0"""
1533381241103367078,2,6,"""OBSERVATION""",,1533381241,100130622,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533381242455294478,2,6,"""HUMAN""",,1533381242,451237237,"""beginner""","""new_normal""","""YES""",'','',,1533381241,80055981,"""1""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1533381242474609533,2,7,"""ROBOT""",,1533381242,471754851,'','','','','',,1533381242,434677423,"""grasp""","""NeedsHelp""","""NeedsToBeReminded""",False,'','',[],'','',"""0""","""0"""
1533381244061652874,2,7,"""OBSERVATION""",,1533381244,58704236,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533381245436691657,2,7,"""HUMAN""",,1533381245,433158074,"""beginner""","""new_normal""","""YES""",'','',,1533381243,530869072,"""2""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
