rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533381193807759314,1,0,"""MANAGER""",,1533381193,807589749,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_tired.pomdpx""",'',,0,0,'','','',False,'','',[],"""START""",'','',''
1533381212321759523,1,5,"""SENSORS""",,1533381212,321432659,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533381223601566793,2,0,"""MANAGER""",,1533381223,601323304,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_tired.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381265608234455,2,13,"""SENSORS""",,1533381265,607971883,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533381276159685322,3,0,"""MANAGER""",,1533381276,159184742,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381300684436780,3,6,"""SENSORS""",,1533381300,684245794,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533381311886225150,4,0,"""MANAGER""",,1533381311,886009129,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381318218953081,4,1,"""SENSORS""",,1533381318,218657650,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533381329351326042,5,0,"""MANAGER""",,1533381329,351067164,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381342957579125,5,3,"""SENSORS""",,1533381342,957374827,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533381354184276010,6,0,"""MANAGER""",,1533381354,182852146,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381396198700510,6,13,"""SENSORS""",,1533381396,198398419,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533381405916393639,7,0,"""MANAGER""",,1533381405,916243750,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381412286475235,7,1,"""SENSORS""",,1533381412,286132990,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533381423452251826,8,0,"""MANAGER""",,1533381423,452147323,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381465460523710,8,11,"""SENSORS""",,1533381465,459943764,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533381474458601674,9,0,"""MANAGER""",,1533381474,458446681,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381516467243161,9,12,"""SENSORS""",,1533381516,466865947,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533381529035226582,10,0,"""MANAGER""",,1533381529,34950253,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381571044886878,10,12,"""SENSORS""",,1533381571,44620102,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533381579731987823,11,0,"""MANAGER""",,1533381579,731699028,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533381604788019177,11,4,"""SENSORS""",,1533381604,787692315,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533381615971131881,12,0,"""MANAGER""",,1533381615,971015890,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
