task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1533381193,807589749,1533381212,321432659,18.513842821121216,"""SUCCESS""","""human"""
2,1533381223,601323304,1533381265,607971883,42.006648540496826,"""FAIL""",''
3,1533381276,159184742,1533381300,684245794,24.52506113052368,"""SUCCESS""","""human"""
4,1533381311,886009129,1533381318,218657650,6.332648515701294,"""SUCCESS""","""human"""
5,1533381329,351067164,1533381342,957374827,13.606307744979858,"""SUCCESS""","""human"""
6,1533381354,182852146,1533381396,198398419,42.0155463218689,"""FAIL""",''
7,1533381405,916243750,1533381412,286132990,6.369889259338379,"""SUCCESS""","""human"""
8,1533381423,452147323,1533381465,459943764,42.0077965259552,"""FAIL""",''
9,1533381474,458446681,1533381516,466865947,42.00841927528381,"""FAIL""",''
10,1533381529,34950253,1533381571,44620102,42.09669852256775,"""FAIL""",''
11,1533381579,731699028,1533381604,787692315,25.05599331855774,"""SUCCESS""","""human"""
12,1533381615,971015890,1533381644,401281990,28.43026614189148,"""SUCCESS""","""human"""
13,1533381655,622522417,1533381697,633697317,42.01117491722107,"""FAIL""",''
14,1533381706,350714658,1533381748,362592042,42.0118772983551,"""SUCCESS""","""human"""
15,1533381757,404234997,1533381799,410856686,42.00662183761597,"""FAIL""",''
16,1533381811,143350721,1533381853,149233724,42.00588297843933,"""FAIL""",''
17,1533381861,344956198,1533381903,353480019,42.00852394104004,"""FAIL""",''
18,1533381917,596698041,1533381932,225243234,14.62854528427124,"""SUCCESS""","""human"""
19,1533381943,446821284,1533381955,711990438,12.265169143676758,"""SUCCESS""","""human"""
20,1533381966,921956951,1533381995,172327160,28.250370025634766,"""SUCCESS""","""human"""
21,1533382006,415825366,1533382020,117816676,13.701991319656372,"""SUCCESS""","""human"""
22,1533382031,299475967,1533382040,87740187,9.57792592048645,"""SUCCESS""","""human"""
23,1533382051,267575077,1533382060,23240193,8.964826822280884,"""SUCCESS""","""human"""
24,1533382071,245042656,1533382077,660454157,6.415411710739136,"""SUCCESS""","""human"""
25,1533382088,783574788,1533382095,165910214,6.382335424423218,"""SUCCESS""","""human"""
26,1533382106,353050769,1533382112,732525180,6.379474401473999,"""SUCCESS""","""human"""
27,1533382123,901031170,1533382132,704726218,8.8036949634552,"""SUCCESS""","""human"""
28,1533382143,926603539,1533382161,631448085,17.70484447479248,"""SUCCESS""","""human"""
29,1533382172,824500716,1533382181,594340316,8.769839525222778,"""SUCCESS""","""human"""
30,1533382192,762777417,1533382199,166986338,6.4042088985443115,"""SUCCESS""","""human"""
31,1533382210,344212872,1533382216,722124991,6.377912282943726,"""SUCCESS""","""human"""
32,1533382227,885529786,1533382234,240172808,6.354643106460571,"""SUCCESS""","""human"""
33,1533382245,393789733,1533382254,112286995,8.718497276306152,"""SUCCESS""","""human"""
34,1533382265,297256085,1533382271,703239934,6.405983924865723,"""SUCCESS""","""human"""
35,1533382282,880494620,1533382291,910449560,9.02995491027832,"""SUCCESS""","""human"""
36,1533382303,98896419,1533382312,269790498,8.280826330184937,"""SUCCESS""","""human"""
37,1533382323,434332540,1533382337,237065383,13.802732706069946,"""SUCCESS""","""human"""
38,1533382348,421005378,1533382354,838523489,6.417517900466919,"""SUCCESS""","""human"""
39,1533382366,21821717,1533382372,398110111,6.1798930168151855,"""SUCCESS""","""human"""
40,1533382383,583847350,1533382392,354981975,8.771134614944458,"""SUCCESS""","""human"""
41,1533382403,503872693,1533382412,287146391,8.783273696899414,"""SUCCESS""","""human"""
42,1533382423,522585250,1533382432,239975526,8.717390298843384,"""SUCCESS""","""human"""
43,1533382443,419010798,1533382449,794980862,6.375969886779785,"""SUCCESS""","""human"""
44,1533382460,942332187,1533382472,322571208,11.380239009857178,"""SUCCESS""","""human"""
45,1533382483,558141145,1533382489,938363189,6.380221843719482,"""SUCCESS""","""human"""
46,1533382501,112244549,1533382509,907750939,8.795506238937378,"""SUCCESS""","""human"""
47,1533382521,121677860,1533382530,79365155,9.671973705291748,"""SUCCESS""","""human"""
48,1533382541,279871030,1533382547,669520715,6.3896496295928955,"""SUCCESS""","""human"""
49,1533382558,829568450,1533382565,221175808,6.3916075229644775,"""SUCCESS""","""human"""
50,1533382576,403067544,1533382582,806376450,6.403308868408203,"""SUCCESS""","""human"""
51,1533382593,999701745,1533382602,736218621,8.736516952514648,"""SUCCESS""","""human"""
52,1533382613,916217547,1533382620,324620853,6.408403396606445,"""SUCCESS""","""human"""
53,1533382631,511186078,1533382637,903076148,6.391890048980713,"""SUCCESS""","""human"""
54,1533382649,87454443,1533382655,473376569,5.598832130432129,"""SUCCESS""","""human"""
55,1533382666,675419817,1533382675,671622291,8.99620246887207,"""SUCCESS""","""human"""
56,1533382686,894448874,1533382695,826886386,8.932437658309937,"""SUCCESS""","""human"""
57,1533382707,31334647,1533382715,752817695,8.439471244812012,"""SUCCESS""","""human"""
58,1533382726,929426074,1533382733,283588492,6.3541624546051025,"""SUCCESS""","""human"""
59,1533382744,442135633,1533382750,831132579,6.3889970779418945,"""SUCCESS""","""human"""
60,1533382762,26249512,1533382770,745267527,8.482772588729858,"""SUCCESS""","""human"""
61,1533382781,936212545,1533382823,945121675,42.00890922546387,"""FAIL""",''
62,1533382838,331593254,1533382880,336863656,42.00527048110962,"""FAIL""",''
63,1533382894,670546613,1533382936,678555568,42.00800895690918,"""FAIL""",''
64,1533382949,892903784,1533382991,901279138,42.00837540626526,"""FAIL""",''
65,1533383006,113108751,1533383048,121536131,42.0084273815155,"""FAIL""",''
66,1533383062,388275821,1533383104,396003252,42.00772738456726,"""FAIL""",''
