rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533401462934483571,1,0,"""MANAGER""",,1533401462,934318574,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_tired.pomdpx""",'',,0,0,'','','',False,'','',[],"""START""",'','',''
1533401463823551071,1,0,"""OBSERVATION""",,1533401463,820270646,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533401463963199199,1,0,"""ROBOT""",,1533401463,960117060,'','','','','',,1533401463,959194811,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533401465169977517,1,0,"""HUMAN""",,1533401465,165781152,"""beginner""","""new_normal""","""YES""",'','',,1533401463,801287784,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533401465181062726,1,1,"""ROBOT""",,1533401465,178316866,'','','','','',,1533401465,140219224,"""planning for grasping""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533401470355215826,1,1,"""SENSORS""",,1533401470,355012223,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401472632834899,1,1,"""OBSERVATION""",,1533401472,629660829,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1533401473942743823,1,1,"""HUMAN""",,1533401473,939002445,"""beginner""","""new_normal""","""YES""",'','',,1533401466,239119359,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533401473956836864,1,2,"""ROBOT""",,1533401473,953682110,'','','','','',,1533401473,924611044,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""4.90244"""
1533401481603598210,2,0,"""MANAGER""",,1533401481,603351909,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401482791173087,2,0,"""ROBOT""",,1533401482,787238500,'','','','','',,1533401482,785342116,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""6""","""4.90244"""
1533401482799719559,2,0,"""HUMAN""",,1533401482,795814627,"""beginner""","""new_normal""","""YES""",'','',,1533401482,467605110,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533401482808955959,2,1,"""ROBOT""",,1533401482,806320986,'','','','','',,1533401482,785342116,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533401487983113741,2,1,"""SENSORS""",,1533401487,983008379,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401490264024363,2,1,"""OBSERVATION""",,1533401490,260949068,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1533401491532927258,2,1,"""HUMAN""",,1533401491,526842659,"""beginner""","""new_normal""","""YES""",'','',,1533401483,867227362,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533401491543714847,2,2,"""ROBOT""",,1533401491,541008939,'','','','','',,1533401491,515325312,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""5.88"""
1533401499159680900,3,0,"""MANAGER""",,1533401499,159546355,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401500341350587,3,0,"""ROBOT""",,1533401500,336436534,'','','','','',,1533401500,335555330,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""6""","""5.88"""
1533401502053035238,3,0,"""OBSERVATION""",,1533401502,50077654,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533401503335161477,3,0,"""HUMAN""",,1533401503,331264230,"""beginner""","""new_normal""","""YES""",'','',,1533401500,20734802,"""1""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533401503346368220,3,1,"""ROBOT""",,1533401503,343316320,'','','','','',,1533401503,313872167,"""planning for grasping""","""NoFocus""","""NoFocus""",True,'','',[],'','',"""0""","""0"""
1533401504422059393,3,1,"""OBSERVATION""",,1533401504,418932133,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533401505707359329,3,1,"""HUMAN""",,1533401505,703748594,"""beginner""","""new_normal""","""YES""",'','',,1533401504,401207822,"""1""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1533401505719819027,3,2,"""ROBOT""",,1533401505,717028770,'','','','','',,1533401505,687767278,"""planning for grasping""","""NeedsToBeReminded""","""NeedsToBeReminded""",True,'','',[],'','',"""0""","""0"""
1533401506796991740,3,2,"""OBSERVATION""",,1533401506,793812147,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1533401508083680763,3,2,"""HUMAN""",,1533401508,80083591,"""beginner""","""new_normal""","""YES""",'','',,1533401506,775170059,"""1""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1533401508098886820,3,3,"""ROBOT""",,1533401508,96074915,'','','','','',,1533401508,62684709,"""point to remind""","""NeedsToBeReminded""","""NeedsToBeReminded""",True,'','',[],'','',"""0""","""0"""
1533401509682772990,3,3,"""OBSERVATION""",,1533401509,679823075,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533401511001211509,3,3,"""HUMAN""",,1533401510,997764512,"""beginner""","""new_normal""","""YES""",'','',,1533401509,151178644,"""2""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1533401511019099472,3,4,"""ROBOT""",,1533401511,15969771,'','','','','',,1533401510,983009605,"""planning for grasping""","""NoFocus""","""NeedsToBeReminded""",False,'','',[],'','',"""0""","""0"""
1533401512102043614,3,4,"""OBSERVATION""",,1533401512,98825395,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533401513431727862,3,4,"""HUMAN""",,1533401513,428397245,"""beginner""","""new_normal""","""YES""",'','',,1533401512,79910576,"""2""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
