rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533401462934483571,1,0,"""MANAGER""",,1533401462,934318574,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_tired.pomdpx""",'',,0,0,'','','',False,'','',[],"""START""",'','',''
1533401470355215826,1,1,"""SENSORS""",,1533401470,355012223,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401481603598210,2,0,"""MANAGER""",,1533401481,603351909,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401487983113741,2,1,"""SENSORS""",,1533401487,983008379,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401499159680900,3,0,"""MANAGER""",,1533401499,159546355,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401541172560048,3,12,"""SENSORS""",,1533401541,172223712,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533401551226233008,4,0,"""MANAGER""",,1533401551,226087943,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401593234681104,4,12,"""SENSORS""",,1533401593,234261350,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533401601936435711,5,0,"""MANAGER""",,1533401601,935859217,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401630454944934,5,6,"""SENSORS""",,1533401630,454590025,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401641693537610,6,0,"""MANAGER""",,1533401641,689039925,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401683696437677,6,10,"""SENSORS""",,1533401683,696155175,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533401693504066363,7,0,"""MANAGER""",,1533401693,503936854,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401718542993038,7,5,"""SENSORS""",,1533401718,542656265,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401729746106304,8,0,"""MANAGER""",,1533401729,745954989,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401771755250277,8,10,"""SENSORS""",,1533401771,754827594,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533401780416967618,9,0,"""MANAGER""",,1533401780,416817545,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401813876661277,9,6,"""SENSORS""",,1533401813,876379663,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401825069428765,10,0,"""MANAGER""",,1533401825,69276997,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401859690077661,10,9,"""SENSORS""",,1533401859,689757603,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401874714634466,11,0,"""MANAGER""",,1533401874,714364393,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401916727405405,11,12,"""SENSORS""",,1533401916,726448221,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533401925455807496,12,0,"""MANAGER""",,1533401925,455559479,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401967463121976,12,10,"""SENSORS""",,1533401967,462840969,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533401977254375187,13,0,"""MANAGER""",,1533401977,254143973,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533401983629557518,13,1,"""SENSORS""",,1533401983,629206602,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533401994798215419,14,0,"""MANAGER""",,1533401994,797996899,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402018271856081,14,6,"""SENSORS""",,1533402018,271523641,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402029547422386,15,0,"""MANAGER""",,1533402029,547273520,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402071555421015,15,13,"""SENSORS""",,1533402071,554943727,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533402081374622107,16,0,"""MANAGER""",,1533402081,374205209,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402087771266883,16,1,"""SENSORS""",,1533402087,770926157,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402098960382828,17,0,"""MANAGER""",,1533402098,959926523,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402140969207179,17,10,"""SENSORS""",,1533402140,968900805,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533402149193606030,18,0,"""MANAGER""",,1533402149,193213964,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402191206128241,18,11,"""SENSORS""",,1533402191,205402652,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533402199911105223,19,0,"""MANAGER""",,1533402199,910765607,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402228323721975,19,7,"""SENSORS""",,1533402228,323424168,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402239557056846,20,0,"""MANAGER""",,1533402239,556814192,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402284859750142,20,13,"""SENSORS""",,1533402284,859408624,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533402295453825248,21,0,"""MANAGER""",,1533402295,453591283,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402301800588839,21,1,"""SENSORS""",,1533402301,800281565,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402312944249862,22,0,"""MANAGER""",,1533402312,943870401,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402319405145152,22,1,"""SENSORS""",,1533402319,404914166,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402330580051631,23,0,"""MANAGER""",,1533402330,579855455,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402352449428987,24,0,"""MANAGER""",,1533402352,439107973,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402358806724342,24,1,"""SENSORS""",,1533402358,806411274,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402369987470095,25,0,"""MANAGER""",,1533402369,987187315,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402381346094229,25,3,"""SENSORS""",,1533402381,345681135,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402392557952048,26,0,"""MANAGER""",,1533402392,557686757,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402398970960000,26,1,"""SENSORS""",,1533402398,970572326,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402410134859330,27,0,"""MANAGER""",,1533402410,134572790,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402416536834577,27,1,"""SENSORS""",,1533402416,536477578,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402427710943321,28,0,"""MANAGER""",,1533402427,710800560,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402439050052999,28,3,"""SENSORS""",,1533402439,49689851,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402450270937097,29,0,"""MANAGER""",,1533402450,270764159,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402476260719463,29,7,"""SENSORS""",,1533402476,260389858,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402487523460250,30,0,"""MANAGER""",,1533402487,523109296,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402496317424514,30,2,"""SENSORS""",,1533402496,316958068,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402507488940127,31,0,"""MANAGER""",,1533402507,487856214,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402530146189357,31,5,"""SENSORS""",,1533402530,146055262,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402541337692934,32,0,"""MANAGER""",,1533402541,337525337,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533402547714073879,32,1,"""SENSORS""",,1533402547,712568796,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533402558887459894,33,0,"""MANAGER""",,1533402558,887303170,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_non-collaborative.pomdpx""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
