task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1533401462,934318574,1533401470,355012223,7.420693635940552,"""SUCCESS""","""human"""
2,1533401481,603351909,1533401487,983008379,6.379656553268433,"""SUCCESS""","""human"""
3,1533401499,159546355,1533401541,172223712,42.01267743110657,"""FAIL""",''
4,1533401551,226087943,1533401593,234261350,42.00817322731018,"""FAIL""",''
5,1533401601,935859217,1533401630,454590025,28.518730878829956,"""SUCCESS""","""human"""
6,1533401641,689039925,1533401683,696155175,42.00711512565613,"""FAIL""",''
7,1533401693,503936854,1533401718,542656265,25.038719415664673,"""SUCCESS""","""human"""
8,1533401729,745954989,1533401771,754827594,42.008872509002686,"""FAIL""",''
9,1533401780,416817545,1533401813,876379663,33.45956230163574,"""SUCCESS""","""human"""
10,1533401825,69276997,1533401859,689757603,33.99698758125305,"""SUCCESS""","""human"""
11,1533401874,714364393,1533401916,726448221,42.012084007263184,"""FAIL""",''
12,1533401925,455559479,1533401967,462840969,42.00728154182434,"""FAIL""",''
13,1533401977,254143973,1533401983,629206602,6.375062704086304,"""SUCCESS""","""human"""
14,1533401994,797996899,1533402018,271523641,23.4735267162323,"""SUCCESS""","""human"""
15,1533402029,547273520,1533402071,554943727,42.007670164108276,"""FAIL""",''
16,1533402081,374205209,1533402087,770926157,6.396721124649048,"""SUCCESS""","""human"""
17,1533402098,959926523,1533402140,968900805,42.00897431373596,"""FAIL""",''
18,1533402149,193213964,1533402191,205402652,42.01218867301941,"""FAIL""",''
19,1533402199,910765607,1533402228,323424168,28.41265845298767,"""SUCCESS""","""human"""
20,1533402239,556814192,1533402284,859408624,45.30259442329407,"""FAIL""",''
21,1533402295,453591283,1533402301,800281565,6.3466901779174805,"""SUCCESS""","""human"""
22,1533402312,943870401,1533402319,404914166,6.461043834686279,"""SUCCESS""","""human"""
24,1533402352,439107973,1533402358,806411274,6.367303371429443,"""SUCCESS""","""human"""
25,1533402369,987187315,1533402381,345681135,11.35849380493164,"""SUCCESS""","""human"""
26,1533402392,557686757,1533402398,970572326,6.412885427474976,"""SUCCESS""","""human"""
27,1533402410,134572790,1533402416,536477578,6.401904821395874,"""SUCCESS""","""human"""
28,1533402427,710800560,1533402439,49689851,11.786097764968872,"""SUCCESS""","""human"""
29,1533402450,270764159,1533402476,260389858,25.989625692367554,"""SUCCESS""","""human"""
30,1533402487,523109296,1533402496,316958068,8.793848752975464,"""SUCCESS""","""human"""
31,1533402507,487856214,1533402530,146055262,22.658199071884155,"""SUCCESS""","""human"""
32,1533402541,337525337,1533402547,712568796,6.3750433921813965,"""SUCCESS""","""human"""
33,1533402558,887303170,1533402567,611182273,8.723879098892212,"""SUCCESS""","""human"""
34,1533402578,817919004,1533402592,582102816,13.764183759689331,"""SUCCESS""","""human"""
35,1533402603,786853878,1533402623,872211031,20.085357189178467,"""SUCCESS""","""human"""
36,1533402635,108014996,1533402646,236014287,11.127999305725098,"""SUCCESS""","""human"""
37,1533402657,440002134,1533402666,202928979,8.762926816940308,"""SUCCESS""","""human"""
38,1533402677,424492903,1533402683,830939393,6.40644645690918,"""SUCCESS""","""human"""
39,1533402695,46584239,1533402701,393353703,5.927511215209961,"""SUCCESS""","""human"""
40,1533402712,542178184,1533402721,279285242,8.737107038497925,"""SUCCESS""","""human"""
41,1533402732,471201775,1533402741,449179672,8.977977991104126,"""SUCCESS""","""human"""
42,1533402752,607916606,1533402763,905928641,11.298012018203735,"""SUCCESS""","""human"""
43,1533402775,79782333,1533402781,438650334,5.640826940536499,"""SUCCESS""","""human"""
44,1533402792,564962990,1533402801,271802503,8.706839323043823,"""SUCCESS""","""human"""
45,1533402812,447362103,1533402821,436704398,8.989342212677002,"""SUCCESS""","""human"""
46,1533402832,606776912,1533402841,354426211,8.747649192810059,"""SUCCESS""","""human"""
47,1533402852,561661446,1533402861,314632076,8.752970695495605,"""SUCCESS""","""human"""
48,1533402872,502874663,1533402878,894990658,6.392116069793701,"""SUCCESS""","""human"""
49,1533402890,53207027,1533402896,392640637,5.860570430755615,"""SUCCESS""","""human"""
50,1533402907,504878513,1533402913,879053149,6.37417459487915,"""SUCCESS""","""human"""
51,1533402925,28610597,1533402931,411952483,6.12584662437439,"""SUCCESS""","""human"""
52,1533402942,579945274,1533402968,227408935,25.64746356010437,"""SUCCESS""","""human"""
53,1533402979,383157578,1533402985,736389021,6.353231430053711,"""SUCCESS""","""human"""
54,1533402996,887756631,1533403003,280417786,6.392661094665527,"""SUCCESS""","""human"""
55,1533403014,450908478,1533403020,825384756,6.374476432800293,"""SUCCESS""","""human"""
56,1533403031,993043317,1533403038,393966096,6.400922775268555,"""SUCCESS""","""human"""
57,1533403049,566121809,1533403055,947676394,6.38155460357666,"""SUCCESS""","""human"""
58,1533403067,111373038,1533403076,95511501,9.84374213218689,"""SUCCESS""","""human"""
