task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
1,1,"""OBSERVATION""",,1533331083,10687709,"[True, False, False, False, True, False]",1,0,0,0,1,0
1,2,"""OBSERVATION""",,1533331091,362058324,"[True, False, False, True, False, False]",1,0,0,1,0,0
1,3,"""OBSERVATION""",,1533331094,563250512,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,4,"""OBSERVATION""",,1533331097,4314962,"[False, True, False, False, False, False]",0,1,0,0,0,0
1,5,"""OBSERVATION""",,1533331099,368307967,"[False, True, False, False, False, False]",0,1,0,0,0,0
1,6,"""OBSERVATION""",,1533331112,553406156,"[True, False, False, True, False, False]",1,0,0,1,0,0
1,7,"""OBSERVATION""",,1533331115,726321851,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,8,"""OBSERVATION""",,1533331118,200113984,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,9,"""OBSERVATION""",,1533331123,780574962,"[True, False, False, False, False, True]",1,0,0,0,0,1
2,1,"""OBSERVATION""",,1533331136,260339039,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,2,"""OBSERVATION""",,1533331138,639299528,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,3,"""OBSERVATION""",,1533331141,35933948,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,4,"""OBSERVATION""",,1533331143,951929087,"[True, False, False, False, False, True]",1,0,0,0,0,1
2,5,"""OBSERVATION""",,1533331148,386997284,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,6,"""OBSERVATION""",,1533331157,84273596,"[True, False, False, True, False, False]",1,0,0,1,0,0
2,7,"""OBSERVATION""",,1533331159,519091549,"[True, False, False, True, False, False]",1,0,0,1,0,0
2,8,"""OBSERVATION""",,1533331161,921600185,"[True, False, False, True, False, False]",1,0,0,1,0,0
2,9,"""OBSERVATION""",,1533331167,79060528,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,10,"""OBSERVATION""",,1533331169,518670510,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,11,"""OBSERVATION""",,1533331175,41481963,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,1,"""OBSERVATION""",,1533331191,819545629,"[True, False, False, True, False, False]",1,0,0,1,0,0
3,2,"""OBSERVATION""",,1533331194,217188172,"[True, False, False, True, False, False]",1,0,0,1,0,0
3,3,"""OBSERVATION""",,1533331196,678383997,"[True, False, False, True, False, False]",1,0,0,1,0,0
4,1,"""OBSERVATION""",,1533331213,510014689,"[True, False, False, True, False, False]",1,0,0,1,0,0
4,2,"""OBSERVATION""",,1533331218,635245746,"[True, True, False, False, False, True]",1,1,0,0,0,1
4,3,"""OBSERVATION""",,1533331221,66730397,"[True, True, False, False, False, True]",1,1,0,0,0,1
4,4,"""OBSERVATION""",,1533331229,750943931,"[True, False, False, True, False, False]",1,0,0,1,0,0
4,5,"""OBSERVATION""",,1533331234,933599397,"[True, True, False, False, False, True]",1,1,0,0,0,1
4,6,"""OBSERVATION""",,1533331237,882146252,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,7,"""OBSERVATION""",,1533331242,348119995,"[True, True, False, False, False, True]",1,1,0,0,0,1
4,8,"""OBSERVATION""",,1533331248,729434930,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,0,"""OBSERVATION""",,1533331260,262688146,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,1,"""OBSERVATION""",,1533331262,615278890,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,2,"""OBSERVATION""",,1533331265,7939518,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,3,"""OBSERVATION""",,1533331267,415903773,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,4,"""OBSERVATION""",,1533331269,869082231,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,5,"""OBSERVATION""",,1533331272,802995182,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,6,"""OBSERVATION""",,1533331277,188973959,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,7,"""OBSERVATION""",,1533331279,639850889,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,8,"""OBSERVATION""",,1533331282,70956742,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,9,"""OBSERVATION""",,1533331285,16229449,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,10,"""OBSERVATION""",,1533331289,439773199,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,11,"""OBSERVATION""",,1533331292,395580017,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,12,"""OBSERVATION""",,1533331294,836553134,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,13,"""OBSERVATION""",,1533331300,478214183,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,1,"""OBSERVATION""",,1533331310,979910971,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,2,"""OBSERVATION""",,1533331315,372386873,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,3,"""OBSERVATION""",,1533331317,771947375,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,4,"""OBSERVATION""",,1533331320,687950057,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,5,"""OBSERVATION""",,1533331323,97447928,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,6,"""OBSERVATION""",,1533331327,539174015,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,7,"""OBSERVATION""",,1533331330,489465261,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,8,"""OBSERVATION""",,1533331332,927145266,"[False, True, False, False, False, False]",0,1,0,0,0,0
6,9,"""OBSERVATION""",,1533331335,334441229,"[False, True, False, False, False, False]",0,1,0,0,0,0
6,10,"""OBSERVATION""",,1533331337,756156065,"[False, True, False, False, False, False]",0,1,0,0,0,0
6,11,"""OBSERVATION""",,1533331340,155751346,"[False, False, False, False, False, False]",0,0,0,0,0,0
6,12,"""OBSERVATION""",,1533331342,546883416,"[False, False, False, False, False, False]",0,0,0,0,0,0
6,13,"""OBSERVATION""",,1533331344,965003461,"[False, False, False, False, False, False]",0,0,0,0,0,0
6,14,"""OBSERVATION""",,1533331347,397976286,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,1,"""OBSERVATION""",,1533331371,955360029,"[True, False, False, True, False, False]",1,0,0,1,0,0
7,2,"""OBSERVATION""",,1533331375,85186153,"[True, False, False, False, False, True]",1,0,0,0,0,1
7,3,"""OBSERVATION""",,1533331379,504702714,"[True, True, False, False, False, True]",1,1,0,0,0,1
