rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533331080671310126,1,0,"""MANAGER""",,1533331080,671121435,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_tired.pomdpx\""""",'',,0,0,'','','',False,'','',[],"""START""",'','',''
1533331081884896728,1,0,"""ROBOT""",,1533331081,880436531,'','','','','',,1533331081,879215789,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533331081932669511,1,0,"""HUMAN""",,1533331081,928690842,"""beginner""","""new_normal""","""YES""",'','',,1533331081,556244772,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533331081941742346,1,1,"""ROBOT""",,1533331081,938995379,'','','','','',,1533331081,879215789,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533331083013677512,1,1,"""OBSERVATION""",,1533331083,10687709,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, True, False]","""ONGOING""",'','',''
1533331084315916246,1,1,"""HUMAN""",,1533331084,312201636,"""beginner""","""new_normal""","""YES""",'','',,1533331082,993465049,"""4""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533331084329324711,1,2,"""ROBOT""",,1533331084,326459011,'','','','','',,1533331084,296149666,"""planning for grasping""","""WarningReceived""","""TaskHuman""",False,'','',[],'','',"""0""","""0"""
1533331091365842551,1,2,"""OBSERVATION""",,1533331091,362058324,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1533331092709472874,1,2,"""HUMAN""",,1533331092,706249244,"""beginner""","""new_normal""","""YES""",'','',,1533331085,370371067,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533331092729231694,1,3,"""ROBOT""",,1533331092,726406323,'','','','','',,1533331092,696506031,"""planning for grasping""","""TaskHuman""","""NeedsHelp""",False,'','',[],'','',"""0""","""0"""
1533331094566326837,1,3,"""OBSERVATION""",,1533331094,563250512,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533331095910537574,1,3,"""HUMAN""",,1533331095,904443884,"""beginner""","""new_normal""","""YES""",'','',,1533331093,787464043,"""2""","""FailedToGrasp""","""FailedToGrasp""",True,'','',[],'','','',''
1533331095926596066,1,4,"""ROBOT""",,1533331095,923845784,'','','','','',,1533331095,887586781,"""idle""","""TaskHuman""","""MayBeTired""",False,'','',[],'','',"""0""","""0"""
1533331097007480216,1,4,"""OBSERVATION""",,1533331097,4314962,'','','','','',,0,0,'','','',False,"""LA","""LA","[False, True, False, False, False, False]","""ONGOING""",'','',''
1533331098276945530,1,4,"""HUMAN""",,1533331098,273737088,"""beginner""","""new_normal""","""YES""",'','',,1533331096,987344282,"""3""","""Tired""","""Tired""",True,'','',[],'','','',''
1533331098290598651,1,5,"""ROBOT""",,1533331098,287889007,'','','','','',,1533331098,261735138,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,'','',[],'','',"""0""","""0"""
1533331099371421313,1,5,"""OBSERVATION""",,1533331099,368307967,'','','','','',,0,0,'','','',False,"""LA","""LA","[False, True, False, False, False, False]","""ONGOING""",'','',''
