rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533331080671310126,1,0,"""MANAGER""",,1533331080,671121435,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_tired.pomdpx\""""",'',,0,0,'','','',False,'','',[],"""START""",'','',''
1533331122681753461,1,9,"""SENSORS""",,1533331122,681437578,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331131943379420,2,0,"""MANAGER""",,1533331131,942758228,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331173951168130,2,11,"""SENSORS""",,1533331173,950757383,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331183735247536,3,0,"""MANAGER""",,1533331183,734955550,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_tired.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331205633474411,4,0,"""MANAGER""",,1533331205,632844067,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_tired.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331247641789369,4,8,"""SENSORS""",,1533331247,641374287,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331257378641102,5,0,"""MANAGER""",,1533331257,378307747,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331299388018422,5,13,"""SENSORS""",,1533331299,387082212,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331308695708917,6,0,"""MANAGER""",,1533331308,695333094,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331350708941102,6,14,"""SENSORS""",,1533331350,708605030,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331363910252446,7,0,"""MANAGER""",,1533331363,909851269,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331405928010788,7,11,"""SENSORS""",,1533331405,927657760,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331415693039224,8,0,"""MANAGER""",,1533331415,692882470,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331457702944747,8,10,"""SENSORS""",,1533331457,702590494,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331466933234860,9,0,"""MANAGER""",,1533331466,933099313,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331508944528322,9,12,"""SENSORS""",,1533331508,944165029,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331508949023784,9,12,"""SENSORS""",,1533331508,948731675,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331519484099098,10,0,"""MANAGER""",,1533331519,483965834,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331561494768998,10,12,"""SENSORS""",,1533331561,492886129,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331571239255339,11,0,"""MANAGER""",,1533331571,239033030,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331584854155938,11,3,"""SENSORS""",,1533331584,853797311,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331596048081006,12,0,"""MANAGER""",,1533331596,47783668,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331638058290364,12,12,"""SENSORS""",,1533331638,57965665,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331646766870296,13,0,"""MANAGER""",,1533331646,766597659,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331653145207536,13,1,"""SENSORS""",,1533331653,144839702,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331664317810471,14,0,"""MANAGER""",,1533331664,317648158,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331676592754706,14,2,"""SENSORS""",,1533331676,592461670,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331687770645512,15,0,"""MANAGER""",,1533331687,770222736,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331729781625999,15,11,"""SENSORS""",,1533331729,781280608,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533331739064593960,16,0,"""MANAGER""",,1533331739,64177702,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331769861284069,16,8,"""SENSORS""",,1533331769,860923582,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331781092347693,17,0,"""MANAGER""",,1533331781,92202959,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331787479294437,17,1,"""SENSORS""",,1533331787,479120079,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331798639766304,18,0,"""MANAGER""",,1533331798,639525730,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331805021718517,18,1,"""SENSORS""",,1533331805,21395086,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331816204490990,19,0,"""MANAGER""",,1533331816,203076260,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331822575858455,19,1,"""SENSORS""",,1533331822,575569859,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331833758821052,20,0,"""MANAGER""",,1533331833,758513569,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331840129692031,20,1,"""SENSORS""",,1533331840,129566471,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331851279175067,21,0,"""MANAGER""",,1533331851,278434252,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331867331331272,21,4,"""SENSORS""",,1533331867,331214026,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331878496456518,22,0,"""MANAGER""",,1533331878,496150826,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331887206766652,22,2,"""SENSORS""",,1533331887,206437167,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331898379182731,23,0,"""MANAGER""",,1533331898,378671696,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331907161959454,23,2,"""SENSORS""",,1533331907,160954986,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331918357782348,24,0,"""MANAGER""",,1533331918,357479436,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331924756757671,24,1,"""SENSORS""",,1533331924,756400748,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331935957864116,25,0,"""MANAGER""",,1533331935,957591696,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331973727475083,25,10,"""SENSORS""",,1533331973,727144479,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533331987147465724,26,0,"""MANAGER""",,1533331987,147091133,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533331993545980801,26,1,"""SENSORS""",,1533331993,545622483,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533332004650548468,27,0,"""MANAGER""",,1533332004,650322327,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_non-collaborative.pomdpx\""""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533332011037390462,27,1,"""SENSORS""",,1533332011,37067806,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533332022225988070,28,0,"""MANAGER""",,1533332022,225555412,"""beginner""","""new_normal""","""YES""","""\""proactive_robot_pomdp_beginner.pomdpx\""""","""expert_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533332028591085266,28,1,"""SENSORS""",,1533332028,590776382,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
