task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1533331080,671121435,1533331122,681437578,42.010316133499146,"""FAIL""",''
2,1533331131,942758228,1533331173,950757383,42.00799894332886,"""FAIL""",''
4,1533331205,632844067,1533331247,641374287,42.008530378341675,"""FAIL""",''
5,1533331257,378307747,1533331299,387082212,42.008774280548096,"""FAIL""",''
6,1533331308,695333094,1533331350,708605030,42.01327204704285,"""FAIL""",''
7,1533331363,909851269,1533331405,927657760,42.01780652999878,"""FAIL""",''
8,1533331415,692882470,1533331457,702590494,42.00970792770386,"""FAIL""",''
9,1533331466,933099313,1533331508,944165029,42.01106572151184,"""FAIL""",''
10,1533331519,483965834,1533331561,492886129,42.008920192718506,"""FAIL""",''
11,1533331571,239033030,1533331584,853797311,13.614764213562012,"""SUCCESS""","""human"""
12,1533331596,47783668,1533331638,57965665,42.10181999206543,"""FAIL""",''
13,1533331646,766597659,1533331653,144839702,6.378242015838623,"""SUCCESS""","""human"""
14,1533331664,317648158,1533331676,592461670,12.274813413619995,"""SUCCESS""","""human"""
15,1533331687,770222736,1533331729,781280608,42.01105785369873,"""FAIL""",''
16,1533331739,64177702,1533331769,860923582,30.219146490097046,"""SUCCESS""","""human"""
17,1533331781,92202959,1533331787,479120079,5.557090520858765,"""SUCCESS""","""human"""
18,1533331798,639525730,1533331805,21395086,6.574425220489502,"""SUCCESS""","""human"""
19,1533331816,203076260,1533331822,575569859,6.372493505477905,"""SUCCESS""","""human"""
20,1533331833,758513569,1533331840,129566471,6.371052980422974,"""SUCCESS""","""human"""
21,1533331851,278434252,1533331867,331214026,16.05277967453003,"""SUCCESS""","""human"""
22,1533331878,496150826,1533331887,206437167,8.710286378860474,"""SUCCESS""","""human"""
23,1533331898,378671696,1533331907,160954986,8.782283306121826,"""SUCCESS""","""human"""
24,1533331918,357479436,1533331924,756400748,6.398921489715576,"""SUCCESS""","""human"""
25,1533331935,957591696,1533331973,727144479,37.76955270767212,"""SUCCESS""","""human"""
26,1533331987,147091133,1533331993,545622483,6.398531436920166,"""SUCCESS""","""human"""
27,1533332004,650322327,1533332011,37067806,6.72035551071167,"""SUCCESS""","""human"""
28,1533332022,225555412,1533332028,590776382,6.36522102355957,"""SUCCESS""","""human"""
29,1533332039,738083543,1533332046,136652370,6.398568868637085,"""SUCCESS""","""human"""
30,1533332057,304524236,1533332063,687918611,6.383394479751587,"""SUCCESS""","""human"""
31,1533332074,901355357,1533332083,654818461,8.75346326828003,"""SUCCESS""","""human"""
32,1533332094,845387040,1533332103,611568369,8.766181468963623,"""SUCCESS""","""human"""
33,1533332114,816170420,1533332134,950658041,20.134487628936768,"""SUCCESS""","""human"""
34,1533332146,145442701,1533332152,560021869,6.414579153060913,"""SUCCESS""","""human"""
35,1533332163,726622439,1533332183,927684337,20.201061964035034,"""SUCCESS""","""human"""
36,1533332195,139109680,1533332201,562241478,6.423131942749023,"""SUCCESS""","""human"""
37,1533332212,742338204,1533332221,792888547,9.05055046081543,"""SUCCESS""","""human"""
38,1533332232,988641855,1533332239,381220759,6.392579078674316,"""SUCCESS""","""human"""
39,1533332250,556111294,1533332256,938889829,6.3827784061431885,"""SUCCESS""","""human"""
40,1533332268,133983128,1533332274,503931727,6.369948625564575,"""SUCCESS""","""human"""
41,1533332285,671557283,1533332294,658898106,8.987340927124023,"""SUCCESS""","""human"""
42,1533332305,860483015,1533332323,536008962,17.67552614212036,"""SUCCESS""","""human"""
43,1533332334,697889238,1533332341,88830975,7.190420389175415,"""SUCCESS""","""human"""
44,1533332352,274622013,1533332363,438717890,11.164095878601074,"""SUCCESS""","""human"""
45,1533332374,641183306,1533332381,25452598,6.613342523574829,"""SUCCESS""","""human"""
46,1533332392,225087837,1533332405,973678510,13.74859070777893,"""SUCCESS""","""human"""
47,1533332417,195818840,1533332434,824158687,17.628339767456055,"""SUCCESS""","""human"""
48,1533332446,4281299,1533332454,710903250,8.28277325630188,"""SUCCESS""","""human"""
49,1533332465,857248708,1533332472,226901241,6.369652509689331,"""SUCCESS""","""human"""
50,1533332483,391638528,1533332489,754220403,6.362581968307495,"""SUCCESS""","""human"""
51,1533332500,926731680,1533332507,287644789,6.360913276672363,"""SUCCESS""","""human"""
52,1533332518,431454777,1533332527,176436881,8.744982242584229,"""SUCCESS""","""human"""
53,1533332538,387039666,1533332551,905155968,13.518116235733032,"""SUCCESS""","""human"""
54,1533332563,303062937,1533332569,656146679,6.353083848953247,"""SUCCESS""","""human"""
55,1533332580,802942346,1533332589,591828033,8.788885831832886,"""SUCCESS""","""human"""
56,1533332600,788293791,1533332609,505454446,8.717160701751709,"""SUCCESS""","""human"""
57,1533332620,691641023,1533332629,586652466,8.89501142501831,"""SUCCESS""","""human"""
58,1533332640,766669956,1533332649,743311651,8.976641654968262,"""SUCCESS""","""human"""
59,1533332660,934577355,1533332669,717521221,8.782943725585938,"""SUCCESS""","""human"""
60,1533332680,897988197,1533332687,284328528,6.386340379714966,"""SUCCESS""","""human"""
61,1533332698,432823240,1533332740,440814324,42.00799107551575,"""FAIL""",''
62,1533332752,82986608,1533332794,87065220,42.040786027908325,"""FAIL""",''
63,1533332808,362896185,1533332850,370536886,42.00764060020447,"""FAIL""",''
64,1533332863,597482060,1533332905,606538110,42.009056091308594,"""FAIL""",''
65,1533332918,818116134,1533332960,826376357,42.00826025009155,"""FAIL""",''
66,1533332974,61940665,1533333016,69242156,42.073014974594116,"""FAIL""",''
67,1533333029,310634859,1533333071,327776120,42.017141342163086,"""FAIL""",''
68,1533333084,583285590,1533333126,591232858,42.00794720649719,"""FAIL""",''
69,1533333139,842592217,1533333181,849896720,42.007304430007935,"""FAIL""",''
70,1533333195,87322456,1533333237,94810154,42.0748770236969,"""FAIL""",''
71,1533333250,328763344,1533333292,336865847,42.00810265541077,"""FAIL""",''
72,1533333305,590527738,1533333347,596944700,42.00641703605652,"""FAIL""",''
73,1533333360,821001849,1533333402,834267848,42.01326608657837,"""FAIL""",''
74,1533333416,35696729,1533333458,44798008,42.091012954711914,"""FAIL""",''
75,1533333471,278690825,1533333513,285578509,42.006887674331665,"""FAIL""",''
76,1533333526,528809219,1533333568,534015753,42.00520634651184,"""FAIL""",''
77,1533333582,815613877,1533333624,823911597,42.00829768180847,"""FAIL""",''
78,1533333638,84502802,1533333680,92531881,42.08029079437256,"""FAIL""",''
79,1533333693,381461607,1533333735,387165842,42.005704164505005,"""FAIL""",''
80,1533333748,652417227,1533333790,658261892,42.005844593048096,"""FAIL""",''
81,1533333798,913541055,1533333840,919480480,42.00593948364258,"""FAIL""",''
82,1533333854,132326470,1533333896,148888524,42.01656222343445,"""FAIL""",''
83,1533333909,389806128,1533333951,398880610,42.009074687957764,"""FAIL""",''
84,1533333964,620183786,1533334006,627103661,42.006919860839844,"""FAIL""",''
85,1533334019,910860171,1533334061,918126004,42.0072660446167,"""FAIL""",''
86,1533334075,152666989,1533334117,158803153,42.00613617897034,"""FAIL""",''
