task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
1,1,"""OBSERVATION""",,1531922840,454556987,"[True, False, False, True, False, False]",1,0,0,1,0,0
1,2,"""OBSERVATION""",,1531922843,588215331,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,3,"""OBSERVATION""",,1531922845,963273394,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,4,"""OBSERVATION""",,1531922848,360778487,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,5,"""OBSERVATION""",,1531922850,742588588,"[True, False, False, False, True, False]",1,0,0,0,1,0
1,6,"""OBSERVATION""",,1531922853,343747642,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,7,"""OBSERVATION""",,1531922855,774729815,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,8,"""OBSERVATION""",,1531922864,577069649,"[True, False, True, False, False, False]",1,0,1,0,0,0
2,0,"""OBSERVATION""",,1531922876,447109431,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,1,"""OBSERVATION""",,1531922878,794151767,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,2,"""OBSERVATION""",,1531922881,181884878,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,3,"""OBSERVATION""",,1531922883,560469006,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,4,"""OBSERVATION""",,1531922892,227432894,"[True, False, False, True, False, False]",1,0,0,1,0,0
2,5,"""OBSERVATION""",,1531922894,642238506,"[True, False, False, True, False, False]",1,0,0,1,0,0
2,6,"""OBSERVATION""",,1531922897,63379754,"[True, False, False, True, False, False]",1,0,0,1,0,0
2,7,"""OBSERVATION""",,1531922899,469869294,"[True, False, False, True, False, False]",1,0,0,1,0,0
2,8,"""OBSERVATION""",,1531922901,901834141,"[True, False, False, True, False, False]",1,0,0,1,0,0
3,1,"""OBSERVATION""",,1531922914,832775812,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,2,"""OBSERVATION""",,1531922917,226890242,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,3,"""OBSERVATION""",,1531922920,134809336,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,4,"""OBSERVATION""",,1531922928,912526297,"[True, False, True, False, False, False]",1,0,1,0,0,0
4,1,"""OBSERVATION""",,1531922941,830770345,"[True, True, False, False, False, True]",1,1,0,0,0,1
4,2,"""OBSERVATION""",,1531922944,220678354,"[True, True, False, False, False, True]",1,1,0,0,0,1
4,3,"""OBSERVATION""",,1531922947,131961503,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,4,"""OBSERVATION""",,1531922951,567447064,"[True, True, False, False, False, True]",1,1,0,0,0,1
4,5,"""OBSERVATION""",,1531922954,463766516,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,6,"""OBSERVATION""",,1531922956,891638729,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,7,"""OBSERVATION""",,1531922959,314090083,"[True, False, False, False, True, False]",1,0,0,0,1,0
4,8,"""OBSERVATION""",,1531922961,927269523,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,9,"""OBSERVATION""",,1531922964,381940928,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,10,"""OBSERVATION""",,1531922973,179204481,"[True, False, True, False, False, False]",1,0,1,0,0,0
5,0,"""OBSERVATION""",,1531922985,24051266,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,1,"""OBSERVATION""",,1531922987,429064248,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,2,"""OBSERVATION""",,1531922990,319401874,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,3,"""OBSERVATION""",,1531922992,739446525,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,4,"""OBSERVATION""",,1531922995,188025280,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,5,"""OBSERVATION""",,1531922997,559776488,"[True, False, False, False, True, False]",1,0,0,0,1,0
5,6,"""OBSERVATION""",,1531923000,161146337,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,7,"""OBSERVATION""",,1531923002,600467018,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,8,"""OBSERVATION""",,1531923007,45792219,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,9,"""OBSERVATION""",,1531923009,453236816,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,10,"""OBSERVATION""",,1531923011,862427348,"[True, True, False, False, False, True]",1,1,0,0,0,1
5,11,"""OBSERVATION""",,1531923021,151398496,"[True, False, True, False, False, False]",1,0,1,0,0,0
6,1,"""OBSERVATION""",,1531923040,813670384,"[True, False, False, True, False, False]",1,0,0,1,0,0
6,2,"""OBSERVATION""",,1531923043,186449532,"[True, False, False, True, False, False]",1,0,0,1,0,0
7,1,"""OBSERVATION""",,1531923054,88080375,"[True, False, False, False, False, True]",1,0,0,0,0,1
7,2,"""OBSERVATION""",,1531923062,825804181,"[True, False, True, False, False, False]",1,0,1,0,0,0
8,1,"""OBSERVATION""",,1531923073,725202837,"[True, False, False, False, False, True]",1,0,0,0,0,1
8,2,"""OBSERVATION""",,1531923078,102329476,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,3,"""OBSERVATION""",,1531923080,443468606,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,4,"""OBSERVATION""",,1531923082,830394039,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,5,"""OBSERVATION""",,1531923092,90537651,"[True, False, True, False, False, False]",1,0,1,0,0,0
9,1,"""OBSERVATION""",,1531923108,766017280,"[True, False, False, True, False, False]",1,0,0,1,0,0
9,2,"""OBSERVATION""",,1531923111,145545971,"[True, False, False, True, False, False]",1,0,0,1,0,0
9,3,"""OBSERVATION""",,1531923116,326317000,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,4,"""OBSERVATION""",,1531923118,742853035,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,5,"""OBSERVATION""",,1531923121,165907281,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,6,"""OBSERVATION""",,1531923123,565028220,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,7,"""OBSERVATION""",,1531923126,498677875,"[True, False, False, False, False, True]",1,0,0,0,0,1
9,8,"""OBSERVATION""",,1531923135,298499511,"[True, False, True, False, False, False]",1,0,1,0,0,0
10,1,"""OBSERVATION""",,1531923152,576938451,"[True, False, True, False, False, False]",1,0,1,0,0,0
11,1,"""OBSERVATION""",,1531923163,452053066,"[True, False, False, False, False, True]",1,0,0,0,0,1
11,2,"""OBSERVATION""",,1531923171,597980974,"[True, False, False, True, False, False]",1,0,0,1,0,0
11,3,"""OBSERVATION""",,1531923174,5584269,"[True, False, False, True, False, False]",1,0,0,1,0,0
12,1,"""OBSERVATION""",,1531923190,698195811,"[True, False, False, True, False, False]",1,0,0,1,0,0
12,2,"""OBSERVATION""",,1531923193,817487802,"[True, False, False, False, False, True]",1,0,0,0,0,1
12,3,"""OBSERVATION""",,1531923202,570528313,"[True, False, True, False, False, False]",1,0,1,0,0,0
13,1,"""OBSERVATION""",,1531923213,656767374,"[True, False, False, False, False, True]",1,0,0,0,0,1
13,2,"""OBSERVATION""",,1531923221,792085740,"[True, False, False, True, False, False]",1,0,0,1,0,0
13,3,"""OBSERVATION""",,1531923224,932789908,"[True, False, False, False, False, True]",1,0,0,0,0,1
13,4,"""OBSERVATION""",,1531923233,773561747,"[True, False, True, False, False, False]",1,0,1,0,0,0
14,1,"""OBSERVATION""",,1531923244,663217023,"[True, False, False, False, False, True]",1,0,0,0,0,1
14,2,"""OBSERVATION""",,1531923253,440800375,"[True, False, True, False, False, False]",1,0,1,0,0,0
16,1,"""OBSERVATION""",,1531923286,543638064,"[True, False, True, False, False, False]",1,0,1,0,0,0
17,1,"""OBSERVATION""",,1531923297,386091375,"[True, False, False, False, False, True]",1,0,0,0,0,1
17,2,"""OBSERVATION""",,1531923299,759373720,"[False, True, False, False, False, False]",0,1,0,0,0,0
17,3,"""OBSERVATION""",,1531923302,129405289,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,4,"""OBSERVATION""",,1531923304,527524688,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,5,"""OBSERVATION""",,1531923306,871491928,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,6,"""OBSERVATION""",,1531923309,283101336,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,7,"""OBSERVATION""",,1531923311,674641106,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,8,"""OBSERVATION""",,1531923314,76150253,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,9,"""OBSERVATION""",,1531923316,461275696,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,10,"""OBSERVATION""",,1531923318,910615470,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,11,"""OBSERVATION""",,1531923321,264141259,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,12,"""OBSERVATION""",,1531923323,630683814,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,13,"""OBSERVATION""",,1531923326,75642857,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,14,"""OBSERVATION""",,1531923328,483317544,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,15,"""OBSERVATION""",,1531923330,884447558,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,16,"""OBSERVATION""",,1531923333,291321822,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,17,"""OBSERVATION""",,1531923338,530837780,"[False, False, False, False, False, False]",0,0,0,0,0,0
18,1,"""OBSERVATION""",,1531923353,700744003,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,2,"""OBSERVATION""",,1531923362,448287052,"[True, False, True, False, False, False]",1,0,1,0,0,0
19,1,"""OBSERVATION""",,1531923373,292839941,"[True, False, False, False, True, False]",1,0,0,0,1,0
19,2,"""OBSERVATION""",,1531923375,680569893,"[True, False, False, False, True, False]",1,0,0,0,1,0
