rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1531922832617759987,1,0,"""MANAGER""",,1531922832,617578385,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1531922833578945571,1,0,"""HUMAN""",,1531922833,575574899,"""beginner""","""new_normal""","""NO""",'','',,1531922833,556006882,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1531922833885870352,1,1,"""ROBOT""",,1531922833,882701278,'','','','','',,1531922833,881531285,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1531922840458363360,1,1,"""OBSERVATION""",,1531922840,454556987,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1531922841720631983,1,1,"""HUMAN""",,1531922841,716639907,"""beginner""","""new_normal""","""NO""",'','',,1531922834,666030619,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1531922841733986221,1,2,"""ROBOT""",,1531922841,730610940,'','','','','',,1531922841,713046957,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,'','',[],'','',"""0""","""0"""
1531922843591207643,1,2,"""OBSERVATION""",,1531922843,588215331,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1531922844869413064,1,2,"""HUMAN""",,1531922844,865983412,"""beginner""","""new_normal""","""NO""",'','',,1531922842,800630734,"""2""","""FailedToGrasp""","""FailedToGrasp""",True,'','',[],'','','',''
1531922844884214151,1,3,"""ROBOT""",,1531922844,880750337,'','','','','',,1531922844,862989990,"""grasp""","""TaskHuman""","""MayBeTired""",False,'','',[],'','',"""0""","""0"""
1531922845967026967,1,3,"""OBSERVATION""",,1531922845,963273394,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1531922847260261242,1,3,"""HUMAN""",,1531922847,256743737,"""beginner""","""new_normal""","""NO""",'','',,1531922845,936387577,"""0""","""Tired""","""Tired""",True,'','',[],'','','',''
1531922847276866704,1,4,"""ROBOT""",,1531922847,274214034,'','','','','',,1531922847,254327953,"""planning for grasping""","""TaskHuman""","""MayBeTired""",False,'','',[],'','',"""0""","""0"""
1531922848364044926,1,4,"""OBSERVATION""",,1531922848,360778487,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1531922849634766340,1,4,"""HUMAN""",,1531922849,631292551,"""beginner""","""new_normal""","""NO""",'','',,1531922848,330083011,"""2""","""RobotInterfered""","""RobotInterfered""",True,'','',[],'','','',''
1531922849646386732,1,5,"""ROBOT""",,1531922849,643583772,'','','','','',,1531922849,625654025,"""grasp""","""TaskHuman""","""WarningReceived""",False,'','',[],'','',"""-3""","""-2.7671"""
1531922850746184311,1,5,"""OBSERVATION""",,1531922850,742588588,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, True, False]","""ONGOING""",'','',''
1531922852055083864,1,5,"""HUMAN""",,1531922852,51876561,"""beginner""","""new_normal""","""NO""",'','',,1531922850,712816628,"""4""","""WarningTheRobot""","""WarningTheRobot""",True,'','',[],'','','',''
1531922852068635956,1,6,"""ROBOT""",,1531922852,65949246,'','','','','',,1531922852,46247156,"""cancel all actions""","""WarningReceived""","""WarningReceived""",True,'','',[],'','',"""0""","""-2.7671"""
1531922853346985591,1,6,"""OBSERVATION""",,1531922853,343747642,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1531922854673648218,1,6,"""HUMAN""",,1531922854,670269103,"""beginner""","""new_normal""","""NO""",'','',,1531922853,115777382,"""2""","""WarningTheRobot""","""WarningTheRobot""",True,'','',[],'','','',''
1531922854688950252,1,7,"""ROBOT""",,1531922854,685824515,'','','','','',,1531922854,665683675,"""planning for grasping""","""NoNeedHelp""","""NoNeedHelp""",True,'','',[],'','',"""0""","""-2.7671"""
1531922855778111997,1,7,"""OBSERVATION""",,1531922855,774729815,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1531922857093664314,1,7,"""HUMAN""",,1531922857,90181513,"""beginner""","""new_normal""","""NO""",'','',,1531922855,748272136,"""2""","""RobotIsWarned""","""RobotIsWarned""",True,'','',[],'','','',''
1531922857108816938,1,8,"""ROBOT""",,1531922857,105565961,'','','','','',,1531922857,84797843,"""planning for grasping""","""NoFocus""","""TaskHuman""",False,'','',[],'','',"""0""","""-2.7671"""
1531922862304821730,1,8,"""SENSORS""",,1531922862,304701626,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1531922864580999851,1,8,"""OBSERVATION""",,1531922864,577069649,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1531922865886468774,1,8,"""HUMAN""",,1531922865,883289023,"""beginner""","""new_normal""","""NO""",'','',,1531922858,187546101,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1531922865902804753,1,9,"""ROBOT""",,1531922865,900088444,'','','','','',,1531922865,881424406,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""2.33747"""
1531922873557882484,2,0,"""MANAGER""",,1531922873,557688332,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1531922874731001680,2,0,"""ROBOT""",,1531922874,727274886,'','','','','',,1531922874,725955168,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""6""","""2.33747"""
1531922876450377550,2,0,"""OBSERVATION""",,1531922876,447109431,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1531922877708359625,2,0,"""HUMAN""",,1531922877,704745605,"""beginner""","""new_normal""","""NO""",'','',,1531922874,409777906,"""1""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1531922877717896644,2,1,"""ROBOT""",,1531922877,714881617,'','','','','',,1531922877,702840292,"""idle""","""TaskHuman""","""NoFocus""",False,'','',[],'','',"""0""","""0"""
1531922878797791930,2,1,"""OBSERVATION""",,1531922878,794151767,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1531922880072263599,2,1,"""HUMAN""",,1531922880,68836004,"""beginner""","""new_normal""","""NO""",'','',,1531922878,766609292,"""1""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1531922880092180409,2,2,"""ROBOT""",,1531922880,89188892,'','','','','',,1531922880,66474615,"""planning for grasping""","""MayBeTired""","""NeedsToBeReminded""",False,'','',[],'','',"""0""","""0"""
1531922881185041798,2,2,"""OBSERVATION""",,1531922881,181884878,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1531922882464707760,2,2,"""HUMAN""",,1531922882,460817648,"""beginner""","""new_normal""","""NO""",'','',,1531922881,152508406,"""1""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1531922882476950128,2,3,"""ROBOT""",,1531922882,474174602,'','','','','',,1531922882,457673057,"""point to remind""","""NoFocus""","""TaskHuman""",False,'','',[],'','',"""-1""","""-0.941192"""
1531922883563474990,2,3,"""OBSERVATION""",,1531922883,560469006,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1531922884865418216,2,3,"""HUMAN""",,1531922884,862127570,"""beginner""","""new_normal""","""NO""",'','',,1531922883,537658236,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1531922884883264392,2,4,"""ROBOT""",,1531922884,880175679,'','','','','',,1531922884,859898703,"""planning for grasping""","""NoFocus""","""TaskHuman""",False,'','',[],'','',"""0""","""-0.941192"""
1531922892230285378,2,4,"""OBSERVATION""",,1531922892,227432894,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1531922893537851861,2,4,"""HUMAN""",,1531922893,534465228,"""beginner""","""new_normal""","""NO""",'','',,1531922885,944759038,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1531922893554722789,2,5,"""ROBOT""",,1531922893,551859093,'','','','','',,1531922893,531956341,"""planning for grasping""","""NoNeedHelp""","""MayNotBeCapable""",False,'','',[],'','',"""0""","""-0.941192"""
1531922894645394468,2,5,"""OBSERVATION""",,1531922894,642238506,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1531922895949234784,2,5,"""HUMAN""",,1531922895,945715175,"""beginner""","""new_normal""","""NO""",'','',,1531922894,610871590,"""0""","""FailedToGrasp""","""FailedToGrasp""",True,'','',[],'','','',''
1531922895963765957,2,6,"""ROBOT""",,1531922895,960883444,'','','','','',,1531922895,943157061,"""planning for grasping""","""NoNeedHelp""","""NoNeedHelp""",True,'','',[],'','',"""0""","""-0.941192"""
1531922897066653635,2,6,"""OBSERVATION""",,1531922897,63379754,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1531922898368985914,2,6,"""HUMAN""",,1531922898,365561929,"""beginner""","""new_normal""","""NO""",'','',,1531922897,33743972,"""0""","""FailedToGrasp""","""FailedToGrasp""",True,'','',[],'','','',''
1531922898381933894,2,7,"""ROBOT""",,1531922898,378838947,'','','','','',,1531922898,363443739,"""idle""","""NoNeedHelp""","""NoNeedHelp""",True,'','',[],'','',"""0""","""-0.941192"""
1531922899472910866,2,7,"""OBSERVATION""",,1531922899,469869294,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1531922900794218302,2,7,"""HUMAN""",,1531922900,790619355,"""beginner""","""new_normal""","""NO""",'','',,1531922899,440686612,"""0""","""FailedToGrasp""","""FailedToGrasp""",True,'','',[],'','','',''
1531922900808205353,2,8,"""ROBOT""",,1531922900,805210214,'','','','','',,1531922900,788206130,"""planning for grasping""","""MayNotBeCapable""","""NoNeedHelp""",False,'','',[],'','',"""0""","""-0.941192"""
