rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1531922832617759987,1,0,"""MANAGER""",,1531922832,617578385,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1531922862304821730,1,8,"""SENSORS""",,1531922862,304701626,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1531922873557882484,2,0,"""MANAGER""",,1531922873,557688332,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1531922910840157918,3,0,"""MANAGER""",,1531922910,839894132,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1531922926634632661,3,4,"""SENSORS""",,1531922926,634331846,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1531922937840222965,4,0,"""MANAGER""",,1531922937,839952628,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1531922970901174172,4,10,"""SENSORS""",,1531922970,900903817,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1531922982129567001,5,0,"""MANAGER""",,1531922982,129423741,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1531923018874650676,5,11,"""SENSORS""",,1531923018,874510727,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1531923033070931784,6,0,"""MANAGER""",,1531923033,70569779,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1531923052106936192,7,0,"""MANAGER""",,1531923052,106818005,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1531923060548458952,7,2,"""SENSORS""",,1531923060,548245596,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1531923071724353319,8,0,"""MANAGER""",,1531923071,724076858,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1531923089820550758,8,5,"""SENSORS""",,1531923089,820453957,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1531923101027755209,9,0,"""MANAGER""",,1531923101,27598902,"""beginner""","""new_normal""","""NO""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
