task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
1,1,"""OBSERVATION""",,1532994635,234884778,"[True, False, True, False, False, False]",1,0,1,0,0,0
2,1,"""OBSERVATION""",,1532994652,198141344,"[True, False, False, True, False, False]",1,0,0,1,0,0
2,2,"""OBSERVATION""",,1532994657,334622700,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,3,"""OBSERVATION""",,1532994666,598729417,"[True, False, True, False, False, False]",1,0,1,0,0,0
3,1,"""OBSERVATION""",,1532994683,576863790,"[True, False, False, True, False, False]",1,0,0,1,0,0
3,2,"""OBSERVATION""",,1532994685,946660597,"[True, False, False, True, False, False]",1,0,0,1,0,0
3,3,"""OBSERVATION""",,1532994688,336955941,"[True, False, False, True, False, False]",1,0,0,1,0,0
4,1,"""OBSERVATION""",,1532994705,927880841,"[True, False, True, False, False, False]",1,0,1,0,0,0
5,1,"""OBSERVATION""",,1532994723,474411116,"[True, False, True, False, False, False]",1,0,1,0,0,0
6,1,"""OBSERVATION""",,1532994736,627500381,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,2,"""OBSERVATION""",,1532994739,496992211,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,3,"""OBSERVATION""",,1532994741,894487191,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,4,"""OBSERVATION""",,1532994746,341586425,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,5,"""OBSERVATION""",,1532994755,602641389,"[True, False, True, False, False, False]",1,0,1,0,0,0
7,1,"""OBSERVATION""",,1532994773,128951334,"[True, False, True, False, False, False]",1,0,1,0,0,0
8,1,"""OBSERVATION""",,1532994790,673921074,"[True, False, True, False, False, False]",1,0,1,0,0,0
9,1,"""OBSERVATION""",,1532994808,217246424,"[True, False, True, False, False, False]",1,0,1,0,0,0
10,1,"""OBSERVATION""",,1532994825,124193742,"[True, False, False, True, False, False]",1,0,0,1,0,0
10,2,"""OBSERVATION""",,1532994827,493810063,"[True, False, False, True, False, False]",1,0,0,1,0,0
10,3,"""OBSERVATION""",,1532994829,901533849,"[True, False, False, True, False, False]",1,0,0,1,0,0
10,4,"""OBSERVATION""",,1532994832,290146957,"[True, False, False, True, False, False]",1,0,0,1,0,0
10,5,"""OBSERVATION""",,1532994834,695513624,"[True, False, False, True, False, False]",1,0,0,1,0,0
10,6,"""OBSERVATION""",,1532994837,110148178,"[True, False, False, True, False, False]",1,0,0,1,0,0
10,7,"""OBSERVATION""",,1532994839,551083161,"[True, False, False, True, False, False]",1,0,0,1,0,0
11,1,"""OBSERVATION""",,1532994852,969025697,"[True, True, False, False, False, True]",1,1,0,0,0,1
11,2,"""OBSERVATION""",,1532994855,345169510,"[True, True, False, False, False, True]",1,1,0,0,0,1
11,3,"""OBSERVATION""",,1532994857,693168825,"[True, True, False, False, False, True]",1,1,0,0,0,1
11,4,"""OBSERVATION""",,1532994866,976091948,"[True, False, True, False, False, False]",1,0,1,0,0,0
12,1,"""OBSERVATION""",,1532994884,544799094,"[True, False, True, False, False, False]",1,0,1,0,0,0
13,1,"""OBSERVATION""",,1532994902,57500021,"[True, False, True, False, False, False]",1,0,1,0,0,0
14,0,"""OBSERVATION""",,1532994913,831680994,"[True, True, False, False, False, True]",1,1,0,0,0,1
14,1,"""OBSERVATION""",,1532994916,182413444,"[True, True, False, False, False, True]",1,1,0,0,0,1
14,2,"""OBSERVATION""",,1532994919,64810833,"[True, False, False, False, False, True]",1,0,0,0,0,1
14,3,"""OBSERVATION""",,1532994923,475886702,"[True, True, False, False, False, True]",1,1,0,0,0,1
14,4,"""OBSERVATION""",,1532994925,880622475,"[True, True, False, False, False, True]",1,1,0,0,0,1
14,5,"""OBSERVATION""",,1532994928,809524288,"[True, False, False, False, False, True]",1,0,0,0,0,1
14,6,"""OBSERVATION""",,1532994931,226919563,"[True, False, False, False, False, True]",1,0,0,0,0,1
14,7,"""OBSERVATION""",,1532994935,643830424,"[True, True, False, False, False, True]",1,1,0,0,0,1
