rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1532994626583409756,1,0,"""MANAGER""",,1532994626,583250629,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994627750273350,1,0,"""ROBOT""",,1532994627,746381861,'','','','','',,1532994627,744712506,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1532994627770112802,1,0,"""HUMAN""",,1532994627,765815863,"""beginner""","""new_normal""","""NO""",'','',,1532994627,466057836,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1532994627778568416,1,1,"""ROBOT""",,1532994627,776053560,'','','','','',,1532994627,744712506,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1532994632956299814,1,1,"""SENSORS""",,1532994632,955898564,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994635238564733,1,1,"""OBSERVATION""",,1532994635,234884778,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1532994636484239277,1,1,"""HUMAN""",,1532994636,481104390,"""beginner""","""new_normal""","""NO""",'','',,1532994628,840621716,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1532994636492442320,1,2,"""ROBOT""",,1532994636,489612866,'','','','','',,1532994636,469816349,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""5.88"""
1532994644113141139,2,0,"""MANAGER""",,1532994644,112862535,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994645326521117,2,0,"""ROBOT""",,1532994645,322830328,'','','','','',,1532994645,321332294,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""6""","""5.88"""
1532994645334602112,2,0,"""HUMAN""",,1532994645,330558435,"""beginner""","""new_normal""","""NO""",'','',,1532994644,986476743,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1532994645343375342,2,1,"""ROBOT""",,1532994645,340582271,'','','','','',,1532994645,321332294,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1532994652201604189,2,1,"""OBSERVATION""",,1532994652,198141344,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1532994653487093527,2,1,"""HUMAN""",,1532994653,483554407,"""beginner""","""new_normal""","""NO""",'','',,1532994646,407387071,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1532994653501455890,2,2,"""ROBOT""",,1532994653,498040639,'','','','','',,1532994653,472429931,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,'','',[],'','',"""0""","""0"""
1532994657337664083,2,2,"""OBSERVATION""",,1532994657,334622700,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','',''
1532994658630696949,2,2,"""HUMAN""",,1532994658,627091939,"""beginner""","""new_normal""","""NO""",'','',,1532994654,562175144,"""1""","""FailedToGrasp""","""FailedToGrasp""",True,'','',[],'','','',''
1532994658645085351,2,3,"""ROBOT""",,1532994658,641877181,'','','','','',,1532994658,609437298,"""grasp""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""-1""","""-0.9604"""
1532994664323197659,2,3,"""SENSORS""",,1532994664,322858111,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994666601694890,2,3,"""OBSERVATION""",,1532994666,598729417,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1532994667907107069,2,3,"""HUMAN""",,1532994667,903962232,"""beginner""","""new_normal""","""NO""",'','',,1532994659,705742541,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1532994667924773976,2,4,"""ROBOT""",,1532994667,921562296,'','','','','',,1532994667,892689083,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""4.68675"""
1532994675532730039,3,0,"""MANAGER""",,1532994675,524876674,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
