rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1532994626583409756,1,0,"""MANAGER""",,1532994626,583250629,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994632956299814,1,1,"""SENSORS""",,1532994632,955898564,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994644113141139,2,0,"""MANAGER""",,1532994644,112862535,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994664323197659,2,3,"""SENSORS""",,1532994664,322858111,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994675532730039,3,0,"""MANAGER""",,1532994675,524876674,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994697272639646,4,0,"""MANAGER""",,1532994697,272287474,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994703651900749,4,1,"""SENSORS""",,1532994703,651624713,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994714823799307,5,0,"""MANAGER""",,1532994714,823232727,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994721197918858,5,1,"""SENSORS""",,1532994721,197652093,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994732372475443,6,0,"""MANAGER""",,1532994732,372245055,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994753323599709,6,5,"""SENSORS""",,1532994753,323299196,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994764482489633,7,0,"""MANAGER""",,1532994764,482248198,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994770856012079,7,1,"""SENSORS""",,1532994770,855816682,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994782032484161,8,0,"""MANAGER""",,1532994782,32346156,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994788398626857,8,1,"""SENSORS""",,1532994788,398545043,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994799553684667,9,0,"""MANAGER""",,1532994799,553491007,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994805943145096,9,1,"""SENSORS""",,1532994805,942855139,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1532994817105804179,10,0,"""MANAGER""",,1532994817,105308966,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994848492734816,11,0,"""MANAGER""",,1532994848,492486627,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1532994864696877377,11,4,"""SENSORS""",,1532994864,696535618,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
