task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
1,1,"""OBSERVATION""",,1533210050,504114982,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,2,"""OBSERVATION""",,1533210059,234822562,"[True, False, True, False, False, False]",1,0,1,0,0,0
2,1,"""OBSERVATION""",,1533210070,426080163,"[True, False, False, False, False, True]",1,0,0,0,0,1
2,2,"""OBSERVATION""",,1533210079,144618591,"[True, False, True, False, False, False]",1,0,1,0,0,0
3,1,"""OBSERVATION""",,1533210096,880056068,"[True, False, True, False, False, False]",1,0,1,0,0,0
4,1,"""OBSERVATION""",,1533210108,29903736,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,2,"""OBSERVATION""",,1533210116,183876626,"[True, False, False, True, False, False]",1,0,0,1,0,0
4,3,"""OBSERVATION""",,1533210118,589344493,"[True, False, False, True, False, False]",1,0,0,1,0,0
4,4,"""OBSERVATION""",,1533210121,18088043,"[True, False, False, True, False, False]",1,0,0,1,0,0
5,1,"""OBSERVATION""",,1533210132,447284007,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,2,"""OBSERVATION""",,1533210141,202232867,"[True, False, True, False, False, False]",1,0,1,0,0,0
6,1,"""OBSERVATION""",,1533210152,410467744,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,2,"""OBSERVATION""",,1533210161,167279109,"[True, False, True, False, False, False]",1,0,1,0,0,0
7,1,"""OBSERVATION""",,1533210178,755828560,"[True, False, True, False, False, False]",1,0,1,0,0,0
8,1,"""OBSERVATION""",,1533210189,969602176,"[True, False, False, False, True, False]",1,0,0,0,1,0
8,2,"""OBSERVATION""",,1533210198,895629462,"[True, False, True, False, False, False]",1,0,1,0,0,0
9,1,"""OBSERVATION""",,1533210210,85711004,"[True, False, False, False, True, False]",1,0,0,0,1,0
9,2,"""OBSERVATION""",,1533210212,673264343,"[True, False, False, False, False, True]",1,0,0,0,0,1
9,3,"""OBSERVATION""",,1533210215,58873652,"[True, False, False, False, True, False]",1,0,0,0,1,0
9,4,"""OBSERVATION""",,1533210223,451658733,"[True, False, False, True, False, False]",1,0,0,1,0,0
9,5,"""OBSERVATION""",,1533210225,865691078,"[True, False, False, True, False, False]",1,0,0,1,0,0
9,6,"""OBSERVATION""",,1533210228,233824174,"[True, False, False, True, False, False]",1,0,0,1,0,0
10,1,"""OBSERVATION""",,1533210239,667883425,"[True, False, False, False, False, True]",1,0,0,0,0,1
10,2,"""OBSERVATION""",,1533210248,412670326,"[True, False, True, False, False, False]",1,0,1,0,0,0
11,1,"""OBSERVATION""",,1533210265,970116369,"[True, False, True, False, False, False]",1,0,1,0,0,0
12,1,"""OBSERVATION""",,1533210277,138543247,"[True, False, False, False, False, True]",1,0,0,0,0,1
12,2,"""OBSERVATION""",,1533210279,531760675,"[True, False, False, False, False, True]",1,0,0,0,0,1
12,3,"""OBSERVATION""",,1533210288,293145348,"[True, False, True, False, False, False]",1,0,1,0,0,0
13,1,"""OBSERVATION""",,1533210305,892121773,"[True, False, True, False, False, False]",1,0,1,0,0,0
14,1,"""OBSERVATION""",,1533210317,56933106,"[True, False, False, False, False, True]",1,0,0,0,0,1
14,2,"""OBSERVATION""",,1533210319,426125872,"[True, False, False, False, False, True]",1,0,0,0,0,1
14,3,"""OBSERVATION""",,1533210328,170089777,"[True, False, True, False, False, False]",1,0,1,0,0,0
15,1,"""OBSERVATION""",,1533210345,128466130,"[True, False, False, True, False, False]",1,0,0,1,0,0
15,2,"""OBSERVATION""",,1533210348,271530197,"[True, False, False, False, False, True]",1,0,0,0,0,1
15,3,"""OBSERVATION""",,1533210357,32776072,"[True, False, True, False, False, False]",1,0,1,0,0,0
16,1,"""OBSERVATION""",,1533210368,255885903,"[True, False, False, False, False, True]",1,0,0,0,0,1
16,2,"""OBSERVATION""",,1533210376,974155494,"[True, False, True, False, False, False]",1,0,1,0,0,0
17,1,"""OBSERVATION""",,1533210393,948606557,"[True, False, False, True, False, False]",1,0,0,1,0,0
17,2,"""OBSERVATION""",,1533210397,98409897,"[True, False, False, False, False, True]",1,0,0,0,0,1
17,3,"""OBSERVATION""",,1533210399,528446768,"[True, False, False, False, True, False]",1,0,0,0,1,0
17,4,"""OBSERVATION""",,1533210408,545501518,"[True, False, True, False, False, False]",1,0,1,0,0,0
18,1,"""OBSERVATION""",,1533210419,761995837,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,2,"""OBSERVATION""",,1533210428,492796275,"[True, False, True, False, False, False]",1,0,1,0,0,0
19,1,"""OBSERVATION""",,1533210439,664986545,"[True, False, False, False, False, True]",1,0,0,0,0,1
19,2,"""OBSERVATION""",,1533210442,17407559,"[True, False, False, False, True, False]",1,0,0,0,1,0
19,3,"""OBSERVATION""",,1533210444,452206524,"[True, False, False, False, True, False]",1,0,0,0,1,0
19,4,"""OBSERVATION""",,1533210453,430888482,"[True, False, True, False, False, False]",1,0,1,0,0,0
20,1,"""OBSERVATION""",,1533210471,38392758,"[True, False, True, False, False, False]",1,0,1,0,0,0
21,1,"""OBSERVATION""",,1533210487,935886495,"[True, False, False, True, False, False]",1,0,0,1,0,0
21,2,"""OBSERVATION""",,1533210491,60590137,"[True, False, False, False, False, True]",1,0,0,0,0,1
21,3,"""OBSERVATION""",,1533210499,217449613,"[True, False, False, True, False, False]",1,0,0,1,0,0
21,4,"""OBSERVATION""",,1533210502,380938127,"[True, False, False, False, False, True]",1,0,0,0,0,1
21,5,"""OBSERVATION""",,1533210510,590402854,"[True, False, False, True, False, False]",1,0,0,1,0,0
21,6,"""OBSERVATION""",,1533210513,760518695,"[True, False, False, False, False, True]",1,0,0,0,0,1
21,7,"""OBSERVATION""",,1533210521,942649466,"[True, False, False, True, False, False]",1,0,0,1,0,0
22,1,"""OBSERVATION""",,1533210533,135738152,"[True, False, False, False, False, True]",1,0,0,0,0,1
22,2,"""OBSERVATION""",,1533210535,497052990,"[True, False, False, False, False, True]",1,0,0,0,0,1
22,3,"""OBSERVATION""",,1533210537,887008455,"[True, False, False, False, False, True]",1,0,0,0,0,1
22,4,"""OBSERVATION""",,1533210546,657145611,"[True, False, True, False, False, False]",1,0,1,0,0,0
23,1,"""OBSERVATION""",,1533210563,627296252,"[True, False, False, True, False, False]",1,0,0,1,0,0
23,2,"""OBSERVATION""",,1533210566,740317243,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,3,"""OBSERVATION""",,1533210569,135827846,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,4,"""OBSERVATION""",,1533210571,532264867,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,5,"""OBSERVATION""",,1533210573,928039558,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,6,"""OBSERVATION""",,1533210582,95783452,"[True, False, False, True, False, False]",1,0,0,1,0,0
23,7,"""OBSERVATION""",,1533210585,270580700,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,8,"""OBSERVATION""",,1533210587,686783485,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,9,"""OBSERVATION""",,1533210590,112001703,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,10,"""OBSERVATION""",,1533210592,527267792,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,11,"""OBSERVATION""",,1533210598,677762036,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,1,"""OBSERVATION""",,1533210609,148722347,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,2,"""OBSERVATION""",,1533210611,512311089,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,3,"""OBSERVATION""",,1533210613,898863627,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,4,"""OBSERVATION""",,1533210616,305547073,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,5,"""OBSERVATION""",,1533210624,470587069,"[True, False, False, True, False, False]",1,0,0,1,0,0
24,6,"""OBSERVATION""",,1533210629,635336416,"[True, True, False, False, False, True]",1,1,0,0,0,1
24,7,"""OBSERVATION""",,1533210632,561837719,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,8,"""OBSERVATION""",,1533210634,995743009,"[True, False, False, False, True, False]",1,0,0,0,1,0
24,9,"""OBSERVATION""",,1533210637,616778587,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,10,"""OBSERVATION""",,1533210640,56596011,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,11,"""OBSERVATION""",,1533210648,254095078,"[True, False, False, True, False, False]",1,0,0,1,0,0
24,12,"""OBSERVATION""",,1533210652,52895919,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,1,"""OBSERVATION""",,1533210662,559775505,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,2,"""OBSERVATION""",,1533210664,928032709,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,3,"""OBSERVATION""",,1533210667,343637871,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,4,"""OBSERVATION""",,1533210671,736354091,"[True, True, False, False, False, True]",1,1,0,0,0,1
25,5,"""OBSERVATION""",,1533210674,652819978,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,6,"""OBSERVATION""",,1533210677,88632343,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,7,"""OBSERVATION""",,1533210681,485174085,"[True, True, False, False, False, True]",1,1,0,0,0,1
25,8,"""OBSERVATION""",,1533210683,920890484,"[True, True, False, False, False, True]",1,1,0,0,0,1
25,9,"""OBSERVATION""",,1533210686,336898173,"[True, True, False, False, False, True]",1,1,0,0,0,1
25,10,"""OBSERVATION""",,1533210688,777310865,"[True, False, False, False, True, False]",1,0,0,0,1,0
25,11,"""OBSERVATION""",,1533210691,391398320,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,12,"""OBSERVATION""",,1533210693,823853547,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,13,"""OBSERVATION""",,1533210696,242430685,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,14,"""OBSERVATION""",,1533210698,652234547,"[True, False, False, False, False, True]",1,0,0,0,0,1
26,1,"""OBSERVATION""",,1533210712,790875923,"[True, False, False, False, False, True]",1,0,0,0,0,1
26,2,"""OBSERVATION""",,1533210715,159242088,"[True, False, False, False, False, True]",1,0,0,0,0,1
26,3,"""OBSERVATION""",,1533210717,525693626,"[True, False, False, False, False, True]",1,0,0,0,0,1
