rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533210048242743261,1,0,"""MANAGER""",,1533210048,242514575,"""beginner""","""new_normal""","""YES""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533210049411269669,1,0,"""ROBOT""",,1533210049,407427771,'','','','','',,1533210049,405919596,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533210049427440560,1,0,"""HUMAN""",,1533210049,423673779,"""beginner""","""new_normal""","""YES""",'','',,1533210049,91750936,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533210049435886800,1,1,"""ROBOT""",,1533210049,433354553,'','','','','',,1533210049,405919596,"""idle""","""TaskHuman""","""MayBeTired""",False,'','',[],'','',"""0""","""0"""
1533210050506739676,1,1,"""OBSERVATION""",,1533210050,504114982,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533210051766191835,1,1,"""HUMAN""",,1533210051,763120661,"""beginner""","""new_normal""","""YES""",'','',,1533210050,485367713,"""0""","""Tired""","""Tired""",True,'','',[],'','','',''
1533210051781157670,1,2,"""ROBOT""",,1533210051,777877097,'','','','','',,1533210051,752228614,"""planning for grasping""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533210056957617241,1,2,"""SENSORS""",,1533210056,957272165,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210059237783474,1,2,"""OBSERVATION""",,1533210059,234822562,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1533210060508102732,1,2,"""HUMAN""",,1533210060,504726867,"""beginner""","""new_normal""","""YES""",'','',,1533210052,842246178,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533210060517208560,1,3,"""ROBOT""",,1533210060,514347772,'','','','','',,1533210060,490126049,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""5.7624"""
