rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533210048242743261,1,0,"""MANAGER""",,1533210048,242514575,"""beginner""","""new_normal""","""YES""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533210056957617241,1,2,"""SENSORS""",,1533210056,957272165,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210068148735317,2,0,"""MANAGER""",,1533210068,148518060,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210076865497631,2,2,"""SENSORS""",,1533210076,865216082,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210088028291481,3,0,"""MANAGER""",,1533210088,26591391,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210094603365014,3,1,"""SENSORS""",,1533210094,603094840,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210105747936938,4,0,"""MANAGER""",,1533210105,747644915,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210129974682084,5,0,"""MANAGER""",,1533210129,974406723,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210138923408659,5,2,"""SENSORS""",,1533210138,923102597,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210150124660551,6,0,"""MANAGER""",,1533210150,124539694,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210158888904355,6,2,"""SENSORS""",,1533210158,888663319,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210170105485472,7,0,"""MANAGER""",,1533210170,105206747,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210176476783917,7,1,"""SENSORS""",,1533210176,476586151,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210187651291502,8,0,"""MANAGER""",,1533210187,651042945,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210196616849481,8,2,"""SENSORS""",,1533210196,616300706,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210207796667008,9,0,"""MANAGER""",,1533210207,796356751,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210237189220497,10,0,"""MANAGER""",,1533210237,189049973,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210246134677391,10,2,"""SENSORS""",,1533210246,134338329,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210257310901134,11,0,"""MANAGER""",,1533210257,308927256,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""expert_tired_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210263692424420,11,1,"""SENSORS""",,1533210263,692249908,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210274852168094,12,0,"""MANAGER""",,1533210274,852039158,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210286013746365,12,3,"""SENSORS""",,1533210286,13470800,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210297219167332,13,0,"""MANAGER""",,1533210297,218481336,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210303615370946,13,1,"""SENSORS""",,1533210303,615121094,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210314782299746,14,0,"""MANAGER""",,1533210314,781893859,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210325898905565,14,3,"""SENSORS""",,1533210325,898567936,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210337082872001,15,0,"""MANAGER""",,1533210337,82723770,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210354754839770,15,3,"""SENSORS""",,1533210354,754522864,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210365972435919,16,0,"""MANAGER""",,1533210365,972216846,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210374698724840,16,2,"""SENSORS""",,1533210374,698380125,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210385902390970,17,0,"""MANAGER""",,1533210385,902191303,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210406266515742,17,4,"""SENSORS""",,1533210406,266314923,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210417476220930,18,0,"""MANAGER""",,1533210417,476083671,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210426212861176,18,2,"""SENSORS""",,1533210426,212125204,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210437382737128,19,0,"""MANAGER""",,1533210437,382582523,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210451150998432,19,4,"""SENSORS""",,1533210451,150757239,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210462376278633,20,0,"""MANAGER""",,1533210462,376022651,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210468762544479,20,1,"""SENSORS""",,1533210468,762240017,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210479917864057,21,0,"""MANAGER""",,1533210479,917595461,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""humanModel_v2.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210521927293857,21,7,"""SENSORS""",,1533210521,926972952,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210530906071954,22,0,"""MANAGER""",,1533210530,905939407,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210544380503637,22,4,"""SENSORS""",,1533210544,379747237,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210555583740559,23,0,"""MANAGER""",,1533210555,583595422,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210597591286544,23,11,"""SENSORS""",,1533210597,590978466,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210606865244011,24,0,"""MANAGER""",,1533210606,865117374,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210653225531330,24,12,"""SENSORS""",,1533210653,224913534,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210660265506179,25,0,"""MANAGER""",,1533210660,265230053,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210702273127372,25,14,"""SENSORS""",,1533210702,272814758,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210710508146620,26,0,"""MANAGER""",,1533210710,507966561,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210752518134645,26,13,"""SENSORS""",,1533210752,517870699,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210762825418064,27,0,"""MANAGER""",,1533210762,825234986,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210804828819226,27,13,"""SENSORS""",,1533210804,828717000,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210814117293168,28,0,"""MANAGER""",,1533210814,117000237,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210825254957781,28,3,"""SENSORS""",,1533210825,254654419,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533210836404307433,29,0,"""MANAGER""",,1533210836,404191752,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210878412978696,29,15,"""SENSORS""",,1533210878,412666416,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210891622559842,30,0,"""MANAGER""",,1533210891,622417812,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210933638869793,30,11,"""SENSORS""",,1533210933,638530029,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210942605363790,31,0,"""MANAGER""",,1533210942,604906295,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""beginner_non_tired_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533210984612744778,31,16,"""SENSORS""",,1533210984,612391378,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533210992844390134,32,0,"""MANAGER""",,1533210992,844062162,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533211034850859536,32,13,"""SENSORS""",,1533211034,850541459,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533211044670438034,33,0,"""MANAGER""",,1533211044,670267660,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533211087051035798,34,0,"""MANAGER""",,1533211087,50496385,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533211087051126585,34,0,"""SENSORS""",,1533211087,50636637,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533211098265465859,35,0,"""MANAGER""",,1533211098,265172941,"""beginner""","""new_normal""","""YES""","""proactive_robot_pomdp_beginner.pomdpx""","""distracted_non_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533211104659199291,35,1,"""SENSORS""",,1533211104,658888990,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
