task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1533210048,242514575,1533210056,957272165,8.714757442474365,"""SUCCESS""","""human"""
2,1533210068,148518060,1533210076,865216082,8.716697931289673,"""SUCCESS""","""human"""
3,1533210088,26591391,1533210094,603094840,6.337180852890015,"""SUCCESS""","""human"""
5,1533210129,974406723,1533210138,923102597,8.94869589805603,"""SUCCESS""","""human"""
6,1533210150,124539694,1533210158,888663319,8.764123678207397,"""SUCCESS""","""human"""
7,1533210170,105206747,1533210176,476586151,6.371379375457764,"""SUCCESS""","""human"""
8,1533210187,651042945,1533210196,616300706,8.9652578830719,"""SUCCESS""","""human"""
10,1533210237,189049973,1533210246,134338329,8.94528841972351,"""SUCCESS""","""human"""
11,1533210257,308927256,1533210263,692249908,6.383322715759277,"""SUCCESS""","""human"""
12,1533210274,852039158,1533210286,13470800,11.282668828964233,"""SUCCESS""","""human"""
13,1533210297,218481336,1533210303,615121094,6.396639823913574,"""SUCCESS""","""human"""
14,1533210314,781893859,1533210325,898567936,11.116673946380615,"""SUCCESS""","""human"""
15,1533210337,82723770,1533210354,754522864,16.927285194396973,"""SUCCESS""","""human"""
16,1533210365,972216846,1533210374,698380125,8.726163387298584,"""SUCCESS""","""human"""
17,1533210385,902191303,1533210406,266314923,20.364123582839966,"""SUCCESS""","""human"""
18,1533210417,476083671,1533210426,212125204,8.73604154586792,"""SUCCESS""","""human"""
19,1533210437,382582523,1533210451,150757239,13.768174886703491,"""SUCCESS""","""human"""
20,1533210462,376022651,1533210468,762240017,6.386217355728149,"""SUCCESS""","""human"""
21,1533210479,917595461,1533210521,926972952,42.00937747955322,"""FAIL""",''
22,1533210530,905939407,1533210544,379747237,13.47380781173706,"""SUCCESS""","""human"""
23,1533210555,583595422,1533210597,590978466,42.00738286972046,"""FAIL""",''
24,1533210606,865117374,1533210653,224913534,46.35979628562927,"""FAIL""",''
25,1533210660,265230053,1533210702,272814758,42.00758481025696,"""FAIL""",''
26,1533210710,507966561,1533210752,517870699,42.00990414619446,"""FAIL""",''
27,1533210762,825234986,1533210804,828717000,42.00348210334778,"""FAIL""",''
28,1533210814,117000237,1533210825,254654419,11.137654066085815,"""SUCCESS""","""human"""
29,1533210836,404191752,1533210878,412666416,42.008474588394165,"""FAIL""",''
30,1533210891,622417812,1533210933,638530029,42.016112089157104,"""FAIL""",''
31,1533210942,604906295,1533210984,612391378,42.007485151290894,"""FAIL""",''
32,1533210992,844062162,1533211034,850541459,42.006479263305664,"""FAIL""",''
34,1533211087,50496385,1533211087,50636637,0.0014023780822753906,"""FAIL""",''
35,1533211098,265172941,1533211104,658888990,6.393716096878052,"""SUCCESS""","""human"""
36,1533211115,827516856,1533211124,553899406,8.726382493972778,"""SUCCESS""","""human"""
37,1533211135,727042558,1533211142,115809718,6.3887670040130615,"""SUCCESS""","""human"""
38,1533211153,276080219,1533211195,282338294,42.00625824928284,"""FAIL""",''
39,1533211205,55784770,1533211211,452456276,5.894608497619629,"""SUCCESS""","""human"""
40,1533211222,641219056,1533211229,30981793,6.668598890304565,"""SUCCESS""","""human"""
41,1533211240,189639745,1533211246,568318239,6.378678321838379,"""SUCCESS""","""human"""
42,1533211257,734531110,1533211287,123226720,29.38869547843933,"""SUCCESS""","""human"""
43,1533211298,352157494,1533211312,32571,13.973552465438843,"""SUCCESS""","""human"""
44,1533211323,237321920,1533211365,244457051,42.00713515281677,"""FAIL""",''
45,1533211375,581644257,1533211396,633385690,21.051741361618042,"""SUCCESS""","""human"""
46,1533211407,866002678,1533211432,884926906,25.018924236297607,"""SUCCESS""","""human"""
47,1533211444,92214528,1533211486,100250445,41.1781051158905,"""FAIL""",''
48,1533211499,304992477,1533211505,672356233,6.367363691329956,"""SUCCESS""","""human"""
49,1533211516,845918476,1533211558,853740770,42.00782227516174,"""FAIL""",''
50,1533211569,428516328,1533211575,794394222,6.365877866744995,"""SUCCESS""","""human"""
51,1533211586,949690927,1533211593,348971290,6.399280548095703,"""SUCCESS""","""human"""
52,1533211604,524046980,1533211610,929437904,6.405390977859497,"""SUCCESS""","""human"""
53,1533211622,94915594,1533211631,57892268,8.629766702651978,"""SUCCESS""","""human"""
54,1533211642,214836813,1533211648,648842709,6.434005975723267,"""SUCCESS""","""human"""
55,1533211659,835355849,1533211668,580545107,8.745189428329468,"""SUCCESS""","""human"""
56,1533211679,746768414,1533211688,526531755,8.779763221740723,"""SUCCESS""","""human"""
57,1533211699,731023605,1533211708,504123738,8.773100137710571,"""SUCCESS""","""human"""
58,1533211719,729864107,1533211728,523534691,8.793670654296875,"""SUCCESS""","""human"""
59,1533211739,736491490,1533211748,708954854,8.972463369369507,"""SUCCESS""","""human"""
60,1533211759,844718407,1533211794,291586078,34.44686770439148,"""SUCCESS""","""human"""
61,1533211809,481085460,1533211818,235605207,8.754519701004028,"""SUCCESS""","""human"""
62,1533211829,394053869,1533211838,181651909,8.787597894668579,"""SUCCESS""","""human"""
63,1533211849,396784060,1533211860,553741823,11.156957864761353,"""SUCCESS""","""human"""
64,1533211871,762473449,1533211878,141319307,6.378845930099487,"""SUCCESS""","""human"""
65,1533211889,358628557,1533211895,754275320,6.395646810531616,"""SUCCESS""","""human"""
66,1533211906,934757862,1533211915,671116279,8.736358404159546,"""SUCCESS""","""human"""
67,1533211926,868425540,1533211933,275695650,6.4072699546813965,"""SUCCESS""","""human"""
68,1533211944,463950037,1533211953,434385608,8.970435619354248,"""SUCCESS""","""human"""
69,1533211964,624556408,1533211970,997683274,6.373126983642578,"""SUCCESS""","""human"""
70,1533211982,184095651,1533211990,934381106,8.750285387039185,"""SUCCESS""","""human"""
