task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
1,1,"""OBSERVATION""",,1533226348,219831842,"[True, False, False, False, True, False]",1,0,0,0,1,0
1,2,"""OBSERVATION""",,1533226357,149455616,"[True, False, True, False, False, False]",1,0,1,0,0,0
2,1,"""OBSERVATION""",,1533226374,785508873,"[True, False, True, False, False, False]",1,0,1,0,0,0
3,1,"""OBSERVATION""",,1533226388,54636308,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,2,"""OBSERVATION""",,1533226390,431926161,"[True, False, False, False, False, False]",1,0,0,0,0,0
3,3,"""OBSERVATION""",,1533226392,780625482,"[False, False, False, False, False, False]",0,0,0,0,0,0
3,4,"""OBSERVATION""",,1533226395,181576497,"[False, False, False, False, False, False]",0,0,0,0,0,0
3,5,"""OBSERVATION""",,1533226397,562416876,"[False, False, False, False, False, False]",0,0,0,0,0,0
3,6,"""OBSERVATION""",,1533226399,974182570,"[False, False, False, False, False, False]",0,0,0,0,0,0
3,7,"""OBSERVATION""",,1533226402,385993655,"[False, False, False, False, False, False]",0,0,0,0,0,0
3,8,"""OBSERVATION""",,1533226404,787475317,"[False, False, False, False, False, False]",0,0,0,0,0,0
3,9,"""OBSERVATION""",,1533226407,176644681,"[False, False, False, False, False, False]",0,0,0,0,0,0
3,10,"""OBSERVATION""",,1533226416,608826186,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,11,"""OBSERVATION""",,1533226419,523826486,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,12,"""OBSERVATION""",,1533226421,931344948,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,1,"""OBSERVATION""",,1533226442,749226907,"[True, False, True, False, False, False]",1,0,1,0,0,0
5,1,"""OBSERVATION""",,1533226454,235012254,"[True, False, False, False, False, True]",1,0,0,0,0,1
5,2,"""OBSERVATION""",,1533226463,7065781,"[True, False, True, False, False, False]",1,0,1,0,0,0
6,1,"""OBSERVATION""",,1533226480,706758855,"[True, False, True, False, False, False]",1,0,1,0,0,0
7,1,"""OBSERVATION""",,1533226494,11361647,"[True, True, False, False, False, True]",1,1,0,0,0,1
7,2,"""OBSERVATION""",,1533226496,372250260,"[True, False, False, False, False, False]",1,0,0,0,0,0
7,3,"""OBSERVATION""",,1533226498,756555417,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,4,"""OBSERVATION""",,1533226501,169018845,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,5,"""OBSERVATION""",,1533226503,562482874,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,6,"""OBSERVATION""",,1533226505,982832145,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,7,"""OBSERVATION""",,1533226508,405595907,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,8,"""OBSERVATION""",,1533226510,796357539,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,9,"""OBSERVATION""",,1533226513,224495315,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,10,"""OBSERVATION""",,1533226515,630375081,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,11,"""OBSERVATION""",,1533226518,57683814,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,12,"""OBSERVATION""",,1533226520,463762655,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,13,"""OBSERVATION""",,1533226522,870834612,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,14,"""OBSERVATION""",,1533226525,276145968,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,15,"""OBSERVATION""",,1533226527,709662415,"[False, False, False, False, False, False]",0,0,0,0,0,0
7,16,"""OBSERVATION""",,1533226532,835702824,"[False, False, False, False, False, False]",0,0,0,0,0,0
8,1,"""OBSERVATION""",,1533226548,599943735,"[True, False, False, False, False, True]",1,0,0,0,0,1
8,2,"""OBSERVATION""",,1533226550,944462914,"[True, False, False, False, False, True]",1,0,0,0,0,1
8,3,"""OBSERVATION""",,1533226559,921185793,"[True, False, True, False, False, False]",1,0,1,0,0,0
9,1,"""OBSERVATION""",,1533226571,234182545,"[True, False, False, False, False, True]",1,0,0,0,0,1
9,2,"""OBSERVATION""",,1533226579,989786937,"[True, False, True, False, False, False]",1,0,1,0,0,0
10,1,"""OBSERVATION""",,1533226591,336063245,"[True, False, False, False, False, True]",1,0,0,0,0,1
10,2,"""OBSERVATION""",,1533226600,73204149,"[True, False, True, False, False, False]",1,0,1,0,0,0
11,1,"""OBSERVATION""",,1533226611,518830417,"[True, False, False, False, False, True]",1,0,0,0,0,1
11,2,"""OBSERVATION""",,1533226613,866279281,"[True, False, False, False, True, False]",1,0,0,0,1,0
11,3,"""OBSERVATION""",,1533226622,841427145,"[True, False, True, False, False, False]",1,0,1,0,0,0
12,1,"""OBSERVATION""",,1533226640,529635101,"[True, False, True, False, False, False]",1,0,1,0,0,0
13,1,"""OBSERVATION""",,1533226651,804750761,"[True, False, False, False, False, True]",1,0,0,0,0,1
13,2,"""OBSERVATION""",,1533226660,577788143,"[True, False, True, False, False, False]",1,0,1,0,0,0
14,1,"""OBSERVATION""",,1533226671,902134637,"[True, False, False, False, False, True]",1,0,0,0,0,1
14,2,"""OBSERVATION""",,1533226680,647790319,"[True, False, True, False, False, False]",1,0,1,0,0,0
15,1,"""OBSERVATION""",,1533226698,293401359,"[True, False, True, False, False, False]",1,0,1,0,0,0
16,1,"""OBSERVATION""",,1533226709,583804699,"[True, False, False, False, True, False]",1,0,0,0,1,0
16,2,"""OBSERVATION""",,1533226712,133502939,"[True, False, False, False, False, True]",1,0,0,0,0,1
16,3,"""OBSERVATION""",,1533226720,279818165,"[True, False, False, True, False, False]",1,0,0,1,0,0
16,4,"""OBSERVATION""",,1533226723,428449296,"[True, False, False, False, False, True]",1,0,0,0,0,1
16,5,"""OBSERVATION""",,1533226732,207556952,"[True, False, True, False, False, False]",1,0,1,0,0,0
17,1,"""OBSERVATION""",,1533226749,879706687,"[True, False, True, False, False, False]",1,0,1,0,0,0
