task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
1,1,"""OBSERVATION""",,1533391819,724064352,"[True, False, False, True, False, False]",1,0,0,1,0,0
1,2,"""OBSERVATION""",,1533391822,856370224,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,3,"""OBSERVATION""",,1533391831,56771403,"[True, False, False, True, False, False]",1,0,0,1,0,0
1,4,"""OBSERVATION""",,1533391834,236097443,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,5,"""OBSERVATION""",,1533391836,687138040,"[True, False, False, False, False, True]",1,0,0,0,0,1
1,6,"""OBSERVATION""",,1533391845,515553316,"[True, False, True, False, False, False]",1,0,1,0,0,0
2,0,"""OBSERVATION""",,1533391857,341365570,"[True, True, False, False, False, True]",1,1,0,0,0,1
2,1,"""OBSERVATION""",,1533391866,603796085,"[True, False, True, False, False, False]",1,0,1,0,0,0
3,1,"""OBSERVATION""",,1533391879,756058071,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,2,"""OBSERVATION""",,1533391882,605769053,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,3,"""OBSERVATION""",,1533391884,971966583,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,4,"""OBSERVATION""",,1533391889,345323777,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,5,"""OBSERVATION""",,1533391891,730574230,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,6,"""OBSERVATION""",,1533391894,131459588,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,7,"""OBSERVATION""",,1533391896,556580352,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,8,"""OBSERVATION""",,1533391899,488216137,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,9,"""OBSERVATION""",,1533391901,913151412,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,10,"""OBSERVATION""",,1533391904,322183097,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,11,"""OBSERVATION""",,1533391908,762843145,"[True, True, False, False, False, True]",1,1,0,0,0,1
3,12,"""OBSERVATION""",,1533391911,721582358,"[True, False, False, False, False, True]",1,0,0,0,0,1
3,13,"""OBSERVATION""",,1533391914,132045746,"[True, False, False, False, False, True]",1,0,0,0,0,1
4,1,"""OBSERVATION""",,1533391934,346223550,"[True, False, True, False, False, False]",1,0,1,0,0,0
5,1,"""OBSERVATION""",,1533391951,835347366,"[True, False, True, False, False, False]",1,0,1,0,0,0
6,0,"""OBSERVATION""",,1533391963,623141969,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,1,"""OBSERVATION""",,1533391965,987292423,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,2,"""OBSERVATION""",,1533391968,891729824,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,3,"""OBSERVATION""",,1533391973,328383033,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,4,"""OBSERVATION""",,1533391975,731391379,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,5,"""OBSERVATION""",,1533391978,145711787,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,6,"""OBSERVATION""",,1533391981,74759146,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,7,"""OBSERVATION""",,1533391985,511696992,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,8,"""OBSERVATION""",,1533391987,943766469,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,9,"""OBSERVATION""",,1533391990,863591865,"[True, False, False, False, False, True]",1,0,0,0,0,1
6,10,"""OBSERVATION""",,1533391995,306748739,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,11,"""OBSERVATION""",,1533391997,694067414,"[True, True, False, False, False, True]",1,1,0,0,0,1
6,12,"""OBSERVATION""",,1533392005,87927847,"[True, False, False, False, False, True]",1,0,0,0,0,1
7,1,"""OBSERVATION""",,1533392021,918096147,"[True, False, True, False, False, False]",1,0,1,0,0,0
8,0,"""OBSERVATION""",,1533392033,700367626,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,1,"""OBSERVATION""",,1533392036,57117395,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,2,"""OBSERVATION""",,1533392038,429719077,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,3,"""OBSERVATION""",,1533392040,818305855,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,4,"""OBSERVATION""",,1533392043,227180172,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,5,"""OBSERVATION""",,1533392045,665514109,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,6,"""OBSERVATION""",,1533392048,613565596,"[True, False, False, False, False, True]",1,0,0,0,0,1
8,7,"""OBSERVATION""",,1533392051,19675624,"[True, False, False, False, False, True]",1,0,0,0,0,1
8,8,"""OBSERVATION""",,1533392055,455640624,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,9,"""OBSERVATION""",,1533392058,409985819,"[True, False, False, False, False, True]",1,0,0,0,0,1
8,10,"""OBSERVATION""",,1533392062,819658224,"[True, True, False, False, False, True]",1,1,0,0,0,1
8,11,"""OBSERVATION""",,1533392072,130314268,"[True, False, True, False, False, False]",1,0,1,0,0,0
9,1,"""OBSERVATION""",,1533392086,25199150,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,2,"""OBSERVATION""",,1533392088,392706635,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,3,"""OBSERVATION""",,1533392090,806962454,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,4,"""OBSERVATION""",,1533392093,198330687,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,5,"""OBSERVATION""",,1533392095,630741263,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,6,"""OBSERVATION""",,1533392098,2917239,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,7,"""OBSERVATION""",,1533392100,939587539,"[True, False, False, False, False, True]",1,0,0,0,0,1
9,8,"""OBSERVATION""",,1533392103,387771533,"[True, False, False, False, False, True]",1,0,0,0,0,1
9,9,"""OBSERVATION""",,1533392107,791929924,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,10,"""OBSERVATION""",,1533392110,754412837,"[True, False, False, False, False, True]",1,0,0,0,0,1
9,11,"""OBSERVATION""",,1533392115,214056974,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,12,"""OBSERVATION""",,1533392117,664322601,"[True, True, False, False, False, True]",1,1,0,0,0,1
9,13,"""OBSERVATION""",,1533392120,630754168,"[True, False, False, False, False, True]",1,0,0,0,0,1
10,1,"""OBSERVATION""",,1533392140,655764118,"[True, False, True, False, False, False]",1,0,1,0,0,0
11,0,"""OBSERVATION""",,1533392152,424918457,"[True, True, False, False, False, True]",1,1,0,0,0,1
11,1,"""OBSERVATION""",,1533392154,795637517,"[True, True, False, False, False, True]",1,1,0,0,0,1
11,2,"""OBSERVATION""",,1533392157,695637701,"[True, False, False, False, False, True]",1,0,0,0,0,1
11,3,"""OBSERVATION""",,1533392160,102275942,"[True, False, False, False, False, True]",1,0,0,0,0,1
11,4,"""OBSERVATION""",,1533392164,510746907,"[True, True, False, False, False, True]",1,1,0,0,0,1
11,5,"""OBSERVATION""",,1533392166,930183497,"[True, True, False, False, False, True]",1,1,0,0,0,1
11,6,"""OBSERVATION""",,1533392169,847232631,"[True, False, False, False, False, True]",1,0,0,0,0,1
11,7,"""OBSERVATION""",,1533392172,261820222,"[True, False, False, False, False, True]",1,0,0,0,0,1
11,8,"""OBSERVATION""",,1533392174,665256783,"[True, False, False, False, False, True]",1,0,0,0,0,1
11,9,"""OBSERVATION""",,1533392177,111541868,"[True, False, False, False, False, True]",1,0,0,0,0,1
