rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533391397202978660,0,0,"""SENSORS""",,1533391397,202602136,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533391811651659000,1,0,"""MANAGER""",,1533391811,651381196,"""beginner""","""new_normal""","""YES""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533391812831741143,1,0,"""ROBOT""",,1533391812,827788547,'','','','','',,1533391812,826382010,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533391812846111177,1,0,"""HUMAN""",,1533391812,842443890,"""beginner""","""new_normal""","""YES""",'','',,1533391812,510564317,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533391812856557769,1,1,"""ROBOT""",,1533391812,853633861,'','','','','',,1533391812,826382010,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533391819727506945,1,1,"""OBSERVATION""",,1533391819,724064352,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1533391821012860343,1,1,"""HUMAN""",,1533391821,8836464,"""beginner""","""new_normal""","""YES""",'','',,1533391813,932852214,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533391821022601905,1,2,"""ROBOT""",,1533391821,19449198,'','','','','',,1533391820,995471885,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,'','',[],'','',"""0""","""0"""
1533391822860425003,1,2,"""OBSERVATION""",,1533391822,856370224,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533391824206244669,1,2,"""HUMAN""",,1533391824,202801911,"""beginner""","""new_normal""","""YES""",'','',,1533391822,81904605,"""2""","""FailedToGrasp""","""FailedToGrasp""",True,'','',[],'','','',''
1533391824217091766,1,3,"""ROBOT""",,1533391824,214051470,'','','','','',,1533391824,184075143,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533391831060047550,1,3,"""OBSERVATION""",,1533391831,56771403,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','',''
1533391832387943827,1,3,"""HUMAN""",,1533391832,384479205,"""beginner""","""new_normal""","""YES""",'','',,1533391825,268049394,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533391832397419056,1,4,"""ROBOT""",,1533391832,394659127,'','','','','',,1533391832,370517685,"""planning for grasping""","""MayNotBeCapable""","""NeedsHelp""",False,'','',[],'','',"""0""","""0"""
1533391834239383295,1,4,"""OBSERVATION""",,1533391834,236097443,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533391835591890004,1,4,"""HUMAN""",,1533391835,587947237,"""beginner""","""new_normal""","""YES""",'','',,1533391833,462273693,"""2""","""FailedToGrasp""","""FailedToGrasp""",True,'','',[],'','','',''
1533391835605751652,1,5,"""ROBOT""",,1533391835,602291571,'','','','','',,1533391835,568292480,"""grasp""","""NeedsHelp""","""NoFocus""",False,'','',[],'','',"""0""","""0"""
1533391836690532921,1,5,"""OBSERVATION""",,1533391836,687138040,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','',''
1533391838021042315,1,5,"""HUMAN""",,1533391838,17391194,"""beginner""","""new_normal""","""YES""",'','',,1533391836,666230933,"""0""","""NoAttention""","""NoAttention""",True,'','',[],'','','',''
1533391838030469038,1,6,"""ROBOT""",,1533391838,27453896,'','','','','',,1533391838,5410058,"""idle""","""MayBeTired""","""NoFocus""",False,'','',[],'','',"""0""","""0"""
1533391843240781911,1,6,"""SENSORS""",,1533391843,240410739,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533391845518644968,1,6,"""OBSERVATION""",,1533391845,515553316,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
