rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533391397202978660,0,0,"""SENSORS""",,1533391397,202602136,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533391811651659000,1,0,"""MANAGER""",,1533391811,651381196,"""beginner""","""new_normal""","""YES""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533391843240781911,1,6,"""SENSORS""",,1533391843,240410739,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533391854442007747,2,0,"""MANAGER""",,1533391854,441899167,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533391864325715797,2,1,"""SENSORS""",,1533391864,325561782,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533391875488817367,3,0,"""MANAGER""",,1533391875,488530249,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533391917497762354,3,13,"""SENSORS""",,1533391917,497275911,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533391925712085122,4,0,"""MANAGER""",,1533391925,711845293,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533391932069228888,4,1,"""SENSORS""",,1533391932,68912557,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533391943220411077,5,0,"""MANAGER""",,1533391943,220100738,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533391949559482407,5,1,"""SENSORS""",,1533391949,559139355,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533391960722989499,6,0,"""MANAGER""",,1533391960,722829454,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533392002728477797,6,12,"""SENSORS""",,1533392002,728243869,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533392013280758687,7,0,"""MANAGER""",,1533392013,280539021,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533392019641383658,7,1,"""SENSORS""",,1533392019,641074765,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533392030800117857,8,0,"""MANAGER""",,1533392030,799852697,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533392072811753119,8,11,"""SENSORS""",,1533392072,811401978,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533392081767482651,9,0,"""MANAGER""",,1533392081,767113082,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533392123773585864,9,13,"""SENSORS""",,1533392123,773279864,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533392132029560355,10,0,"""MANAGER""",,1533392132,21703581,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533392138380995208,10,1,"""SENSORS""",,1533392138,380777813,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533392149554239036,11,0,"""MANAGER""",,1533392149,553786536,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
1533392195224944191,11,12,"""SENSORS""",,1533392195,224694481,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533392205462587861,12,0,"""MANAGER""",,1533392205,462457448,"""beginner""","""new_normal""","""YES""",'',"""distracted_collaborative.POMDPx""",,0,0,'','','',False,'','',[],"""START""",'','',''
