rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533178479673177736,1,0,"""MANAGER""",,1533178479,672970783,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178480903633284,1,0,"""ROBOT""",,1533178480,899668664,'','','','','',,1533178480,898597745,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533178480927086141,1,0,"""HUMAN""",,1533178480,923050787,"""beginner""","""new_normal""","""NO""",'','',,1533178480,631775042,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533178480936181411,1,1,"""ROBOT""",,1533178480,933330789,'','','','','',,1533178480,898597745,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533178482015627101,1,1,"""OBSERVATION""",,1533178482,12680823,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, False, False, True, False]","""ONGOING""",'','',''
1533178483269918489,1,1,"""HUMAN""",,1533178483,266361656,"""beginner""","""new_normal""","""NO""",'','',,1533178481,995806563,"""4""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533178483284384027,1,2,"""ROBOT""",,1533178483,281248563,'','','','','',,1533178483,250654687,"""cancel all actions""","""WarningReceived""","""TaskHuman""",False,'','',[],'','',"""-1""","""-0.98"""
1533178488661188463,1,2,"""SENSORS""",,1533178488,660874123,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533178490939871356,1,2,"""OBSERVATION""",,1533178490,936911180,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1533178492225803364,1,2,"""HUMAN""",,1533178492,222574344,"""beginner""","""new_normal""","""NO""",'','',,1533178484,344862357,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533178492237053826,1,3,"""ROBOT""",,1533178492,234233108,'','','','','',,1533178492,209723447,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""4.7824"""
1533178499835713455,2,0,"""MANAGER""",,1533178499,835560540,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178501042373691,2,0,"""ROBOT""",,1533178501,38475475,'','','','','',,1533178501,36950925,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""6""","""4.7824"""
1533178501050398474,2,0,"""HUMAN""",,1533178501,46569043,"""beginner""","""new_normal""","""NO""",'','',,1533178500,761225210,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533178501062355667,2,1,"""ROBOT""",,1533178501,59596448,'','','','','',,1533178501,36950925,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533178506235678912,2,1,"""SENSORS""",,1533178506,235390553,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533178508515586958,2,1,"""OBSERVATION""",,1533178508,511677556,'','','','','',,0,0,'','','',False,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'',''
1533178509779385068,2,1,"""HUMAN""",,1533178509,776168063,"""beginner""","""new_normal""","""NO""",'','',,1533178502,119478025,"""0""","""Evaluating""","""Evaluating""",True,'','',[],'','','',''
1533178509788143538,2,2,"""ROBOT""",,1533178509,785172070,'','','','','',,1533178509,763989833,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,'','',[],'','',"""6""","""5.88"""
1533178517379838664,3,0,"""MANAGER""",,1533178517,379354581,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178518575657243,3,0,"""ROBOT""",,1533178518,572196587,'','','','','',,1533178518,570716744,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""6""","""5.88"""
1533178518584362857,3,0,"""HUMAN""",,1533178518,580144505,"""beginner""","""new_normal""","""NO""",'','',,1533178518,259857852,"""2""","""TaskHuman""","""TaskHuman""",True,'','',[],'','','',''
1533178518592834555,3,1,"""ROBOT""",,1533178518,590190196,'','','','','',,1533178518,570716744,"""idle""","""TaskHuman""","""TaskHuman""",True,'','',[],'','',"""0""","""0"""
1533178523758289140,3,1,"""SENSORS""",,1533178523,757940961,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
