rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,robot_model,human_type,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,immediate_reward,total_disc_reward
1533178479673177736,1,0,"""MANAGER""",,1533178479,672970783,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178488661188463,1,2,"""SENSORS""",,1533178488,660874123,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533178499835713455,2,0,"""MANAGER""",,1533178499,835560540,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178506235678912,2,1,"""SENSORS""",,1533178506,235390553,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533178517379838664,3,0,"""MANAGER""",,1533178517,379354581,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178523758289140,3,1,"""SENSORS""",,1533178523,757940961,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533178534906692683,4,0,"""MANAGER""",,1533178534,906555788,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178541311394335,4,1,"""SENSORS""",,1533178541,311174551,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533178552483412068,5,0,"""MANAGER""",,1533178552,483017179,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178594498261672,5,15,"""SENSORS""",,1533178594,497947346,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533178608761932018,6,0,"""MANAGER""",,1533178608,761693855,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178650767365172,6,15,"""SENSORS""",,1533178650,767107958,'','','','','',,0,0,'','','',False,'','',[],"""FAIL""",'','',''
1533178663951398161,7,0,"""MANAGER""",,1533178663,950131397,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178670285916651,7,1,"""SENSORS""",,1533178670,285623159,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533178681444069772,8,0,"""MANAGER""",,1533178681,432432390,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178690191593386,8,2,"""SENSORS""",,1533178690,191306720,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
1533178701362572086,9,0,"""MANAGER""",,1533178701,361898397,"""beginner""","""new_normal""","""NO""",'','',,0,0,'','','',False,'','',[],"""START""",'','',''
1533178707750887498,9,1,"""SENSORS""",,1533178707,750571920,'','','','','',,0,0,'','','',False,'','',[],"""SUCCESS""","""human""",'',''
