task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.7624,50,0
2,5.7624,100,0
3,5.88,100,0
4,5.88,100,0
5,5.88,100,0
6,5.7624,100,0
7,5.88,100,0
8,5.88,100,0
9,5.64715,75,0
10,5.64715,80,0
11,5.7624,100,0
12,5.64715,50,0
13,5.7624,100,0
14,5.7624,100,0
15,5.7624,33.3333333333,0
16,5.7624,100,0
17,5.64715,75,0
18,5.7624,66.6666666667,0
19,1.77057,33.3333333333,1
20,5.64715,100,0
21,5.88,100,0
22,5.64715,50,0
23,-2.7671,40,0
24,5.88,100,0
25,5.64715,75,0
26,5.7624,66.6666666667,0
27,-2.71176,50,0
28,-2.7671,80,0
29,5.64715,75,0
30,5.64715,50,0
31,5.7624,66.6666666667,0
32,-2.82358,25,0
33,-2.71176,50,0
34,5.88,100,0
35,5.42352,83.3333333333,0
36,5.64715,100,0
37,5.53421,80,0
38,-5.42463,71.4285714286,1
39,5.53421,80,0
40,5.7624,100,0
,,,
,,Needs Est.,0.692
