task_id,total_disc_reward,estimation_accuracy,warnings_received
1,5.7624,100,0
2,5.7624,100,0
3,5.64715,100,0
4,5.88,100,0
5,5.64715,100,0
6,5.7624,100,0
7,5.7624,100,0
8,5.7624,100,0
9,5.7624,100,0
10,5.7624,100,0
11,5.7624,100,0
12,-5.53534,60,1
13,5.88,100,0
14,5.53421,75,0
15,5.7624,100,0
16,-8.19287,50,1
17,5.7624,100,0
18,5.7624,100,0
19,5.7624,0,0
20,5.7624,100,0
21,5.88,100,0
22,5.7624,100,0
23,-0.275626,50,2
24,5.42352,80,0
25,-13.5643,28.5714285714,3
26,5.64715,33.3333333333,0
27,2.54795,66.6666666667,1
28,-2.7671,80,0
29,5.53421,75,0
30,5.53421,60,0
31,-5.42463,66.6666666667,1
32,-2.71176,60,0
33,5.31505,100,0
34,5.64715,100,0
35,5.42352,100,0
36,5.42352,80,0
37,-2.71176,60,0
38,-0.167156,60,2
39,-5.64716,80,1
40,-5.52749,40,2
,,,
,,total_est_accuracy,80.130952381
,,avg. reward,2.72782995
,,"avg. reward distr: avr reward at every step, it should decrease gradually",
,,help estimation accr.,41.66
,,total warnings received,14
