task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.88,100,0
2,3,66.6666666667,1
3,5.7624,100,0
4,5.7624,100,0
5,5.88,100,0
6,5.64715,100,0
7,5.88,100,0
8,-5.59068,60,1
9,5.88,100,0
10,5.7624,100,0
11,5.64715,75,0
12,-11.1836,20,2
13,5.64715,100,0
14,5.7624,100,0
15,5.64715,100,0
16,2.71063,25,1
17,5.64715,100,0
18,5.7624,66.6666666667,0
19,5.88,100,0
20,5.7624,100,0
21,-0.0564715,50,1
22,-2.82358,75,0
23,5.88,100,0
24,-2.7671,75,0
25,5.53421,100,0
26,-8.47188,33.3333333333,1
27,5.76,50,0
28,-2.82358,66.6666666667,0
29,5.42352,80,0
30,5.7624,100,0
31,5.7624,100,0
32,-2.71176,60,0
33,-2.7671,75,0
34,2.71063,75,0
35,5.7624,33.3333333333,0
36,5.64715,75,0
37,-0.167156,40,2
38,-5.70478,33.3333333333,1
39,-2.7671,80,0
40,-10.96,44.4444444444,2
,,,
,,Needs Est.,0.5
