task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1507221554,743924980,1507221572,321177649,17.577252626419067,SUCCESS,human
2,1507221586,411642738,1507221597,320204949,10.908562183380127,SUCCESS,human
3,1507221609,754001729,1507221617,320954076,7.566952466964722,SUCCESS,human
4,1507221630,640450172,1507221639,320749861,8.680299520492554,SUCCESS,human
5,1507221651,571982432,1507221659,320757842,7.748775482177734,SUCCESS,human
6,1507221672,750616079,1507221682,320734926,9.57011890411377,SUCCESS,human
7,1507221695,100623590,1507221703,320635015,8.220011472702026,SUCCESS,human
8,1507221716,260153215,1507221725,321029993,9.060876607894897,SUCCESS,human
9,1507221738,942792633,1507221759,321172939,20.378380298614502,SUCCESS,human
10,1507221776,21154043,1507221812,320384862,36.1088445186615,SUCCESS,robot
11,1507221839,362333965,1507221855,321083428,15.958749532699585,SUCCESS,human
12,1507221869,408019116,1507221901,705395252,32.29737615585327,SUCCESS,robot
13,1507221912,130946470,1507221927,321398608,15.190452098846436,SUCCESS,human
14,1507221943,389868887,1507221958,321311773,14.931442737579346,SUCCESS,human
15,1507221980,325978047,1507222000,320972441,19.994994401931763,SUCCESS,human
16,1507222043,400612783,1507222058,320928235,14.920315504074097,SUCCESS,human
17,1507222074,76019307,1507222097,321596376,22.561403274536133,SUCCESS,human
18,1507222139,892685923,1507222163,321434012,23.42874813079834,SUCCESS,robot
19,1507222177,80804291,1507222202,321208311,24.51316523551941,SUCCESS,robot
20,1507222221,676147021,1507222239,321289759,17.645142793655396,SUCCESS,human
21,1507222253,602966726,1507222261,321735019,7.718768119812012,SUCCESS,human
22,1507222314,846318607,1507222347,321344510,32.47502589225769,SUCCESS,robot
23,1507222366,894756873,1507222399,153477296,32.25872039794922,FAIL,''
24,1507222431,56503319,1507222440,321597793,8.756564617156982,SUCCESS,human
25,1507222520,263518362,1507222545,323128723,25.05961036682129,SUCCESS,human
26,1507222568,818325818,1507222594,321577479,25.503251791000366,SUCCESS,robot
27,1507222621,615676503,1507222653,942816503,32.32714009284973,FAIL,''
28,1507222669,375559255,1507222702,321830596,32.94627118110657,FAIL,''
29,1507222719,248161819,1507222751,537697382,32.28953552246094,SUCCESS,robot
30,1507223378,551721273,1507223415,577064921,37.02534365653992,SUCCESS,robot
31,1507223437,33759596,1507223454,575448865,17.237852811813354,SUCCESS,human
32,1507223535,672592933,1507223567,990618869,32.318026065826416,FAIL,''
33,1507223598,249180922,1507223630,674146116,32.424965143203735,FAIL,''
34,1507223658,454714206,1507223666,577245199,8.122530937194824,SUCCESS,human
35,1507223679,402719359,1507223715,575069663,36.17235040664673,SUCCESS,robot
36,1507223780,652307326,1507223808,575541168,27.92323398590088,SUCCESS,robot
37,1507223822,455142247,1507223858,575895133,36.120752811431885,SUCCESS,robot
38,1507223871,867079570,1507223904,193283524,32.32620406150818,FAIL,''
39,1507223924,350082219,1507223958,576785752,34.22670364379883,SUCCESS,robot
40,1507224054,617150815,1507224079,578592535,24.9614417552948,SUCCESS,robot
