task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1507218229,832951370,1507218243,533351454,13.700400114059448,SUCCESS,human
2,1507218261,363790105,1507218282,533479034,21.169688940048218,SUCCESS,human
3,1507218314,822884540,1507218324,532483597,9.709599018096924,SUCCESS,human
4,1507218342,857289706,1507218354,533318286,11.676028490066528,SUCCESS,human
5,1507218380,273439728,1507218390,533774250,10.260334491729736,SUCCESS,human
6,1507218430,687695998,1507218449,533793693,18.846097707748413,SUCCESS,human
7,1507218471,91770155,1507218480,533196513,8.615494966506958,SUCCESS,human
8,1507218496,986081443,1507218529,298370910,32.31228947639465,FAIL,''
9,1507218558,274208279,1507218566,533938163,8.259729862213135,SUCCESS,human
10,1507218597,811034787,1507218609,533887602,11.722852945327759,SUCCESS,human
11,1507218623,490817210,1507218655,748815540,32.25799822807312,SUCCESS,robot
12,1507218778,655877927,1507218810,849837920,32.193960189819336,FAIL,''
13,1507218837,593758791,1507218853,536491603,15.942732810974121,SUCCESS,human
14,1507218866,456044341,1507218881,534098965,15.078054428100586,SUCCESS,human
15,1507218897,110697121,1507218914,535011281,17.424314260482788,SUCCESS,human
16,1507218928,553915240,1507218954,534443028,25.980527877807617,SUCCESS,robot
17,1507218971,14040143,1507218992,534657643,21.394256353378296,SUCCESS,human
18,1507219026,864696033,1507219042,535163762,15.670467853546143,SUCCESS,human
19,1507219055,140227623,1507219065,534874925,10.394647359848022,SUCCESS,human
20,1507219087,846738490,1507219098,534917972,10.68817949295044,SUCCESS,human
21,1507219129,567899701,1507219165,534743746,35.96684408187866,SUCCESS,robot
22,1507219186,428277187,1507219218,684402037,32.25612473487854,FAIL,''
23,1507219235,239637496,1507219253,535014690,18.295377016067505,SUCCESS,human
24,1507219267,562870905,1507219299,832603840,32.26973295211792,FAIL,''
25,1507219311,316284775,1507219327,535002138,16.218717575073242,SUCCESS,human
26,1507219353,77552211,1507219385,383007758,31.6074857711792,FAIL,''
27,1507219403,424537450,1507219435,849782215,32.42524480819702,SUCCESS,robot
28,1507219539,676167306,1507219572,32608050,32.64991331100464,FAIL,''
29,1507219594,590690031,1507219630,534468431,35.94377827644348,SUCCESS,robot
30,1507219644,765031027,1507219658,535264639,13.770233631134033,SUCCESS,human
31,1507219675,242679197,1507219691,534437037,16.291757822036743,SUCCESS,human
32,1507219712,339185337,1507219744,682674259,32.343488931655884,FAIL,''
33,1507219771,347249420,1507219808,533946612,37.186697006225586,FAIL,''
34,1507219841,971693155,1507219874,537614415,32.56592130661011,SUCCESS,robot
35,1507219892,667507844,1507219929,533805945,36.86629796028137,SUCCESS,robot
36,1507220005,494097949,1507220042,534825063,37.04072713851929,SUCCESS,robot
37,1507220070,313516765,1507220102,782946307,32.46942949295044,SUCCESS,robot
38,1507220128,80983679,1507220160,484001249,31.674164295196533,FAIL,''
39,1507220172,649867424,1507220204,854041941,32.204174518585205,FAIL,''
40,1507220237,148981703,1507220269,485026706,32.336044788360596,FAIL,''
