HUMAN ALONE,,,,,,,,,,,,,,PROACTIVE,,,,,,,,,,,,,,REACTIVE,,,,,,,,,,,,
task_id,warnings_received,cumulative_warnings,moving_avg_warnings,task_duration,cumulative_time,moving_avg_time,total_disc_reward,cumulative_reward,moving_avg_reward,success_rate,cumulative_success,moving_avg_success,,task_id,warnings_received,cumulative_warnings,moving_avg_warnings,task_duration,cumulative_time,moving_avg_time,total_disc_reward,cumulative_reward,moving_avg_reward,success_rate,cumulative_success,moving_avg_success,,task_id,warnings_received,cumulative_warnings,moving_avg_warnings,task_duration,cumulative_time,moving_avg_time,total_disc_reward,cumulative_reward,moving_avg_reward,success_rate,cumulative_success,moving_avg_success
1,0,0,0,108.315490037,108.315490037,108.315490037,29.1324086058,29.1324086058,29.1324086058,80,80,80,,2,0,0,0,114.47579362,114.47579362,114.47579362,-0.7785525868,-0.7785525868,-0.7785525868,50,50,50,,6,2,2,2,127.834365566,127.834365566,127.834365566,30.7349683173,30.7349683173,30.7349683173,90,90,90
1,0,0,0,103.999888979,103.999888979,103.999888979,11.4718102397,11.4718102397,11.4718102397,60,60,60,,3,0,0,0,161.863788594,276.339582214,138.169791107,45.0630705581,44.2845179712,22.1422589856,100,150,75,,7,3,5,2.5,103.538469876,231.372835442,115.686417721,30.5191963751,61.2541646924,30.6270823462,90,180,90
1,0,0,0,91.400770325,91.400770325,91.400770325,19.4317462507,19.4317462507,19.4317462507,70,70,70,,4,0,0,0,126.83518612,403.174768334,134.3915894447,47.7546086966,92.0391266678,30.6797088893,100,250,83.3333333333,,8,9,14,4.6666666667,95.69598085,327.068816292,109.022938764,13.4517692693,74.7059339617,24.9019779872,90,270,90
1,0,0,0,82.617945336,82.617945336,82.617945336,-30.3994390778,-30.3994390778,-30.3994390778,20,20,20,,2,0,0,0,159.202304228,159.202304228,159.202304228,40.0369873643,40.0369873643,40.0369873643,90.9090909091,90.9090909091,90.9090909091,,6,4,4,4,119.260507931,119.260507931,119.260507931,33.2238095644,33.2238095644,33.2238095644,100,100,100
1,0,0,0,79.789337433,79.789337433,79.789337433,-10.4629356224,-10.4629356224,-10.4629356224,40,40,40,,3,0,0,0,142.234248706,301.436552934,150.718276467,16.4150527701,56.4520401344,28.2260200672,70,160.9090909091,80.4545454546,,7,5,9,4.5,163.222523436,282.483031367,141.2415156835,-0.4060568648,32.8177526996,16.4088763498,70,170,85
1,0,0,0,106.152951961,106.152951961,106.152951961,26.9953034863,26.9953034863,26.9953034863,80,80,80,,4,0,0,0,90.493496814,391.930049748,130.643349916,20.6954432115,77.147483346,25.715827782,70,230.9090909091,76.9696969697,,8,12,21,7,124.152753975,406.635785342,135.5452617807,-2.1910173951,30.6267353045,10.2089117682,90,260,86.6666666667
1,0,0,0,144.042094855,144.042094855,144.042094855,-12.5699320009,-12.5699320009,-12.5699320009,40,40,40,,2,1,1,1,127.28896067,127.28896067,127.28896067,10.0642613743,10.0642613743,10.0642613743,60,60,60,,6,3,3,3,91.2672487,91.2672487,91.2672487,41.5523143668,41.5523143668,41.5523143668,100,100,100
1,0,0,0,95.294662809,95.294662809,95.294662809,2.1902588706,2.1902588706,2.1902588706,50,50,50,,3,1,2,1,94.335076869,221.624037539,110.8120187695,28.5532001145,38.6174614888,19.3087307444,80,140,70,,7,3,6,3,84.342686874,175.609935574,87.804967787,42.1929748379,83.7452892047,41.8726446023,100,200,100
1,0,0,0,102.473702519,102.473702519,102.473702519,1.2892928517,1.2892928517,1.2892928517,50,50,50,,4,1,3,1,85.983072774,307.607110313,102.5357034377,48.4864841683,87.1039456571,29.0346485524,100,240,80,,8,5,11,3.6666666667,112.154451891,287.764387465,95.9214624883,-1.218601214,82.5266879907,27.5088959969,60,260,86.6666666667
5,0,0,0,76.589863044,76.589863044,76.589863044,5.2087531995,5.2087531995,5.2087531995,80,80,80,,2,1,1,1,171.539751856,171.539751856,171.539751856,30.3629696418,30.3629696418,30.3629696418,90,90,90,,6,12,12,12,105.756700356,105.756700356,105.756700356,16.2825314649,16.2825314649,16.2825314649,100,100,100
