rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.56501524354526E+018,1,0,0,"""MANAGER""",,1565015243,545012322,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0,0,0,0,"""START""",0,'',0,0,0,0
1.56501525017465E+018,1,0,1,"""OBSERVATION""",,1565015250,167735173,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501525423028E+018,1,0,1,"""ROBOT""",,1565015254,211558968,'',,1565015251,475474444,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""0.000000""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501525425687E+018,1,0,2,"""OBSERVATION""",,1565015254,248567809,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501525560898E+018,1,0,2,"""ROBOT""",,1565015255,598091687,'',,1565015255,585633597,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""0.000000""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501525614939E+018,1,0,3,"""OBSERVATION""",,1565015256,139621507,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 1]",'',"[True, False, False, True, False, True]",12,39,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5650152575134E+018,1,1,3,"""SENSOR""",,1565015257,513250911,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1565015256,124223760,"""success""","""HUMAN""",12.572900942,0,1,100,'',12.572900942,'',0,0,0,nan
1.56501525762998E+018,1,0,3,"""ROBOT""",,1565015257,617810005,'',,1565015257,499384560,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""4.708302""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501525765451E+018,1,0,4,"""OBSERVATION""",,1565015257,647949972,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501526115066E+018,1,0,4,"""ROBOT""",,1565015261,137608780,'',,1565015259,5018582,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""4.708302""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501526117462E+018,1,0,5,"""OBSERVATION""",,1565015261,167362985,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501526261509E+018,1,0,6,"""OBSERVATION""",,1565015262,608105835,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5650152639936E+018,1,2,6,"""SENSOR""",,1565015263,993468777,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""4.708302""",[],,1565015262,593068688,"""success""","""HUMAN""",6.472387593,0,2,100,'',19.045288535,'',0,0,0,nan
1.56501526405109E+018,1,0,6,"""ROBOT""",,1565015264,25962761,'',,1565015263,978063656,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""10.023356""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
