rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.56501525423028E+018,1,0,1,"""ROBOT""",,1565015254,211558968,'',,1565015251,475474444,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501525560898E+018,1,0,2,"""ROBOT""",,1565015255,598091687,'',,1565015255,585633597,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501525762998E+018,1,0,3,"""ROBOT""",,1565015257,617810005,'',,1565015257,499384560,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,4.7083003424087995,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501526115066E+018,1,0,4,"""ROBOT""",,1565015261,137608780,'',,1565015259,5018582,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,4.7083003424087995,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501526115066E+018,1,0,5,"""ROBOT""",,1565015261,137608780,'',,1565015259,5018582,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,4.7083003424087995,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501526405109E+018,1,0,6,"""ROBOT""",,1565015264,25962761,'',,1565015263,978063656,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,10.023354627592798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501526563585E+018,1,0,7,"""ROBOT""",,1565015265,623541693,'',,1565015265,417116578,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.023354627592798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501526563585E+018,1,0,8,"""ROBOT""",,1565015265,623541693,'',,1565015265,417116578,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.023354627592798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501527095093E+018,1,0,9,"""ROBOT""",,1565015270,937410310,'',,1565015269,888806978,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,15.446879408392798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501527341874E+018,1,0,10,"""ROBOT""",,1565015273,405838900,'',,1565015272,337764778,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.446879408392798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501527489604E+018,1,0,11,"""ROBOT""",,1565015274,884367506,'',,1565015274,804650121,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.446879408392798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501527489604E+018,1,0,12,"""ROBOT""",,1565015274,884367506,'',,1565015274,804650121,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.446879408392798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501527805477E+018,1,0,13,"""ROBOT""",,1565015278,35386322,'',,1565015277,662023716,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",-6,10.238126208912478,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501527956662E+018,1,0,14,"""ROBOT""",,1565015279,554491904,'',,1565015279,409574864,"""grasp""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.238126208912478,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501528244798E+018,1,0,15,"""ROBOT""",,1565015282,434122239,'',,1565015280,942497563,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.238126208912478,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501528244798E+018,1,0,16,"""ROBOT""",,1565015282,434122239,'',,1565015280,942497563,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.238126208912478,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
